group	variants	groupName	groupMembers	variants_alias
1	A	A	A	A
2	A.23.1	A.23.1	A.23.1	A.23.1
3	A.27	A.27	A.27	A.27
4	A.28	A.28	A.28	A.28
5	B.1.1.1	B.1.1.1	B.1.1.1	B.1.1.1
6	B.1.1.1.1.2	C.1.2	B.1.1.1.1.2	C.1.2
7	B.1.1.1.16	C.16	B.1.1.1.16	C.16
8	B.1.1.1.37	C.37	B.1.1.1.37	C.37
9	B.1.1.28.1	P.1	B.1.1.28.1	P.1
10	B.1.1.318	B.1.1.318	B.1.1.318	B.1.1.318
11	B.1.1.318.2	AZ.2	B.1.1.318.2	AZ.2
12	B.1.1.370.1	AT.1	B.1.1.370.1	AT.1
13	B.1.1.482.1	AV.1	B.1.1.482.1	AV.1
14	B.1.1.519	B.1.1.519	B.1.1.519	B.1.1.519
15	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
16	B.1.1.529.1.1	BA.1.1	B.1.1.529.1.1	BA.1.1
17	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
18	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
19	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
20	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
21	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1
22	B.1.1.529.2.75.5.1	BN.1	B.1.1.529.2.75.5.1	BN.1
23	B.1.1.529.2.86	BA.2.86	B.1.1.529.2.86	BA.2.86
24	B.1.1.529.2.86.1	BA.2.86.1	B.1.1.529.2.86.1	BA.2.86.1
25	B.1.1.529.2.86.1.1	JN.1	B.1.1.529.2.86.1.1	JN.1
26	B.1.1.529.2.86.1.1.1	JN.1.1	B.1.1.529.2.86.1.1.1	JN.1.1
27	B.1.1.529.2.86.1.1.11	JN.1.11	B.1.1.529.2.86.1.1.11	JN.1.11
28	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1	LP.8.1	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1	LP.8.1
29	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.1	PF.1	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.1	PF.1
30	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.2	PF.2	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.2	PF.2
31	B.1.1.529.2.86.1.1.11.1.2	KP.2	B.1.1.529.2.86.1.1.11.1.2	KP.2
32	B.1.1.529.2.86.1.1.11.1.2.3	KP.2.3	B.1.1.529.2.86.1.1.11.1.2.3	KP.2.3
33	B.1.1.529.2.86.1.1.11.1.3	KP.3	B.1.1.529.2.86.1.1.11.1.3	KP.3
34	B.1.1.529.2.86.1.1.11.1.3.1	KP.3.1	B.1.1.529.2.86.1.1.11.1.3.1	KP.3.1
35	B.1.1.529.2.86.1.1.11.1.3.1.1	KP.3.1.1	B.1.1.529.2.86.1.1.11.1.3.1.1	KP.3.1.1
36	B.1.1.529.2.86.1.1.11.1.3.1.1.10.1	MC.10.1	B.1.1.529.2.86.1.1.11.1.3.1.1.10.1	MC.10.1
37	B.1.1.529.2.86.1.1.11.1.3.1.1.11	MC.11	B.1.1.529.2.86.1.1.11.1.3.1.1.11	MC.11
38	B.1.1.529.2.86.1.1.11.1.3.1.1.13	MC.13	B.1.1.529.2.86.1.1.11.1.3.1.1.13	MC.13
39	B.1.1.529.2.86.1.1.11.1.3.1.1.15	MC.15	B.1.1.529.2.86.1.1.11.1.3.1.1.15	MC.15
40	B.1.1.529.2.86.1.1.11.1.3.1.1.16	MC.16	B.1.1.529.2.86.1.1.11.1.3.1.1.16	MC.16
41	B.1.1.529.2.86.1.1.11.1.3.1.1.2	MC.2	B.1.1.529.2.86.1.1.11.1.3.1.1.2	MC.2
42	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1
