timepoint,BA.5.9,BF.5,BQ.1.1.36,BQ.1.1.62,BQ.1.1.59,BF.32,BQ.1.1.47,BA.5.2.41,BN.1.3.3,BA.5.1.28,CP.2,BF.11.3,BQ.1.24,DE.2,BA.5.2.62,BA.5.1.38,EQ.1,BF.7.9,BA.5.2.40,BA.5.1.27,BZ.2,BF.7.10,BF.7.4.1,BA.5.2.25,BA.5.1.22,BA.5.3,BA.5.2.1,BA.4.4,BA.2.4,BA.2.45,BF.11.1,BF.7.8,BA.5.1.3,XQ,BF.7.5,BF.7.23,BA.5.1.31,A.29,BF.18,BF.14,BA.5.1.5,BF.7.21,BA.5.1.20,BF.26,BF.7.6,BF.24,BF.7.19,BA.5.2.30,BA.5.2.24,BF.5.1,BA.5.1.19,BA.5.2.21,BE.1.1.2,BF.19,BA.5.2.9,DE.1,BF.10,BA.5.1.30,BQ.1.1.23,EF.1,CU.1,BQ.1.16,BF.11.5,BF.7.24,BA.5.1.34,BF.7.1,BA.5.2.26,BA.5.1.10,BA.4.1.2,BF.1,BA.2.72,BF.29,BA.5.2.58,CK.1.2,BA.5.2.18,BF.38,BF.7.4,BE.1.4.4,BF.20,BF.6,BA.5.1.2,BE.1.3,BE.1.1,BE.1.4,BE.11,CQ.1.1,BA.5.2.23,BF.22,BF.1.1,BA.2.9.7,BF.23,BA.1.16,BA.2.17,CG.1,DR.1,BE.1.1.1,BA.5.1.6,BA.2.78,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.2.3.17,BA.1.1.15,BA.2.53,BA.1.1.18,BA.1.19,BA.1.1,BA.1.1.4,XAD,BA.1.15.3,BA.1.10,BA.1.1.17,BA.2.9.2,XJ,BA.2.2.1,BA.1.16.2,BA.1.1.16,BA.1.1.11,BA.2.47,BA.1.21.1,BA.1.1.10,BC.2,BA.2.13,BA.2.22,BA.4.8,BG.5,BA.4.2,BA.2.71,BA.5.2.28,BA.2.41,BA.2.69,BA.2.30,BA.2.3.14,BA.2.9.4,BA.2.3.13,BA.2.35,XAB,BA.2.9.1,BA.2.25.1,BA.2.10.2,BA.2.34,BA.2.3.15,BA.2.65,BA.2.36,BA.2.9,BA.2.12,BA.2.16,BA.2.5,BA.2.25,BA.2,BA.2.9.3,BL.1.3,BA.5.2,BA.4.6,BF.4,CC.1,BA.5.5.1,BA.5.2.2,BA.2.43,BA.2.52,BA.2.11,BA.2.3.5,BA.2.3,BA.1.13,ER.1,BQ.1.1.21,BF.7.13.1,BF.11.4,BQ.1.2,BA.5.2.60,BQ.1.5,BA.5.2.35,BT.2,BF.7.26,BE.10,CH.1.1,BQ.2,CE.1,BZ.1,BA.5.1.16,BA.5.1.4,BF.3.1,BA.2.73,BF.12,BA.5.2.20,BN.1.2.2,BA.5.2.52,BA.2.75.2,BQ.1.18,BA.5.1.29,BF.7.13,BQ.1.1.31,BQ.1.1.45,BQ.1.1.15,BQ.1.1.10,BQ.1.1.12,BQ.1.1.4,BQ.1.1.5,BA.2.15,BE.1.2.1,BA.2.31.1,XM,BQ.1.1.3,BA.2.40.1,BA.4.1.4,BF.36,XN,BN.1.1,BQ.1.10.2,BQ.1.1.16,BQ.1.1.13,BQ.1.1.18,CM.5,BQ.1.10.1,BQ.1.3.2,BQ.1.2.1,BQ.1.1,DS.2,EN.1,BN.1.2.6,BQ.1.1.37,BQ.1.6,BN.1.3,BA.2.50,BA.1.17.1,AY.43.8,B.1.1.529,AY.46.6,BA.4.3,BF.39,CM.2.1,BA.5.2.27,BA.2.19,BA.2.44,AY.34,AY.122.6,BA.4,BA.2.3.4,DM.1,BE.1.2,BN.1.2,BF.11,sample_name,tool_name
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.16,,,,,,,,,0.22,,,,0.01,,,0.02,,0.02,,,0.02,0.02,,,0.2,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-102,vlq_vd04ad36
109,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,,,,0.14,,,,,0.01,,,,0.3,,,,0.01,,,0.01,0.01,,,,0.02,0.03,0.01,,0.02,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-109,vlq_vd04ad36
116,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.16,,,,,,,,,0.3,,,,,0.01,,0.01,,,,,0.02,0.04,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-116,vlq_vd04ad36
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.1,,,,,,,,,,,,0.06,0.04,,0.02,0.12,,,0.18,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-123,vlq_vd04ad36
130,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.37,,,,,,,0.01,,,,0.01,0.16,0.03,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,vlq_vd04ad36-130,vlq_vd04ad36
137,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,0.09,,,,,,,,,,0.14,,,,,,,0.01,,0.09,,,0.02,,,,0.01,,,0.02,,,,,,,,,0.15,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-137,vlq_vd04ad36
144,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,,,,,0.04,,,0.11,,,0.05,,,0.33,,,0.01,,,,,,,,,0.01,,,,,0.01,,0.18,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-144,vlq_vd04ad36
149,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.08,,,0.07,,,,,,0.05,,,0.03,,,0.03,0.01,,,0.06,,,0.03,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vlq_vd04ad36-149,vlq_vd04ad36
156,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.02,,,,,,,0.01,,,,,,,,0.01,,,,0.23,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,0.01,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.02,,,,,,vlq_vd04ad36-156,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.05,0.43,,,,,0.02,,0.02,,,,,0.01,,0.21,,,,,0.03,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,vlq_vd04ad36-16,vlq_vd04ad36
