sample,sample_date,timepoint,AY.43,AY.46.6,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.1.17,BA.1.17.2,BA.1.18,BA.2,BA.2.12.1,BA.2.13,BA.2.3,BA.2.3.20,BA.2.36,BA.2.56,BA.2.65,BA.2.74,BA.2.75.1,BA.2.75.2,BA.2.75.5,BA.2.9,BA.4,BA.4.1,BA.4.1.2,BA.4.6,BA.5,BA.5.1,BA.5.1.10,BA.5.1.22,BA.5.1.23,BA.5.1.3,BA.5.1.30,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.2.58,BA.5.2.6,BA.5.3,BA.5.3.1,BA.5.5,BA.5.6,BA.5.9,BE.1,BE.1.1,BE.1.1.2,BF.1,BF.11,BF.11.3,BF.12,BF.14,BF.5,BF.7,BF.7.19,BF.7.22,BF.7.23,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BL.1,BM.1.1,BM.1.1.3,BN.1,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BN.2,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.47,BQ.1.1.5,BQ.1.1.69,BQ.1.10,BQ.1.2.1,BQ.1.3.1,BQ.1.3.2,BQ.1.5,CB.1,CH.1.1,CK.2.1.1,XBB.1,XBB.1.5,XBB.2,XBF,sample_name,tool_name,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
Ex01_01_realdata_example-4,2022-01-04,4,5.07,3.62,,23.19,23.19,,11.59,14.49,12.32,4.35,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-4,simulation,9836.138146674246,3397.2347150282753,98.87636691970705,59.9757
Ex01_01_realdata_example-16,2022-01-16,16,2.79,,,17.21,37.67,,3.26,7.91,3.26,16.28,,,4.19,,,,,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-16,simulation,4362.587265491757,2855.505652490222,97.39825435575025,59.9876
Ex01_01_realdata_example-25,2022-01-25,25,,,,7.24,16.74,2.26,2.26,4.07,,55.66,,,4.98,,,,,,,,,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-25,simulation,6525.842223188309,4663.479987397498,94.44871751998127,59.9849
Ex01_01_realdata_example-32,2022-02-01,32,,,,4.8,24.56,4.63,1.07,8.19,2.85,43.59,,,2.14,,,,,,,,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-32,simulation,2128.7408621208574,3705.920112203301,53.78724542688025,59.9854
Ex01_01_realdata_example-39,2022-02-08,39,,,,5.57,22.6,2.48,,3.1,,53.87,,,2.17,,,,,,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-39,simulation,7350.394141056081,3881.984744393485,98.80613985218875,59.986
Ex01_01_realdata_example-46,2022-02-15,46,,,,11.15,46.76,4.32,1.08,10.43,1.08,16.91,,,,,,,,,,,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-46,simulation,8183.533826037521,4237.48401282298,98.79610741397184,59.9845
Ex01_01_realdata_example-51,2022-02-20,51,,,3.28,10.49,29.51,5.57,1.31,5.9,1.97,29.51,,,1.97,,,,,,,,,10.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-51,simulation,9550.287462796376,3342.0038410359575,99.63548807811925,59.9845
Ex01_01_realdata_example-60,2022-03-01,60,,,,4.22,26.65,3.43,,4.22,1.32,42.48,,,2.11,,,,,,,,,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-60,simulation,6937.601879410093,4221.233264161394,97.28120924321975,59.9876
Ex01_01_realdata_example-65,2022-03-06,65,,,,1.75,11.11,2.92,,2.92,2.92,29.24,,,2.34,,,,,,,,,46.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-65,simulation,3564.97364812895,2484.869715340235,97.90322041266762,59.9891
Ex01_01_realdata_example-74,2022-03-15,74,,,5.11,,17.25,1.92,,,,39.94,,,,,,,,,,,,35.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simulation-74,simulation,3532.5702772297095,2178.34136765597,99.47831321272113,59.9859
