timepoint,B.1.1.529,BA.1,BA.2,BA.2.75,BA.5,XD,others,sample_name,tool_name
4,0.63,0.37,,,,,0.0,lollipop_v0.3.0-4,lollipop_v0.3.0
16,0.87,0.13,,,,,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
25,0.89,0.11,,,,,0.0,lollipop_v0.3.0-25,lollipop_v0.3.0
32,0.9,0.1,,,,,0.0,lollipop_v0.3.0-32,lollipop_v0.3.0
39,0.9,0.1,,,,,0.0,lollipop_v0.3.0-39,lollipop_v0.3.0
46,0.9,0.08,0.03,,,,0.0,lollipop_v0.3.0-46,lollipop_v0.3.0
51,0.9,0.06,0.04,,,,0.0,lollipop_v0.3.0-51,lollipop_v0.3.0
60,0.89,,0.11,,,,0.0,lollipop_v0.3.0-60,lollipop_v0.3.0
65,0.89,,0.11,,,,0.0,lollipop_v0.3.0-65,lollipop_v0.3.0
74,0.91,,0.09,,,,0.0,lollipop_v0.3.0-74,lollipop_v0.3.0
81,0.88,,0.12,,,,0.0,lollipop_v0.3.0-81,lollipop_v0.3.0
86,0.89,,0.11,,,,0.0,lollipop_v0.3.0-86,lollipop_v0.3.0
95,0.96,,0.03,,,,0.01,lollipop_v0.3.0-95,lollipop_v0.3.0
102,0.9,,0.1,,,,0.0,lollipop_v0.3.0-102,lollipop_v0.3.0
109,0.9,,0.1,,,,0.0,lollipop_v0.3.0-109,lollipop_v0.3.0
116,0.89,,0.11,,,,0.0,lollipop_v0.3.0-116,lollipop_v0.3.0
123,0.89,,0.11,,,,0.0,lollipop_v0.3.0-123,lollipop_v0.3.0
130,0.9,,0.1,,,,0.0,lollipop_v0.3.0-130,lollipop_v0.3.0
137,0.9,,0.1,,,,0.0,lollipop_v0.3.0-137,lollipop_v0.3.0
144,0.86,,0.14,,,,0.0,lollipop_v0.3.0-144,lollipop_v0.3.0
149,0.84,,0.16,,,,0.0,lollipop_v0.3.0-149,lollipop_v0.3.0
156,0.89,,0.11,,,,0.0,lollipop_v0.3.0-156,lollipop_v0.3.0
163,0.87,,0.13,,,,0.0,lollipop_v0.3.0-163,lollipop_v0.3.0
172,0.94,,0.06,,,,0.0,lollipop_v0.3.0-172,lollipop_v0.3.0
179,0.94,,0.06,,,,0.01,lollipop_v0.3.0-179,lollipop_v0.3.0
186,0.94,,0.05,,,,0.01,lollipop_v0.3.0-186,lollipop_v0.3.0
193,0.94,,0.05,,,,0.01,lollipop_v0.3.0-193,lollipop_v0.3.0
200,0.95,,,,0.04,0.01,0.0,lollipop_v0.3.0-200,lollipop_v0.3.0
205,0.95,,,,0.03,0.02,0.0,lollipop_v0.3.0-205,lollipop_v0.3.0
214,0.96,,0.02,,,0.01,0.01,lollipop_v0.3.0-214,lollipop_v0.3.0
221,0.95,,0.03,,,0.01,0.01,lollipop_v0.3.0-221,lollipop_v0.3.0
228,0.94,,0.06,,,,0.0,lollipop_v0.3.0-228,lollipop_v0.3.0
235,0.95,,,,0.03,0.02,0.0,lollipop_v0.3.0-235,lollipop_v0.3.0
240,0.95,,,,0.04,0.02,0.0,lollipop_v0.3.0-240,lollipop_v0.3.0
249,0.95,,0.01,,0.02,0.02,0.0,lollipop_v0.3.0-249,lollipop_v0.3.0
254,0.95,,,,0.03,0.02,0.01,lollipop_v0.3.0-254,lollipop_v0.3.0
263,0.95,,0.01,,0.02,0.02,0.0,lollipop_v0.3.0-263,lollipop_v0.3.0
268,0.95,,,,0.03,0.01,0.0,lollipop_v0.3.0-268,lollipop_v0.3.0
277,0.96,,0.03,,,0.01,0.0,lollipop_v0.3.0-277,lollipop_v0.3.0
284,0.95,,,,0.03,0.02,0.01,lollipop_v0.3.0-284,lollipop_v0.3.0
289,0.95,,0.01,,0.02,0.02,0.0,lollipop_v0.3.0-289,lollipop_v0.3.0
296,0.96,,,,0.02,0.01,0.01,lollipop_v0.3.0-296,lollipop_v0.3.0
312,0.95,,0.03,,,0.01,0.01,lollipop_v0.3.0-312,lollipop_v0.3.0
319,0.92,,0.06,0.02,,,0.0,lollipop_v0.3.0-319,lollipop_v0.3.0
326,0.9,,0.05,0.05,,,0.0,lollipop_v0.3.0-326,lollipop_v0.3.0
333,0.91,,0.07,0.02,,,0.0,lollipop_v0.3.0-333,lollipop_v0.3.0
340,0.92,,0.06,0.02,,,0.0,lollipop_v0.3.0-340,lollipop_v0.3.0
347,0.89,,0.07,0.04,,,0.0,lollipop_v0.3.0-347,lollipop_v0.3.0
352,0.88,,0.08,0.04,,,0.0,lollipop_v0.3.0-352,lollipop_v0.3.0
361,0.88,,0.08,0.04,,,0.0,lollipop_v0.3.0-361,lollipop_v0.3.0
