timepoint,AY.4,B.1.617.2,BA.1,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.9,BA.4,BA.5,BA.5.1,BA.5.2.1,BF.14,BF.7,BQ.1,XBB,sample_name,tool_name
4,0.19,0.03,0.27,0.5,,,,,,,,,,,,,vaquero_v24d9211-4,vaquero_v24d9211
16,,,0.16,0.77,,,,,,,,,,,,,vaquero_v24d9211-16,vaquero_v24d9211
25,,,,0.82,0.16,,,,,,,,,,,,vaquero_v24d9211-25,vaquero_v24d9211
39,,,,0.74,0.26,,,,,,,,,,,,vaquero_v24d9211-39,vaquero_v24d9211
46,,,,0.59,0.41,,,,,,,,,,,,vaquero_v24d9211-46,vaquero_v24d9211
51,,,,0.55,0.45,,,,,,,,,,,,vaquero_v24d9211-51,vaquero_v24d9211
60,,,,0.42,0.25,,,0.33,,,,,,,,,vaquero_v24d9211-60,vaquero_v24d9211
65,,,0.19,,0.52,,,0.27,,,,,,,,,vaquero_v24d9211-65,vaquero_v24d9211
74,,,0.12,,0.57,,,0.32,,,,,,,,,vaquero_v24d9211-74,vaquero_v24d9211
81,,,0.14,,0.57,,,0.28,,,,,,,,,vaquero_v24d9211-81,vaquero_v24d9211
86,,,,,0.58,,,0.39,,,,,,,,,vaquero_v24d9211-86,vaquero_v24d9211
95,,,,,0.7,,,0.26,,,,,,,,,vaquero_v24d9211-95,vaquero_v24d9211
102,,,,,0.66,,,0.31,,,,,,,,,vaquero_v24d9211-102,vaquero_v24d9211
109,,,,,0.61,,,0.37,,,,,,,,,vaquero_v24d9211-109,vaquero_v24d9211
116,,,,,0.48,,,0.47,,0.02,,,,,,,vaquero_v24d9211-116,vaquero_v24d9211
123,,,,,0.53,,,0.43,,0.02,,,,,,,vaquero_v24d9211-123,vaquero_v24d9211
130,,,,,0.64,,,0.33,,,,,,,,,vaquero_v24d9211-130,vaquero_v24d9211
137,,,,,0.53,,,0.45,,,,,,,,,vaquero_v24d9211-137,vaquero_v24d9211
144,,,,,0.33,0.18,,0.34,,0.15,,,,,,,vaquero_v24d9211-144,vaquero_v24d9211
149,,,,,0.6,0.2,,,,,0.2,,,,,,vaquero_v24d9211-149,vaquero_v24d9211
156,,,,,0.36,,,,0.19,,0.28,,0.17,,,,vaquero_v24d9211-156,vaquero_v24d9211
163,,,,,0.15,0.13,,,,0.1,0.29,0.2,,,0.13,,vaquero_v24d9211-163,vaquero_v24d9211
172,,,,,0.17,,,,,0.08,0.45,0.18,0.11,,,,vaquero_v24d9211-172,vaquero_v24d9211
179,,,,,0.13,,,,,0.14,0.35,0.18,,,0.2,,vaquero_v24d9211-179,vaquero_v24d9211
186,,,,,0.11,,,,,0.12,0.36,0.23,,,0.17,,vaquero_v24d9211-186,vaquero_v24d9211
193,,,,,0.11,,,,,0.11,0.34,0.28,,,0.16,,vaquero_v24d9211-193,vaquero_v24d9211
200,,,,,,,,,,0.19,0.39,0.41,,,,,vaquero_v24d9211-200,vaquero_v24d9211
205,,,,,,,,,,0.14,0.37,0.35,,,0.14,,vaquero_v24d9211-205,vaquero_v24d9211
214,,,,,,,,,,0.16,0.34,0.35,,,0.15,,vaquero_v24d9211-214,vaquero_v24d9211
221,,,,,,,,,,0.17,0.29,0.4,,,0.14,,vaquero_v24d9211-221,vaquero_v24d9211
228,,,,,,,,,0.13,0.04,0.38,0.45,,,,,vaquero_v24d9211-228,vaquero_v24d9211
235,,,,,,,,,,0.15,0.32,0.39,,,0.14,,vaquero_v24d9211-235,vaquero_v24d9211
240,,,,,,,,,,0.23,0.37,0.39,,,,,vaquero_v24d9211-240,vaquero_v24d9211
249,,,,,,,,,,0.11,0.33,0.4,,0.14,,,vaquero_v24d9211-249,vaquero_v24d9211
254,,,,,,,,,,0.18,0.35,0.33,0.12,,,,vaquero_v24d9211-254,vaquero_v24d9211
263,,,,,,,,,,0.16,0.29,0.53,,,,,vaquero_v24d9211-263,vaquero_v24d9211
268,,,,,,,,,,0.17,0.35,0.33,,0.15,,,vaquero_v24d9211-268,vaquero_v24d9211
277,,,,,,,,,,0.14,0.24,0.19,0.13,0.19,0.12,,vaquero_v24d9211-277,vaquero_v24d9211
284,,,,,,,,,,0.13,0.21,0.53,,,0.13,,vaquero_v24d9211-284,vaquero_v24d9211
289,,,,,,,,,,0.11,0.19,0.34,,0.21,0.15,,vaquero_v24d9211-289,vaquero_v24d9211
296,,,,,,,,,,0.14,0.25,0.31,,0.3,,,vaquero_v24d9211-296,vaquero_v24d9211
312,,,,,,,,,,0.12,0.15,0.09,,0.42,0.23,,vaquero_v24d9211-312,vaquero_v24d9211
319,,,,,0.03,,0.12,,,0.09,,0.15,,0.32,0.3,,vaquero_v24d9211-319,vaquero_v24d9211
326,,,,,,,0.09,,,0.14,,,0.12,0.26,0.3,0.09,vaquero_v24d9211-326,vaquero_v24d9211
333,,,,,,,0.08,,,0.14,,0.04,,0.31,0.33,0.11,vaquero_v24d9211-333,vaquero_v24d9211
340,,,,,,,0.05,,,0.13,,0.06,,0.24,0.38,0.15,vaquero_v24d9211-340,vaquero_v24d9211
347,,,,,,,0.14,,,0.07,,0.13,,0.18,0.41,0.08,vaquero_v24d9211-347,vaquero_v24d9211
352,,,,,,,0.12,,,0.12,,0.07,,0.17,0.41,0.11,vaquero_v24d9211-352,vaquero_v24d9211
361,,,,,,,0.06,,,0.18,,0.15,,,0.35,0.25,vaquero_v24d9211-361,vaquero_v24d9211
