timepoint,B.1.1.7,B.1.177,B.1.351,others,sample_name,tool_name
4,0.05,,0.05,0.89,virpool_v763c212-4,virpool_v763c212
16,0.06,,0.07,0.87,virpool_v763c212-16,virpool_v763c212
25,0.1,,0.02,0.88,virpool_v763c212-25,virpool_v763c212
32,0.08,,0.04,0.87,virpool_v763c212-32,virpool_v763c212
39,0.11,,0.12,0.78,virpool_v763c212-39,virpool_v763c212
46,0.08,,0.1,0.82,virpool_v763c212-46,virpool_v763c212
51,0.08,,0.11,0.81,virpool_v763c212-51,virpool_v763c212
60,0.09,,0.12,0.8,virpool_v763c212-60,virpool_v763c212
65,0.06,,0.11,0.83,virpool_v763c212-65,virpool_v763c212
74,0.07,,0.14,0.78,virpool_v763c212-74,virpool_v763c212
81,0.07,,0.1,0.83,virpool_v763c212-81,virpool_v763c212
86,0.06,,0.1,0.83,virpool_v763c212-86,virpool_v763c212
95,0.05,,0.02,0.93,virpool_v763c212-95,virpool_v763c212
102,0.06,,0.1,0.84,virpool_v763c212-102,virpool_v763c212
109,0.06,,0.11,0.83,virpool_v763c212-109,virpool_v763c212
116,0.07,,0.12,0.81,virpool_v763c212-116,virpool_v763c212
123,0.06,,0.09,0.85,virpool_v763c212-123,virpool_v763c212
130,0.09,,0.15,0.76,virpool_v763c212-130,virpool_v763c212
137,0.07,,0.1,0.83,virpool_v763c212-137,virpool_v763c212
144,0.07,,0.15,0.77,virpool_v763c212-144,virpool_v763c212
149,0.06,,0.14,0.79,virpool_v763c212-149,virpool_v763c212
156,0.03,,0.24,0.73,virpool_v763c212-156,virpool_v763c212
163,0.09,,0.13,0.78,virpool_v763c212-163,virpool_v763c212
172,0.09,,0.07,0.84,virpool_v763c212-172,virpool_v763c212
179,0.09,,0.14,0.77,virpool_v763c212-179,virpool_v763c212
186,0.08,,0.14,0.78,virpool_v763c212-186,virpool_v763c212
193,0.08,,0.12,0.8,virpool_v763c212-193,virpool_v763c212
200,,0.09,,0.91,virpool_v763c212-200,virpool_v763c212
205,0.06,,0.13,0.8,virpool_v763c212-205,virpool_v763c212
214,0.07,,0.13,0.81,virpool_v763c212-214,virpool_v763c212
221,0.09,,0.12,0.79,virpool_v763c212-221,virpool_v763c212
228,0.07,,0.14,0.79,virpool_v763c212-228,virpool_v763c212
235,0.1,,0.16,0.74,virpool_v763c212-235,virpool_v763c212
240,0.07,,0.17,0.76,virpool_v763c212-240,virpool_v763c212
249,0.07,,0.18,0.74,virpool_v763c212-249,virpool_v763c212
254,0.06,,0.14,0.8,virpool_v763c212-254,virpool_v763c212
263,0.08,,0.13,0.79,virpool_v763c212-263,virpool_v763c212
268,0.08,,0.14,0.78,virpool_v763c212-268,virpool_v763c212
277,0.08,,0.12,0.8,virpool_v763c212-277,virpool_v763c212
284,0.09,,0.14,0.78,virpool_v763c212-284,virpool_v763c212
289,0.09,,0.13,0.78,virpool_v763c212-289,virpool_v763c212
296,0.08,,0.13,0.78,virpool_v763c212-296,virpool_v763c212
312,0.09,,0.14,0.77,virpool_v763c212-312,virpool_v763c212
319,0.08,,0.15,0.77,virpool_v763c212-319,virpool_v763c212
326,0.09,,0.14,0.77,virpool_v763c212-326,virpool_v763c212
333,0.07,,0.12,0.81,virpool_v763c212-333,virpool_v763c212
340,0.09,,0.14,0.77,virpool_v763c212-340,virpool_v763c212
347,0.09,,0.15,0.77,virpool_v763c212-347,virpool_v763c212
352,0.09,,0.16,0.75,virpool_v763c212-352,virpool_v763c212
361,0.09,,0.14,0.77,virpool_v763c212-361,virpool_v763c212
