timepoint,B.1.351,P.1.12.1,B.1.1.431,P.1.8,B.1.626,AY.121.1,P.1.16,P.1.12,P.1,B.1.351.2,B.1.544,Q.8,B.1.1.529,Q.6,Q.7,Q.1,B.1.1.506,B.1.1.302,B.1.1,B.1.1.7,Q.4,B.1.1.325,AY.71,AY.106,BA.1.1.4,B.1.1.216,B.1.597,B.1.1.218,P.1.10,B.1.1.421,AY.47,AY.57,AY.56,B.1.1.389,B.1.416,AY.4.1,CH.1.1.11,CP.3,B.1.616,B.1.351.3,AY.26,B.1.1.322,B.1.160.28,A.12,AY.74,AY.55,AY.101,AY.24,AY.45,AY.46.2,B.1.617.2,AY.59,AY.88,AY.11,CH.1.1.17,B.1.263,B.23,B.1.498,B.1.111,B.1.177.17,BQ.1.1.73,BA.2.3.22,B.1.78,C.36,AY.4.12,B.1.575.1,B.1.1.355,B.1.1.155,B.1.619.1,AP.1,B.1.1.28,others,sample_name,tool_name
1,,,,,,,,,,,,0.02,0.02,0.01,0.03,0.59,,,,0.06,0.03,,,,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-1,vlq_vd04ad36
107,0.49,,,,,,,,,0.02,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.34,vlq_vd04ad36-107,vlq_vd04ad36
122,0.43,,0.01,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-122,vlq_vd04ad36
137,0.56,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.07,,,,,,,,,,,,,,0.31,vlq_vd04ad36-137,vlq_vd04ad36
153,0.59,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.32,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,0.01,0.36,,,,0.25,0.12,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-16,vlq_vd04ad36
168,0.64,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.32,vlq_vd04ad36-168,vlq_vd04ad36
183,0.55,,,,,0.01,0.01,0.01,,0.04,0.03,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-183,vlq_vd04ad36
198,0.25,,,,,,0.35,0.02,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.29,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,0.04,,,0.69,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-213,vlq_vd04ad36
229,,0.01,,,,,0.68,0.03,0.03,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,0.75,0.01,0.08,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-244,vlq_vd04ad36
