timepoint,B.1.351,P.1,others,B.1.1.7,B.1.617.2,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg,sample_name,tool_name
1,,,0.0,0.98,,Ex09_01_WideQual_simul-1,2023-01-02,1503.53,1287.65,98.63,60.0,simulation-1,simulation
16,,,0.0,0.98,,Ex09_01_WideQual_simul-16,2023-01-17,1504.81,1349.4,97.63,60.0,simulation-16,simulation
31,,,0.0,0.98,,Ex09_01_WideQual_simul-31,2023-02-01,1503.69,1224.67,94.92,60.0,simulation-31,simulation
46,,,0.0,0.98,,Ex09_01_WideQual_simul-46,2023-02-16,1502.36,1317.16,95.38,60.0,simulation-46,simulation
61,,,0.0,0.98,,Ex09_01_WideQual_simul-61,2023-03-03,1504.48,1319.72,94.83,60.0,simulation-61,simulation
77,0.01,,0.0,0.97,,Ex09_01_WideQual_simul-77,2023-03-19,1503.47,1235.74,95.27,60.0,simulation-77,simulation
92,0.16,,0.0,0.82,,Ex09_01_WideQual_simul-92,2023-04-03,1501.07,1201.83,96.78,60.0,simulation-92,simulation
107,0.78,,0.0,0.2,,Ex09_01_WideQual_simul-107,2023-04-18,1501.21,1102.08,97.05,60.0,simulation-107,simulation
122,0.97,,0.0,0.01,,Ex09_01_WideQual_simul-122,2023-05-03,1502.17,1302.01,96.56,60.0,simulation-122,simulation
137,0.98,,0.0,,,Ex09_01_WideQual_simul-137,2023-05-18,1501.65,1102.0,97.08,60.0,simulation-137,simulation
153,0.98,,0.0,,,Ex09_01_WideQual_simul-153,2023-06-03,1502.44,1127.58,96.41,60.0,simulation-153,simulation
168,0.98,,0.0,,,Ex09_01_WideQual_simul-168,2023-06-18,1502.88,1323.57,95.38,60.0,simulation-168,simulation
183,0.93,0.05,0.0,,,Ex09_01_WideQual_simul-183,2023-07-03,1504.38,1093.6,97.27,60.0,simulation-183,simulation
198,0.49,0.49,0.0,,,Ex09_01_WideQual_simul-198,2023-07-18,1505.35,1194.2,95.22,60.0,simulation-198,simulation
213,0.05,0.93,0.0,,,Ex09_01_WideQual_simul-213,2023-08-02,1501.71,1263.96,95.85,60.0,simulation-213,simulation
229,,0.98,0.0,,,Ex09_01_WideQual_simul-229,2023-08-18,1502.89,1307.83,96.73,60.0,simulation-229,simulation
244,,0.98,0.0,,,Ex09_01_WideQual_simul-244,2023-09-02,1503.8,1188.93,97.21,60.0,simulation-244,simulation
259,,0.98,0.0,,,Ex09_01_WideQual_simul-259,2023-09-17,1501.77,1263.23,96.98,60.0,simulation-259,simulation
274,,0.97,0.01,,,Ex09_01_WideQual_simul-274,2023-10-02,1502.42,1234.06,95.15,60.0,simulation-274,simulation
289,,0.88,0.0,,0.1,Ex09_01_WideQual_simul-289,2023-10-17,1501.77,1259.07,97.08,60.0,simulation-289,simulation
305,,0.27,0.0,,0.71,Ex09_01_WideQual_simul-305,2023-11-02,1502.16,1146.31,97.82,60.0,simulation-305,simulation
320,,0.02,0.0,,0.96,Ex09_01_WideQual_simul-320,2023-11-17,1503.66,1141.04,94.99,60.0,simulation-320,simulation
335,,,0.0,,0.98,Ex09_01_WideQual_simul-335,2023-12-02,1503.95,1137.98,98.58,60.0,simulation-335,simulation
350,,,0.0,,0.98,Ex09_01_WideQual_simul-350,2023-12-17,1503.43,1442.93,97.79,60.0,simulation-350,simulation
366,,,0.0,,0.98,Ex09_01_WideQual_simul-366,2024-01-02,1503.14,1218.08,96.19,60.0,simulation-366,simulation
