timepoint,Q.8,B.1.1.431,Q.6,AY.71,Q.7,Q.1,AY.46.5,B.1.471,Q.2,B.1.1.7,Q.4,AY.43.4,B.1.1.355,B.1.1.282,A,B.1.22.1,AY.74,AY.9,AY.55,AY.24,AY.68,AY.39.2,AY.39,AY.47,B.1.617.2,AY.6,AY.4.1,AY.103,AY.57,AY.11,C.1,B.15,AY.84,B.1.351,P.1.12,B.1.351.2,P.1.16,P.1,B.1.1.415,B.1.438.1,AY.4.2.4,AY.122,B.1.36.33,BA.2.8,B.1.97,B.1.1.224,B.1.111,BQ.1.1.72,B.1.1.234,B.1.1.303,B.1.1.118,BA.2.28,AY.128,B.1.1.329,B.1.1.500,B.1.619,others,sample_name,tool_name
1,,,0.01,,0.02,0.48,,,,0.06,0.27,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-1,vlq_vd04ad36
107,,0.01,,,,0.12,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,0.04,,,,,,,,,,0.34,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.01,,,,,,,,,,,,,,,,,,0.39,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,0.01,,,,,,,,,0.02,,,0.36,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,0.02,,,,0.05,,,,,,,,,,,,,,,0.02,,0.34,vlq_vd04ad36-153,vlq_vd04ad36
16,0.01,,0.02,,0.02,0.75,,,,,0.02,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-16,vlq_vd04ad36
168,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,0.17,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.01,,0.35,0.05,0.03,,,,,,,,,0.06,0.01,,,,,,,,0.23,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.75,0.06,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.66,0.08,,,,,,,,,,,,0.02,0.09,,,,,,0.14,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.67,0.14,,,,,,0.04,,,,,,,,,,,,,0.12,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,0.83,0.02,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.65,0.22,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.68,0.05,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,0.01,,,,,,,,,,0.02,,0.15,0.01,,,,0.01,,0.01,0.01,,,0.01,,,,,0.01,,0.17,0.06,,,,0.01,,,,,,,,,,0.02,,,,,0.5,vlq_vd04ad36-305,vlq_vd04ad36
31,0.07,,0.01,,0.04,0.52,,,0.01,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.17,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,0.02,0.01,0.2,0.02,,,0.01,,0.01,0.01,0.01,,,0.03,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.65,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,,,,,,,0.01,,0.13,0.02,,,,0.02,0.04,0.01,0.02,0.01,0.01,0.05,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,0.01,,,0.01,,,,,,,,,,,,0.25,,,,,0.02,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.66,vlq_vd04ad36-350,vlq_vd04ad36
366,,0.01,,,,,0.01,,,,,,,,,,0.01,,0.24,0.01,0.02,0.03,,0.01,,0.01,0.01,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-366,vlq_vd04ad36
46,0.02,,0.01,,0.02,0.69,,,,0.02,0.03,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,0.03,0.33,,,0.15,0.02,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-61,vlq_vd04ad36
77,0.02,,0.01,,0.01,0.69,,,0.01,0.02,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-77,vlq_vd04ad36
92,,,0.01,,,0.37,,0.02,,0.15,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,0.08,,,,,,,,,,,,0.01,,,,,,,,,,,0.31,vlq_vd04ad36-92,vlq_vd04ad36
