timepoint,B.1.617.2,others,P.1,B.1.1.7,B.1.351,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,0.02,,0.98,,simul-1,simulation,Ex09_02_WideQual_simul-1,2023-01-02,1502.3275591077818,1201.1402356287947,95.31150720663479,59.9999
16,,0.02,,0.98,,simul-16,simulation,Ex09_02_WideQual_simul-16,2023-01-17,1500.072802059994,1147.7517788092566,97.14409925425542,59.9998
31,,0.02,,0.9776,0.0024,simul-31,simulation,Ex09_02_WideQual_simul-31,2023-02-01,1503.5941544326656,1127.63493810296,96.55218539945824,59.9998
46,,0.02,,0.9776,0.0024,simul-46,simulation,Ex09_02_WideQual_simul-46,2023-02-16,1500.323913988563,1166.2164085667077,97.13406681603853,59.9999
61,,0.02,,0.9772,0.0028000000000000004,simul-61,simulation,Ex09_02_WideQual_simul-61,2023-03-03,1500.575995719493,1325.1367965225393,97.37818947931646,59.9999
77,,0.02,,0.968,0.012,simul-77,simulation,Ex09_02_WideQual_simul-77,2023-03-19,1504.637561448684,1185.3438587474814,96.08066080326388,59.9999
92,,0.02,,0.8155,0.16449999999999998,simul-92,simulation,Ex09_02_WideQual_simul-92,2023-04-03,1504.0358158044344,1317.6868155717245,95.93686252215497,59.9999
107,,0.02,,0.19579999999999997,0.7842,simul-107,simulation,Ex09_02_WideQual_simul-107,2023-04-18,1503.6336822392402,1129.107532044807,96.61906832090426,59.9999
122,,0.02,,0.012,0.968,simul-122,simulation,Ex09_02_WideQual_simul-122,2023-05-03,1503.2327525666321,1209.6580726249804,97.27117680500285,59.9999
137,,0.02,,0.0006,0.9793999999999999,simul-137,simulation,Ex09_02_WideQual_simul-137,2023-05-18,1505.735611811524,1178.285505746749,97.42500752432866,59.9999
153,,0.02,0.0001,,0.9799,simul-153,simulation,Ex09_02_WideQual_simul-153,2023-06-03,1503.7495569006455,1231.0689670905458,95.59575962278032,59.9999
168,,0.02,0.0024,,0.9776,simul-168,simulation,Ex09_02_WideQual_simul-168,2023-06-18,1502.275390429054,1162.275335866153,93.76985586730429,59.9999
183,,0.02,0.0458,,0.9342,simul-183,simulation,Ex09_02_WideQual_simul-183,2023-07-03,1503.7242082734174,1212.045413544477,95.39845500451459,59.9999
198,,0.02,0.48619999999999997,,0.4938,simul-198,simulation,Ex09_02_WideQual_simul-198,2023-07-18,1503.7228371735278,1081.8197931453112,96.42510784871084,59.9935
213,,0.02,0.9328,,0.0472,simul-213,simulation,Ex09_02_WideQual_simul-213,2023-08-02,1501.3244490519346,1233.306764686247,97.09728120924322,59.9999
229,,0.02,0.978,,0.002,simul-229,simulation,Ex09_02_WideQual_simul-229,2023-08-18,1502.588536267264,1199.152468068376,97.28120924321975,60
244,,0.02,0.9799,,0.0001,simul-244,simulation,Ex09_02_WideQual_simul-244,2023-09-02,1501.1510550780858,1320.730214996779,95.63923352172023,59.9999
259,0.0003,0.02,0.9797,,,simul-259,simulation,Ex09_02_WideQual_simul-259,2023-09-17,1499.6078319901014,1139.0044659415278,95.92014179179347,59.9999
274,0.0053,0.02,0.9747,,,simul-274,simulation,Ex09_02_WideQual_simul-274,2023-10-02,1503.2255960940374,1129.781797536041,96.32478346654182,59.9999
289,0.0964,0.02,0.8835999999999999,,,simul-289,simulation,Ex09_02_WideQual_simul-289,2023-10-17,1501.6746145871653,1155.8020920359952,98.12727819951176,59.9999
305,0.7134,0.02,0.2666,,,simul-305,simulation,Ex09_02_WideQual_simul-305,2023-11-02,1503.2409457245092,1188.6103476148783,96.07062836504699,59.9999
320,0.9621,0.02,0.0179,,,simul-320,simulation,Ex09_02_WideQual_simul-320,2023-11-17,1502.0792562619135,1061.661998876428,96.30471859010802,59.9999
335,0.9791,0.02,0.0009,,,simul-335,simulation,Ex09_02_WideQual_simul-335,2023-12-02,1503.9300739056282,1273.1374014272774,98.14734307594556,59.9998
350,0.98,0.02,,,,simul-350,simulation,Ex09_02_WideQual_simul-350,2023-12-17,1502.4147409958866,1174.526825580625,95.77968765675685,59.9998
366,0.98,0.02,,,,simul-366,simulation,Ex09_02_WideQual_simul-366,2024-01-02,1503.6016453198677,1184.1298324916108,97.07052804066481,59.9999
