timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.97,,,,0.03,vaquero_v24d9211-1,vaquero_v24d9211
16,0.97,,,,0.03,vaquero_v24d9211-16,vaquero_v24d9211
31,0.97,,,,0.03,vaquero_v24d9211-31,vaquero_v24d9211
46,0.97,,,,0.03,vaquero_v24d9211-46,vaquero_v24d9211
61,0.97,,,,0.03,vaquero_v24d9211-61,vaquero_v24d9211
77,0.96,,,,0.04,vaquero_v24d9211-77,vaquero_v24d9211
92,0.82,0.16,,,0.02,vaquero_v24d9211-92,vaquero_v24d9211
107,0.2,0.78,,,0.02,vaquero_v24d9211-107,vaquero_v24d9211
122,,0.96,,,0.04,vaquero_v24d9211-122,vaquero_v24d9211
137,,0.97,,,0.03,vaquero_v24d9211-137,vaquero_v24d9211
153,,0.98,,,0.02,vaquero_v24d9211-153,vaquero_v24d9211
168,,0.97,,,0.03,vaquero_v24d9211-168,vaquero_v24d9211
183,,0.93,,,0.07,vaquero_v24d9211-183,vaquero_v24d9211
198,,0.5,,0.48,0.02,vaquero_v24d9211-198,vaquero_v24d9211
213,,,,0.92,0.08,vaquero_v24d9211-213,vaquero_v24d9211
229,,,,0.97,0.03,vaquero_v24d9211-229,vaquero_v24d9211
244,,,,0.98,0.02,vaquero_v24d9211-244,vaquero_v24d9211
259,,,,0.98,0.02,vaquero_v24d9211-259,vaquero_v24d9211
274,,,,0.97,0.03,vaquero_v24d9211-274,vaquero_v24d9211
289,,,0.11,0.87,0.02,vaquero_v24d9211-289,vaquero_v24d9211
305,,,,0.26,0.74,vaquero_v24d9211-305,vaquero_v24d9211
