timepoint,B.1.351,Q.8,B.1.1.385,B.1.616,B.1.1.431,B.1.1.326,Q.6,AY.71,AY.26,AY.53,Q.7,AY.47,Q.1,AY.25,B.1.1.82,AS.1,B.1.1.422,B.1.470,B.1.1.148,B.1.1.7,B.1.258.17,B.1.351.2,Q.4,B.1.399,XBM,B.1.1.421,AY.74,AY.55,AY.38,AY.24,AY.51,AY.41,B.1.617.2,AY.6,AY.4.1,B.1.149,AY.59,AY.57,P.1.16,AY.11,P.1.12,B.1.177.64,CM.5.2,B.1.160.18,AY.99.1,Q.2,B.1.177.12,B.1.1.270,B.1.480,B.1.160.11,B.1.413,B.1.1.178,BA.1,AY.46.2,B.1.1.17,B.1.568,B.1.411,P.1,B.1.1.87,B.1.630,AP.1,BF.7.16,B.1.9.4,B.1.342,B.1.482,B.1.147,B.1.1.57,B.1.40,B.1.177.57,DN.1.1.1,B.1.415.1,B.1.1.500,AY.8,AY.114,AM.1,B.1.206,C.10,BN.1.4.3,B.1.1.27,BA.1.20,A.28,DB.3,AA.2,B.1.1.4,B.23,others,sample_name,tool_name
1,,0.02,,,,,0.03,,,,0.01,,0.59,,,,,,,0.02,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-1,vlq_vd04ad36
107,0.33,,0.02,,,,0.01,,,,,,0.11,,0.01,,,,,,,0.08,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-107,vlq_vd04ad36
122,0.59,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-122,vlq_vd04ad36
137,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.03,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,0.34,vlq_vd04ad36-137,vlq_vd04ad36
153,0.64,,,,0.01,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.03,,0.02,,,0.02,,,,0.02,,0.54,,,,,,,0.07,,,0.14,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,vlq_vd04ad36-16,vlq_vd04ad36
168,0.52,,,,0.01,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,0.28,vlq_vd04ad36-168,vlq_vd04ad36
183,0.57,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-183,vlq_vd04ad36
198,0.17,,,,,,,,,,,,,0.03,,,,,,,,0.06,,,,,,,,,,,,,,0.02,,,0.38,,0.01,,,,,,,,,,,,,,,,,0.05,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,0.02,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.12,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,0.01,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,0.03,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,0.02,,,,,,,,,,,,,,,,,0.1,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,0.03,,,,,,,,,,,,,,,,,0.18,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,0.01,0.06,,,,,0.03,,0.01,,0.01,,0.22,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,0.55,vlq_vd04ad36-305,vlq_vd04ad36
31,,0.02,,,,,0.02,,,,0.06,,0.6,,,,,,,0.04,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.2,vlq_vd04ad36-31,vlq_vd04ad36
