timepoint,B.1.351,B.1.640.2,B.1.616,B.1.1.431,AY.71,B.1.351.3,AY.47,AY.4.1,P.1.16,B.1.1.432,B.1.1.46,B.1.525,P.1.12,P.1,B.1.1.302,B.1.1.7,P.2,B.1.351.2,B.1.582,Q.8,Q.6,Q.7,Q.1,B.1.1.371,Q.2,Q.4,B.1.280,AY.74,AY.55,AY.24,AY.122.1,AY.68,AY.26,AY.48,AY.66,AY.53,B.1.617.2,AY.6,AY.98.1,AY.59,AY.57,AY.23.1,AY.69,B.1.1.253,AY.11,AY.114,BA.5.2.32,AY.124.1.1,B.1.149,AY.54,B.1.480,S.1,L.2,B.1.1.255,B.1.160.14,B.1.1.39,EM.1,B.1.407,DN.3.1,AY.4.15,AY.119.2,P.1.7.1,B.1.383,B.1.391,BQ.1.3,B.1.258.16,B.1.488,B.1.1.237,B.18,B.1.177.53,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,0.16,,,,,0.01,0.1,0.41,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-1,vlq_vd04ad36
107,0.53,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.33,vlq_vd04ad36-107,vlq_vd04ad36
122,0.49,,,0.01,,0.04,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,0.29,vlq_vd04ad36-122,vlq_vd04ad36
137,0.46,0.01,,,,,,,,,,0.05,,,0.03,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,,0.27,vlq_vd04ad36-137,vlq_vd04ad36
153,0.56,,,0.01,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,0.33,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,0.02,,,,,,0.01,0.68,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.27,vlq_vd04ad36-16,vlq_vd04ad36
168,0.45,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.49,vlq_vd04ad36-168,vlq_vd04ad36
183,0.49,,,,,,,,0.02,,,,,,,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-183,vlq_vd04ad36
198,0.27,,,,,,,,0.33,,,,0.02,0.03,,,,0.03,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.28,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,0.52,0.04,,,0.02,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,0.73,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,0.77,,,,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,0.53,,,,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.2,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,0.51,,,,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.15,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,0.26,,,,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,0.02,,0.03,,,,,,,,,,,,,,0.24,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,0.01,,,,0.19,,,,0.01,0.02,,,,,,,,,,,,,,,0.06,0.04,,0.04,,,,,,,,,,,,,0.02,0.04,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.56,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,,,,0.02,,,,0.14,0.03,0.08,0.55,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,0.02,0.02,0.01,,,0.01,0.02,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,,0.04,0.3,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,0.56,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,0.15,0.02,,,,0.01,,,0.07,0.01,,0.01,,,,,0.02,0.03,0.01,,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,0.01,0.01,,0.04,0.01,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.01,,,0.02,,,0.02,0.12,,,,0.06,,,,0.03,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.56,vlq_vd04ad36-366,vlq_vd04ad36
46,,,0.01,,,,,,,,,,,,,0.04,,,,0.01,,0.02,0.7,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-46,vlq_vd04ad36
61,,,,,,,,,,,,,,,,0.27,,,,0.02,0.01,0.23,0.09,,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,0.18,,,,0.03,0.01,,0.55,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-77,vlq_vd04ad36
92,0.08,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.57,0.01,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-92,vlq_vd04ad36
