timepoint,B.1.1.7,B.1.351,others,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,,0.02,,,simul-1,simulation,Ex10_01_WideQual_simul-1,2023-01-02,1503.5167040096312,1690.1931251174167,92.91375447279538,59.9999
16,0.98,,0.02,,,simul-16,simulation,Ex10_01_WideQual_simul-16,2023-01-17,1504.614754372471,1511.7941282641987,88.6499682306123,59.9998
31,0.9776,0.0024,0.02,,,simul-31,simulation,Ex10_01_WideQual_simul-31,2023-02-01,1504.1061431963349,1546.3933373041505,91.09119486339164,59.9999
46,0.9776,0.0024,0.02,,,simul-46,simulation,Ex10_01_WideQual_simul-46,2023-02-16,1506.4559408754974,1669.3492158577005,90.17155469350901,59.9999
61,0.9772,0.0028000000000000004,0.02,,,simul-61,simulation,Ex10_01_WideQual_simul-61,2023-03-03,1501.7388221917533,1551.1309660916259,88.82051968029964,59.9999
77,0.968,0.012,0.02,,,simul-77,simulation,Ex10_01_WideQual_simul-77,2023-03-19,1504.833127110992,1519.2177984055427,90.1213925024245,59.9999
92,0.8155,0.16449999999999998,0.02,,,simul-92,simulation,Ex10_01_WideQual_simul-92,2023-04-03,1504.5111861686119,1576.6743314209361,86.27896866535131,59.9999
107,0.19579999999999997,0.7842,0.02,,,simul-107,simulation,Ex10_01_WideQual_simul-107,2023-04-18,1505.4426646155905,1468.5583675380121,87.86743804969402,59.9999
122,0.012,0.968,0.02,,,simul-122,simulation,Ex10_01_WideQual_simul-122,2023-05-03,1502.7250108684748,1510.0112439707455,92.19810721332308,59.9999
137,0.0006,0.9793999999999999,0.02,,,simul-137,simulation,Ex10_01_WideQual_simul-137,2023-05-18,1505.7344748018593,1896.9100637364668,90.02106812025549,59.9999
153,,0.9799,0.02,0.0001,,simul-153,simulation,Ex10_01_WideQual_simul-153,2023-06-03,1502.1746313078954,1583.3050637270128,87.0581547001973,59.9999
168,,0.9776,0.02,0.0024,,simul-168,simulation,Ex10_01_WideQual_simul-168,2023-06-18,1504.789954185199,1500.3557754088072,93.45885028258034,59.9999
183,,0.9342,0.02,0.0458,,simul-183,simulation,Ex10_01_WideQual_simul-183,2023-07-03,1503.3922348928202,1565.0910790630437,91.38882386382637,59.9999
198,,0.4938,0.02,0.48619999999999997,,simul-198,simulation,Ex10_01_WideQual_simul-198,2023-07-18,1499.9324816908002,1557.9606585449108,90.07791860348459,59.9999
213,,0.0472,0.02,0.9328,,simul-213,simulation,Ex10_01_WideQual_simul-213,2023-08-02,1501.7300939705046,1805.208584604686,87.49289368959636,59.9998
229,,0.002,0.02,0.978,,simul-229,simulation,Ex10_01_WideQual_simul-229,2023-08-18,1498.8135304150085,1438.6649615257281,93.26154566431461,59.9999
244,,0.0001,0.02,0.9799,,simul-244,simulation,Ex10_01_WideQual_simul-244,2023-09-02,1503.20860783199,1704.390784174136,87.56980904925928,59.9999
259,,,0.02,0.9797,0.0003,simul-259,simulation,Ex10_01_WideQual_simul-259,2023-09-17,1501.7437715279405,1561.2979463890779,88.579741163094,60
274,,,0.02,0.9747,0.0053,simul-274,simulation,Ex10_01_WideQual_simul-274,2023-10-02,1502.5684713908304,1481.9336503057739,90.01103568203858,59.9999
289,,,0.02,0.8835999999999999,0.0964,simul-289,simulation,Ex10_01_WideQual_simul-289,2023-10-17,1501.5342607765108,1942.8180414626986,92.82346252884327,59.9999
305,,,0.02,0.2666,0.7134,simul-305,simulation,Ex10_01_WideQual_simul-305,2023-11-02,1506.2248938233622,1921.4269588275945,86.16526769889309,60
320,,,0.02,0.0179,0.9621,simul-320,simulation,Ex10_01_WideQual_simul-320,2023-11-17,1503.3384610239775,1723.6437232069543,90.12808079456912,59.9999
335,,,0.02,0.0009,0.9791,simul-335,simulation,Ex10_01_WideQual_simul-335,2023-12-02,1503.0286927733002,1536.3087692209024,89.37899207437381,60
350,,,0.02,,0.98,simul-350,simulation,Ex10_01_WideQual_simul-350,2023-12-17,1502.2398421563055,1538.1976110275732,91.5861284820921,59.9999
366,,,0.02,,0.98,simul-366,simulation,Ex10_01_WideQual_simul-366,2024-01-02,1502.796675918804,1603.4049517911726,86.46624084540012,59.9999
