timepoint,A.23.1,B.1.1.7,B.1,B.1.1,B.1.177,B.1.617.3,B.1.623,B.1.351,B.1.617.2,P.1,P.3,others,sample_name,tool_name
1,,0.97,,,,,,,,,,0.03,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.18,0.02,,,,0.01,0.73,,,,0.05,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,0.01,,,,,,0.95,,,,0.03,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,,,,,,0.96,,,,0.04,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,,,,,,0.97,,,,0.03,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.97,,,,,,,,,,0.03,lcs_vcfc2f02-16,lcs_vcfc2f02
168,0.01,,,,,,,0.96,,,,0.03,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,,,,,,,0.93,,0.03,,0.04,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,0.02,0.05,,,,0.47,,0.4,,0.06,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,,,,,0.06,,0.91,,0.03,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,,,,,,0.96,,0.04,lcs_vcfc2f02-229,lcs_vcfc2f02
244,,,,,0.02,,,,,0.94,,0.03,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,,,,,,,,,0.95,,0.05,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,,,,,,,,,0.96,,0.04,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,,,0.02,,,,,0.07,0.85,,0.05,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,0.07,,,,,0.6,0.25,,0.08,lcs_vcfc2f02-305,lcs_vcfc2f02
31,0.04,0.93,,,,,,,,,,0.02,lcs_vcfc2f02-31,lcs_vcfc2f02
320,0.03,,0.11,,,0.05,,,0.75,0.02,0.01,0.03,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,0.1,0.01,,,,,0.82,,,0.07,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,0.08,,,0.02,,,0.84,,,0.06,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,0.05,0.03,,,,,0.85,,,0.07,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.97,,,,,,,,,,0.03,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.97,,,,,,,,,,0.03,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,0.95,,,,,,,,,,0.05,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.79,0.01,,,,,0.14,,,,0.06,lcs_vcfc2f02-92,lcs_vcfc2f02
