timepoint,B.1.351,Q.8,B.1.78,B.1.36.22,B.1.1.431,AY.71,B.1.351.3,AY.34,B.1.471,B.1.362.2,C.17,B.1.177.52,B.1.351.2,P.1.7,AY.47,B.1.600,P.1.16,B.1.1.12,P.1.10,P.1.12,B.1.117,P.1,B.1.1.7,AY.84,AY.74,AY.82,AY.55,AY.46.4,XBC.2,AY.24,AY.122.1,AY.106,AY.66,AY.9.2.2,B.1.617.2,AY.46.5,AY.44,AY.6,AY.4.1,AY.46.6,AY.57,AY.32,AY.88,AY.11,B.1.234,AY.103.1,AY.2,AY.119.2,B.1.1.14,Q.6,Q.7,Q.1,Q.2,Q.4,B.1.36.16,B.1.320,B.1.1.277,A.23.1,B.1.1.50,B.1.177.41,AY.121,B.1.40,B.1.221.2,B.1.1.100,B.1.177.25,AY.25.1,AY.129,AY.7.1,AY.4.5,Y.1,BA.1.1.6,B.1.1.262,AA.7,AQ.1,AY.8,AY.90,AY.58,AY.17,AC.1,XBB.3.3,EA.1,XBB.1.5.25,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.47,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-1,vlq_vd04ad36
107,0.37,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq_vd04ad36-107,vlq_vd04ad36
122,0.66,,0.02,,,,,0.02,,0.05,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-122,vlq_vd04ad36
137,0.43,,,,,,,,,,,0.01,0.07,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.05,,,,,,,,,,0.36,vlq_vd04ad36-137,vlq_vd04ad36
153,0.5,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,0.37,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,0.29,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-16,vlq_vd04ad36
168,0.68,,,0.01,0.01,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-168,vlq_vd04ad36
183,0.63,,,,0.01,,0.03,,,,,,0.02,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.27,vlq_vd04ad36-183,vlq_vd04ad36
198,0.27,,,,,,,,,,,,,,,,0.28,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-198,vlq_vd04ad36
213,0.01,,,,,,,,,,,,,,,,0.66,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.04,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-213,vlq_vd04ad36
