timepoint,B.1.1.7,others,B.1.351,P.1,B.1.617.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.98,0.02,,,,simul-1,simulation,Ex11_02_WideQual_simul-1,2023-01-02,1502.525164699194,1517.3356522317208,89.9876266595325,60
16,0.98,0.02,,,,simul-16,simulation,Ex11_02_WideQual_simul-16,2023-01-17,1499.942547570478,1821.1755478458756,85.74056114771093,59.9999
31,0.9776,0.02,0.0024,,,simul-31,simulation,Ex11_02_WideQual_simul-31,2023-02-01,1501.523860482226,1749.5708540067585,87.88081463398322,59.9999
46,0.9776,0.02,0.0024,,,simul-46,simulation,Ex11_02_WideQual_simul-46,2023-02-16,1504.663043841755,1862.949083712015,84.04842323512692,59.9999
61,0.9772,0.02,0.0028000000000000004,,,simul-61,simulation,Ex11_02_WideQual_simul-61,2023-03-03,1503.9132194094238,1905.5168178688962,86.36591646323112,59.9999
77,0.968,0.02,0.012,,,simul-77,simulation,Ex11_02_WideQual_simul-77,2023-03-19,1504.2553589940808,1787.862000119724,84.83429756211751,59.9998
92,0.8155,0.02,0.16449999999999998,,,simul-92,simulation,Ex11_02_WideQual_simul-92,2023-04-03,1501.3386616727419,1694.778863077789,83.03180282914757,59.9998
107,0.19579999999999997,0.02,0.7842,,,simul-107,simulation,Ex11_02_WideQual_simul-107,2023-04-18,1503.9749523459184,1651.6998934123733,88.5529879945156,59.9999
122,0.012,0.02,0.968,,,simul-122,simulation,Ex11_02_WideQual_simul-122,2023-05-03,1503.1792127880146,1533.3934867034293,84.35942881985085,59.9997
137,0.0006,0.02,0.9793999999999999,,,simul-137,simulation,Ex11_02_WideQual_simul-137,2023-05-18,1499.2968264053775,1933.268919381576,83.04852355950908,60
153,,0.02,0.9799,0.0001,,simul-153,simulation,Ex11_02_WideQual_simul-153,2023-06-03,1506.0996889944154,1888.400894299292,87.64672440892218,59.9999
168,,0.02,0.9776,0.0024,,simul-168,simulation,Ex11_02_WideQual_simul-168,2023-06-18,1501.033073604655,1810.0819634508487,83.01173795271377,59.9999
183,,0.02,0.9342,0.0458,,simul-183,simulation,Ex11_02_WideQual_simul-183,2023-07-03,1505.2761930241113,1586.843176056693,85.82416479951844,59.9999
198,,0.02,0.4938,0.48619999999999997,,simul-198,simulation,Ex11_02_WideQual_simul-198,2023-07-18,1504.3690934019999,2086.7688459796577,90.53606661538977,59.9999
213,,0.02,0.0472,0.9328,,simul-213,simulation,Ex11_02_WideQual_simul-213,2023-08-02,1502.5474367120355,1828.7893892611755,87.48620539745177,59.9999
229,,0.02,0.002,0.978,,simul-229,simulation,Ex11_02_WideQual_simul-229,2023-08-18,1502.525164699194,1984.4709127924423,85.5332240912283,59.9999
244,,0.02,0.0001,0.9799,,simul-244,simulation,Ex11_02_WideQual_simul-244,2023-09-02,1505.375480720998,1870.4293939953895,86.11510550780858,59.9999
259,,0.02,,0.9797,0.0003,simul-259,simulation,Ex11_02_WideQual_simul-259,2023-09-17,1501.7618633581915,1971.081546008082,79.26963849780958,59.9999
274,,0.02,,0.9747,0.0053,simul-274,simulation,Ex11_02_WideQual_simul-274,2023-10-02,1505.0804601544996,1833.2959183484054,82.08540949068656,59.9999
289,,0.02,,0.8835999999999999,0.0964,simul-289,simulation,Ex11_02_WideQual_simul-289,2023-10-17,1501.7691201551684,1621.8090108665992,85.33926361903488,59.9999
305,,0.02,,0.2666,0.7134,simul-305,simulation,Ex11_02_WideQual_simul-305,2023-11-02,1503.717252449587,1632.2972855903313,88.95094137711935,59.9999
320,,0.02,,0.0179,0.9621,simul-320,simulation,Ex11_02_WideQual_simul-320,2023-11-17,1498.3384610239775,1781.3932315868128,82.23589606394007,60
335,,0.02,,0.0009,0.9791,simul-335,simulation,Ex11_02_WideQual_simul-335,2023-12-02,1504.483764170819,1653.5308479922912,85.21553021435976,59.9999
350,,0.02,,,0.98,simul-350,simulation,Ex11_02_WideQual_simul-350,2023-12-17,1503.7390562819785,1664.4814350895842,88.49948165735879,59.9999
366,,0.02,,,0.98,simul-366,simulation,Ex11_02_WideQual_simul-366,2024-01-02,1498.5795739557905,1803.5558864484624,80.72434203926028,59.9999
