timepoint,B.1.1.7,B.1.258,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.97,,,,,0.03,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
16,0.97,0.01,,,,0.01,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
31,0.97,,,,,0.03,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
46,0.97,,,,,0.03,vaquero_v24d9211_oldref-46,vaquero_v24d9211_oldref
61,0.97,,,,,0.03,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
77,0.96,,,,,0.04,vaquero_v24d9211_oldref-77,vaquero_v24d9211_oldref
92,0.81,,0.16,,,0.03,vaquero_v24d9211_oldref-92,vaquero_v24d9211_oldref
107,0.2,,0.78,,,0.02,vaquero_v24d9211_oldref-107,vaquero_v24d9211_oldref
122,,,0.96,,,0.04,vaquero_v24d9211_oldref-122,vaquero_v24d9211_oldref
137,,,0.97,,,0.03,vaquero_v24d9211_oldref-137,vaquero_v24d9211_oldref
153,,,0.98,,,0.02,vaquero_v24d9211_oldref-153,vaquero_v24d9211_oldref
168,,,0.97,,,0.03,vaquero_v24d9211_oldref-168,vaquero_v24d9211_oldref
183,,,0.94,,,0.06,vaquero_v24d9211_oldref-183,vaquero_v24d9211_oldref
198,,,0.49,,0.49,0.03,vaquero_v24d9211_oldref-198,vaquero_v24d9211_oldref
213,,,,,0.93,0.07,vaquero_v24d9211_oldref-213,vaquero_v24d9211_oldref
229,,,,,0.97,0.03,vaquero_v24d9211_oldref-229,vaquero_v24d9211_oldref
244,,,,,0.98,0.02,vaquero_v24d9211_oldref-244,vaquero_v24d9211_oldref
259,,,,,0.97,0.03,vaquero_v24d9211_oldref-259,vaquero_v24d9211_oldref
274,,,,,0.97,0.03,vaquero_v24d9211_oldref-274,vaquero_v24d9211_oldref
289,,,,0.12,0.86,0.02,vaquero_v24d9211_oldref-289,vaquero_v24d9211_oldref
305,,,,,0.33,0.67,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
