timepoint,B.1.351,Q.8,AY.74,B.1.1.431,B.1.170,B.1.626,Q.6,Q.7,B.1.151,AY.20,AY.47,Q.1,AY.46.5,AY.11,Q.2,B.1.1.7,B.1.351.2,Q.4,B.1.399,B.1.1.421,B.1.1.270,B.1.1.280,B.1.177.75,B.1.1.138,AY.9,AY.61,AY.55,AY.58,AY.24,AY.46.6.1,AY.122.1,AY.26,AY.66,AY.53,AY.75,AY.34,B.1.617.2,AY.4.1,AY.59,AY.57,B.1.1.187,AY.88,B.1.639,B.1.177.46,B.1.1.269,A.23.1,B.1.1.301,BA.1.17,A.15,B.1.523,B.1.582,P.1,AY.99.2,AY.23.1,P.1.7.1,P.1.16,P.1.1,P.1.12,AY.2,B.1.1.91,AY.109,AY.36.1,B.1.358,EA.1,P.1.12.1,CA.6,EE.1,BN.1.4.3,P.1.10,B.1.1.288,B.1.177.4,B.1.1.406,BQ.1,B.1.1.398,B.1.1.522,others,sample_name,tool_name
1,,,,,,,,,,,,0.42,,,,0.01,,0.35,,,0.01,,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq_vd04ad36-1,vlq_vd04ad36
107,0.49,,,,,,,,,,,0.12,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-107,vlq_vd04ad36
122,0.42,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,0.37,vlq_vd04ad36-122,vlq_vd04ad36
137,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-137,vlq_vd04ad36
153,0.52,,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,0.38,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,0.32,,,,0.01,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-16,vlq_vd04ad36
168,0.42,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.02,0.42,vlq_vd04ad36-168,vlq_vd04ad36
183,0.37,,,,0.04,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.46,vlq_vd04ad36-183,vlq_vd04ad36
198,0.3,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,0.02,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-198,vlq_vd04ad36
213,0.01,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,0.01,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-213,vlq_vd04ad36
