timepoint,B.1.351,B.1.36.22,B.1.1.431,Q.6,AY.71,AY.106,AY.53,B.1.415.1,P.1.16,P.1.1,P.1.14,P.1.10,P.1.12,P.1,B.1.36.1,AY.24,AY.46.5,AY.57,BA.2.66,Q.8,AY.23.2,Q.7,Q.1,B.1.1.44,Q.2,B.1.1.7,Q.4,B.1.310,AY.47,P.1.7.1,AY.84,B.1.351.3,C.36.1,B.1.1.118,B.1.9.4,B.1.177.20,B.1.160.11,B.1.240.1,B.1.177.8,BA.1.20,B.1.617.2,B.1.1.141,B.1.1.148,B.1.351.2,AY.74,AY.75.2,AY.55,AY.58,AY.38,AY.26,AY.75,AY.9.2.2,AY.98.1,AY.59,AY.119,AY.73,AY.69,AY.11,AY.119.2,B.1.1.240,AY.2,AY.28,B.1.151,AY.43.5,B.1.36.37,BA.5.1.20,B.1.600,BA.2.79,B.1.1.435,B.1.187,B.1.372,B.1.177.39,B.1.219,B.1.240,XH,others,sample_name,tool_name
1,,,,0.02,,,,,,,,,,,,,,,,,,,0.82,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-1,vlq_vd04ad36
107,0.25,,,,,,,,,,,,,,,,,,,0.02,,,0.09,,,,,,,,,,,,,,,,,0.02,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-107,vlq_vd04ad36
122,0.5,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,vlq_vd04ad36-122,vlq_vd04ad36
137,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-137,vlq_vd04ad36
153,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,0.02,,,0.19,,0.1,0.39,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.23,vlq_vd04ad36-16,vlq_vd04ad36
168,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-168,vlq_vd04ad36
183,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,0.51,vlq_vd04ad36-183,vlq_vd04ad36
198,0.08,,0.02,,,,,,0.35,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,0.04,0.65,,0.01,0.02,0.02,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq_vd04ad36-213,vlq_vd04ad36
