timepoint,B.1.351,P.1,others,B.1.617.2,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,,0.98,simul-1,simulation,Ex12_01_WideQual_simul-1,2023-01-02,1505.310169548206,2097.6884161693147,81.22261980403303,59.9998
16,,,0.02,,0.98,simul-16,simulation,Ex12_01_WideQual_simul-16,2023-01-17,1500.3245493763168,1937.1773954465152,71.66170618332609,60
31,0.0024,,0.02,,0.9776,simul-31,simulation,Ex12_01_WideQual_simul-31,2023-02-01,1506.371969367622,2032.1221984851466,73.94910209677958,59.9999
46,0.0024,,0.02,,0.9776,simul-46,simulation,Ex12_01_WideQual_simul-46,2023-02-16,1506.7585192121192,2275.4912948878537,80.07223355516169,59.9998
61,0.0028000000000000004,,0.02,,0.9772,simul-61,simulation,Ex12_01_WideQual_simul-61,2023-03-03,1499.907400595258,2611.0686709456904,74.37380864796175,60
77,0.012,,0.02,,0.968,simul-77,simulation,Ex12_01_WideQual_simul-77,2023-03-19,1501.6256897301273,2086.0156193361254,76.65117212319834,59.9999
92,0.16449999999999998,,0.02,,0.8155,simul-92,simulation,Ex12_01_WideQual_simul-92,2023-04-03,1498.8194161120957,2210.7366657002517,74.81523592950539,59.9999
107,0.7842,,0.02,,0.19579999999999997,simul-107,simulation,Ex12_01_WideQual_simul-107,2023-04-18,1505.0900244122663,2175.23321262746,75.29010467177206,60
122,0.968,,0.02,,0.012,simul-122,simulation,Ex12_01_WideQual_simul-122,2023-05-03,1501.6691636290673,2093.896068761291,69.4612580677524,59.9999
137,0.9793999999999999,,0.02,,0.0006,simul-137,simulation,Ex12_01_WideQual_simul-137,2023-05-18,1504.887235394442,2313.6851713722567,74.37715279403405,60
153,0.9799,0.0001,0.02,,,simul-153,simulation,Ex12_01_WideQual_simul-153,2023-06-03,1503.5337591546,2145.3512255573146,75.99237534695516,59.9999
168,0.9776,0.0024,0.02,,,simul-168,simulation,Ex12_01_WideQual_simul-168,2023-06-18,1503.4344380162524,2088.332700273793,81.47677490552788,59.9996
183,0.9342,0.0458,0.02,,,simul-183,simulation,Ex12_01_WideQual_simul-183,2023-07-03,1504.6701334314282,2049.3714635873216,77.17620305654951,59.9998
198,0.4938,0.48619999999999997,0.02,,,simul-198,simulation,Ex12_01_WideQual_simul-198,2023-07-18,1501.4670768819183,2160.937343911663,74.00260843393639,59.9999
213,0.0472,0.9328,0.02,,,simul-213,simulation,Ex12_01_WideQual_simul-213,2023-08-02,1503.9171320603284,2159.3578539472546,67.80590576196369,60
229,0.002,0.978,0.02,,,simul-229,simulation,Ex12_01_WideQual_simul-229,2023-08-18,1502.2147276193025,2051.083896977181,73.70497943350166,59.9999
244,0.0001,0.9799,0.02,,,simul-244,simulation,Ex12_01_WideQual_simul-244,2023-09-02,1501.8535932849547,2158.92283468734,73.46754506236832,59.9999
259,,0.9797,0.02,0.0003,,simul-259,simulation,Ex12_01_WideQual_simul-259,2023-09-17,1493.624786810688,2035.5823518278758,78.10587566464903,59.9999
274,,0.9747,0.02,0.0053,,simul-274,simulation,Ex12_01_WideQual_simul-274,2023-10-02,1493.9804033040164,2074.680382098465,74.0327057485871,59.9999
289,,0.8835999999999999,0.02,0.0964,,simul-289,simulation,Ex12_01_WideQual_simul-289,2023-10-17,1504.165401464736,2157.5277105401274,75.26335150319366,59.9999
305,,0.2666,0.02,0.7134,,simul-305,simulation,Ex12_01_WideQual_simul-305,2023-11-02,1502.563321405879,2086.9529849236865,76.90532722469318,60
320,,0.0179,0.02,0.9621,,simul-320,simulation,Ex12_01_WideQual_simul-320,2023-11-17,1505.2604420961109,2147.5745278198997,76.52075042637863,59.9999
335,,0.0009,0.02,0.9791,,simul-335,simulation,Ex12_01_WideQual_simul-335,2023-12-02,1499.315821155068,2218.3578097461123,79.09574290204996,60
350,,,0.02,0.98,,simul-350,simulation,Ex12_01_WideQual_simul-350,2023-12-17,1506.3294987125037,2504.697032406751,76.81503528074106,59.9998
366,,,0.02,0.98,,simul-366,simulation,Ex12_01_WideQual_simul-366,2024-01-02,1501.459385345952,2418.578704248915,74.76172959234859,59.9998
