timepoint,B.1.1.529,B.1.617.2,others,sample_name,tool_name
1,0.98,0.97,0.0,quaid_vaec47270-1,quaid_vaec47270
16,,0.97,0.03,quaid_vaec47270-16,quaid_vaec47270
31,0.98,,0.02,quaid_vaec47270-31,quaid_vaec47270
61,1.0,,0.0,quaid_vaec47270-61,quaid_vaec47270
92,0.54,,0.46,quaid_vaec47270-92,quaid_vaec47270
107,0.37,,0.63,quaid_vaec47270-107,quaid_vaec47270
122,0.95,,0.05,quaid_vaec47270-122,quaid_vaec47270
137,0.98,,0.02,quaid_vaec47270-137,quaid_vaec47270
168,0.97,,0.03,quaid_vaec47270-168,quaid_vaec47270
183,0.93,,0.07,quaid_vaec47270-183,quaid_vaec47270
213,0.04,,0.96,quaid_vaec47270-213,quaid_vaec47270
289,0.09,,0.91,quaid_vaec47270-289,quaid_vaec47270
305,0.62,,0.38,quaid_vaec47270-305,quaid_vaec47270
