timepoint,B.1.351,Q.8,B.1.36.22,B.1.1.431,BF.23,AY.71,Q.7,Q.1,AY.46.5,AY.4.1,AY.57,B.1.1.187,B.1.1.232,B.1.596.1,XA,B.1.1.163,B.1.470,P.1.12,B.1.213,P.3,B.1.597,B.1.221.4,B.1.1.159,B.1.1,B.1.1.7,B.1.351.2,Q.4,B.1.544,C.27,AY.75.2,P.1.7,Q.6,AY.91,Q.2,B.1.258.17,AY.23.2,B.1.227,B.1.351.3,AY.26,AY.70,AY.39.2,AY.47,AY.44,P.1.16,P.1.14,B.1.575.1,B.1.1.148,B.1.1.349,P.1,AY.74,AY.55,AY.46.4,AY.24,B.1.617.2,AY.4,AY.121.1,AY.59,AY.119,B.1.143,AY.23.1,AY.88,AY.11,AY.9,AY.58,B.1.1.464,BQ.1.30,P.1.15,P.1.17,P.1.10,B.1.526,B.1.488,B.1.147,B.1.1.153,B.1.1.71,B.1.157,XBB.1.5.42,FZ.1.1,FR.1,XBB.1.5.11,B.47,BA.5.3.5,B.1.1.487,AZ.5,EG.4,others,sample_name,tool_name
1,,0.01,0.02,,,,0.03,,,,,,,,,,,,,,,,,,0.2,,0.44,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.22,vlq_vd04ad36-1,vlq_vd04ad36
107,0.26,,,,,,,0.14,,0.01,,,,,0.01,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq_vd04ad36-107,vlq_vd04ad36
122,0.32,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,0.01,0.02,,,,,,0.52,vlq_vd04ad36-122,vlq_vd04ad36
137,0.17,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-137,vlq_vd04ad36
153,0.22,,,,,,,,,,,0.01,,0.01,,0.01,,,,,0.01,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,0.42,vlq_vd04ad36-153,vlq_vd04ad36
16,,0.09,,,,,0.09,0.58,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-16,vlq_vd04ad36
168,0.58,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.37,vlq_vd04ad36-168,vlq_vd04ad36
183,0.57,,0.02,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-183,vlq_vd04ad36
198,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.02,,,,,,,0.02,,,,,,,,,,,,,0.21,0.01,,,0.03,0.16,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,0.05,,,,0.43,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,0.03,,,,,,,,,,,,,,,,,0.02,0.08,0.01,0.26,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.16,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.51,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,0.42,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,0.06,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.03,,,,,,,,0.2,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.2,,,,,0.02,0.01,0.01,,,0.09,,,0.01,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.51,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,0.27,,,,,,,,,,,,,,,,,,0.52,,0.03,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,0.01,0.02,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,0.01,,,,,,,0.05,,,0.28,0.02,0.01,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.02,,,,,0.03,,,,0.01,0.01,0.02,,,,,,,0.01,,,,0.3,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.37,,,0.02,,,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-350,vlq_vd04ad36
