timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.97,,,,0.03,vaquero_v93e7db3-1,vaquero_v93e7db3
16,0.97,,,,0.03,vaquero_v93e7db3-16,vaquero_v93e7db3
31,0.97,,,,0.03,vaquero_v93e7db3-31,vaquero_v93e7db3
46,0.97,,,,0.03,vaquero_v93e7db3-46,vaquero_v93e7db3
61,0.96,,,,0.04,vaquero_v93e7db3-61,vaquero_v93e7db3
77,0.96,,,,0.04,vaquero_v93e7db3-77,vaquero_v93e7db3
92,0.81,0.16,,,0.03,vaquero_v93e7db3-92,vaquero_v93e7db3
107,0.2,,,,0.8,vaquero_v93e7db3-107,vaquero_v93e7db3
122,,0.97,,,0.03,vaquero_v93e7db3-122,vaquero_v93e7db3
137,,0.98,,,0.02,vaquero_v93e7db3-137,vaquero_v93e7db3
153,,0.97,,,0.03,vaquero_v93e7db3-153,vaquero_v93e7db3
168,,0.97,,,0.03,vaquero_v93e7db3-168,vaquero_v93e7db3
183,,0.94,,,0.06,vaquero_v93e7db3-183,vaquero_v93e7db3
198,,0.49,,0.48,0.02,vaquero_v93e7db3-198,vaquero_v93e7db3
213,,,,0.94,0.06,vaquero_v93e7db3-213,vaquero_v93e7db3
229,,,,0.97,0.03,vaquero_v93e7db3-229,vaquero_v93e7db3
244,,,,0.97,0.03,vaquero_v93e7db3-244,vaquero_v93e7db3
259,,,,0.97,0.03,vaquero_v93e7db3-259,vaquero_v93e7db3
274,,,,0.97,0.03,vaquero_v93e7db3-274,vaquero_v93e7db3
289,,,,0.89,0.11,vaquero_v93e7db3-289,vaquero_v93e7db3
305,,,0.7,0.28,0.02,vaquero_v93e7db3-305,vaquero_v93e7db3
320,,,0.96,,0.04,vaquero_v93e7db3-320,vaquero_v93e7db3
335,,,0.98,,0.02,vaquero_v93e7db3-335,vaquero_v93e7db3
350,,,0.97,,0.03,vaquero_v93e7db3-350,vaquero_v93e7db3
366,,,0.96,,0.04,vaquero_v93e7db3-366,vaquero_v93e7db3
