timepoint,B.1.351,B.1.8,AY.23.2,B.1.36.22,B.1.1.431,B.1.626,AY.71,Q.7,AY.46.5,B.1.471,B.1.1.405,B.1.1.44,B.1.1.422,B.1.439,B.1.1.302,B.1.1.325,B.1.120,B.1.332,B.1.1.525,AY.98.1.1,AY.74,AY.55,AY.4.14,BF.23,AY.24,AY.26,AY.70,AY.47,B.1.617.2,AY.44,AY.6,AY.59,AY.57,AY.23.1,P.1.16,AY.11,B.1.1.440,P.1.14,P.1.12,AK.2,P.1,AY.2,Q.6,Q.1,XA,Q.2,B.1.1.7,Q.4,XBQ,AY.39.1,AY.7.1,B.1.36.28,XBB.2.7,P.1.8,P.1.11,B.1.1.37,P.1.7.1,P.1.10,FY.4,AY.124.1.1,AY.4.1,B.1.552,B.1.351.2,B.1.536,BM.2.1,B.1.240,B.1.1.111,B.1.198,BA.5.2.32,AY.98.1,AY.119,BA.5.2.36,CK.2.1,AY.37,B.1.1.436,B.1.177.88,AY.112,AY.58,AY.16.1,AY.46.1,B.1.177.21,B.1.1.181,AA.7,B.1.559,BF.7.13,B.1.369,BA.5.2.12,others,sample_name,tool_name
1,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-1,vlq_vd04ad36
107,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.14,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.39,vlq_vd04ad36-107,vlq_vd04ad36
122,0.34,,,,0.01,0.01,,,,,,0.01,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-122,vlq_vd04ad36
137,0.51,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,vlq_vd04ad36-137,vlq_vd04ad36
153,0.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,0.02,0.31,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-16,vlq_vd04ad36
168,0.39,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.45,vlq_vd04ad36-168,vlq_vd04ad36
183,0.54,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-183,vlq_vd04ad36
198,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-198,vlq_vd04ad36
213,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,0.01,,,0.44,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-213,vlq_vd04ad36
