timepoint,B.1.398,B.1.1.431,P.1.16,B.1.1.44,AD.2.1,B.1.1.364,P.1.12,B.1.1.161,P.3,B.1.1.349,P.1,AY.84,AS.2,B.1.1.294,AY.23.2,B.1.36.22,Q.6,AY.71,P.1.17,AY.44,AY.6,P.1.1,B.1.1.163,K.3,B.1.1.7,Q.8,B.1.406,B.1.1.385,BF.23,Q.7,Q.1,B.1.1.148,P.2,Q.4,B.1.513,B.1.351,B.1.596.1,XA,B.1.36.8,B.1.565,B.1.351.2,B.1.151,AY.39.2,AY.4,Q.2,B.1.258.16,AY.11,B.1.1.336,B.1.1.165,AY.82,AY.90,AY.46.4,B.1.617.3,AY.38,AY.26,AY.48,AY.51,AY.124.1.1,AY.33.2,AY.111,AY.4.2.1,AY.4.1,AY.46.6,AY.59,AY.4.5,AY.32,AY.88,AY.43.9,AD.2,XBB.2.3.7,B.1.258.9,B.1.1.420,B.1.1.288,B.1.351.3,B.1.399,AY.78,AY.68,AY.55,AY.5.2,AY.47,B.1.617.2,P.1.7.1,B.1.1.272,B.1.9,BQ.2,B.1.115,AY.128,B.1.177.74,AY.23.1,B.1.1.275,B.1.1.67,A.2.2,others,sample_name,tool_name
1,,0.01,,,,,,,,,,,,,,,0.24,,,,,,,,0.09,0.2,,,,,,,,0.09,,,,,0.02,,,,,,0.02,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.25,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,0.04,,,,,,,0.01,,,,,,,,,,,,0.03,,,,,0.06,,,,,,0.3,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,0.38,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.49,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-137,vlq_vd04ad36
153,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.48,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.09,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.23,0.01,,,,0.05,0.11,,,0.22,,,,,,,,,,,0.16,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,vlq_vd04ad36-16,vlq_vd04ad36
168,,0.02,,,,,,,0.02,,,,,,,0.02,,,,,,,0.01,,,,,,0.02,,,,,,,0.35,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.46,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0.27,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-183,vlq_vd04ad36
198,,,0.17,0.01,,,0.14,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-198,vlq_vd04ad36
213,,,0.37,0.06,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.02,,,0.16,vlq_vd04ad36-213,vlq_vd04ad36
229,,0.01,0.59,0.01,,,,0.05,,,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-229,vlq_vd04ad36
244,,,0.74,,,,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.18,vlq_vd04ad36-244,vlq_vd04ad36
259,,,0.53,,,,,,,,0.02,,,,,,,,,,,0.1,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-259,vlq_vd04ad36
274,,,0.69,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.27,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,0.01,,,0.01,,,,0.72,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,,,0.01,,,,0.09,,0.11,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.25,,,,,0.05,0.02,,,,,,,0.39,vlq_vd04ad36-305,vlq_vd04ad36
