timepoint,B.1.351,P.1.12.1,B.1.1.431,Q.6,AY.71,B.1.351.3,P.1.17,B.1.617.2,B.1.1.137,P.1.11,P.1.7.1,P.1.16,B.1.1.44,C.36.1,B.1.623,B.1.36.8,P.1.12,P.1,B.1.1.7,B.1.351.2,B.1.544,B.27,Q.8,AY.23.2,B.1.157,Q.7,AY.46.1,AY.47,Q.1,AY.46.5,AY.6,BA.1.1.10,AY.57,B.1.632,AY.11,XA,C.17,C.18,B.1.177.52,B.1.1.1,Q.4,B.1.231,B.1.39,P.1.7,AY.4.1,A.29,B.1.1.364,B.1.568,B.1.377,B.1.240.2,B.1.1.421,BA.1.20,BA.1.14.1,BA.1.22,Q.2,AY.44,B.1.1.296,AY.25,B.1.1.39,AY.75.2,AY.34,B.1.520,B.1.1.152,B.1.332,AY.84,AY.74,AY.9,AY.114,AY.55,AY.38,AY.127.1,AY.45,AY.46.6,AY.32,AY.88,AY.119.2,AY.27,AY.99,AY.95,AY.98.1,B.1.1.387,AY.86,B.1.160.7,B.1.146,B.1.1.144,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-1,vlq_vd04ad36
107,0.41,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,0.05,,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.38,vlq_vd04ad36-107,vlq_vd04ad36
122,0.46,,0.01,,,0.05,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.39,vlq_vd04ad36-122,vlq_vd04ad36
137,0.4,,,,,0.16,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-137,vlq_vd04ad36
153,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,0.06,,,,0.15,,,0.02,,,0.17,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-16,vlq_vd04ad36
168,0.15,,0.01,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,vlq_vd04ad36-168,vlq_vd04ad36
183,0.44,,,,,0.16,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-183,vlq_vd04ad36
198,0.24,,0.01,,,,,,,,,0.22,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-198,vlq_vd04ad36
213,,0.01,,,,0.01,,,0.01,,,0.44,,,0.01,,0.01,0.23,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,0.01,0.01,0.54,,,,,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.25,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,0.21,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,0.01,,,,,0.63,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-259,vlq_vd04ad36
274,,,0.02,,,,,,,,,0.62,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,,,,,,,0.73,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,,0.01,,,,,,,0.21,,,,,0.01,,,,,,,,,,,0.01,,,0.04,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,0.02,,0.01,0.02,0.02,0.01,0.01,,,,0.55,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,0.36,,,0.02,,,,,,0.01,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,0.01,,,,,,0.06,,,,,0.02,,,,,,0.01,,,,,,,,,,0.03,,,0.17,,,,,0.02,,,,,,,,,,,,0.65,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,0.03,0.02,,,0.03,,0.16,,0.03,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,0.02,0.08,,,,,,0.02,0.01,,,0.02,,0.01,,0.03,,,,,,,,,,,0.48,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,0.01,,0.04,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,0.02,,,,,0.02,,,,0.28,,0.02,,,,0.03,,,,,,,,,,,0.49,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,0.01,,0.01,,,0.01,,,,,,,,0.01,,,,,,,0.02,,,,0.19,,0.02,,,0.01,,,,,,,,,,,0.66,vlq_vd04ad36-366,vlq_vd04ad36
46,,,,0.02,,,,,,,,,,,,,,,0.08,,,,,,,0.16,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,vlq_vd04ad36-46,vlq_vd04ad36
61,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-61,vlq_vd04ad36
77,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,0.2,,,,,,,0.01,,,,0.01,,,,,,,,,,,,0.01,0.02,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-77,vlq_vd04ad36
92,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.59,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.32,vlq_vd04ad36-92,vlq_vd04ad36
