timepoint,AV.1,B.1.1.7,B.1.351,B.1.617.1,B.1.617.2,B.1.617.3,BA.4,BA.5,CH.1.1,JN.1,P.1,P.2,XD,others,sample_name,tool_name
1,,0.97,,,,,,,,,,,0.02,0.01,lollipop_v0.3.0-1,lollipop_v0.3.0
16,,0.97,,,,,,,,,,,0.01,0.01,lollipop_v0.3.0-16,lollipop_v0.3.0
31,,0.97,,0.01,,,,,,,,,0.01,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
46,,0.96,,,,,,,,,,,0.03,0.0,lollipop_v0.3.0-46,lollipop_v0.3.0
61,,0.97,,,,,,,,0.01,,,,0.02,lollipop_v0.3.0-61,lollipop_v0.3.0
77,,0.97,,,,,,,,,,,0.02,0.01,lollipop_v0.3.0-77,lollipop_v0.3.0
92,,0.8,0.15,,,,,,,,,0.01,0.02,0.02,lollipop_v0.3.0-92,lollipop_v0.3.0
107,,0.18,0.77,,,,,,,,,0.02,0.02,0.02,lollipop_v0.3.0-107,lollipop_v0.3.0
122,,,0.96,,,,,,,,,0.01,0.02,0.01,lollipop_v0.3.0-122,lollipop_v0.3.0
137,,,0.96,,,,,,,,,0.01,0.02,0.01,lollipop_v0.3.0-137,lollipop_v0.3.0
153,,,0.95,,,,,,,,,0.01,0.02,0.01,lollipop_v0.3.0-153,lollipop_v0.3.0
168,,,0.97,,,,,,,,,,0.02,0.01,lollipop_v0.3.0-168,lollipop_v0.3.0
183,,,0.93,,,,,,,,0.04,0.01,0.02,0.01,lollipop_v0.3.0-183,lollipop_v0.3.0
198,,,0.46,,,,,,,,0.48,,0.02,0.04,lollipop_v0.3.0-198,lollipop_v0.3.0
213,,,0.03,,,,,,,,0.95,,0.01,0.01,lollipop_v0.3.0-213,lollipop_v0.3.0
229,,,,,,,,,,,0.95,,0.02,0.03,lollipop_v0.3.0-229,lollipop_v0.3.0
244,,,,,,,,,,,0.97,,0.02,0.01,lollipop_v0.3.0-244,lollipop_v0.3.0
259,,,,,,,,,,,0.99,,0.01,0.0,lollipop_v0.3.0-259,lollipop_v0.3.0
274,,,,,,,,,,,0.97,,0.02,0.01,lollipop_v0.3.0-274,lollipop_v0.3.0
289,,,,,0.08,0.01,,,,,0.88,,0.02,0.01,lollipop_v0.3.0-289,lollipop_v0.3.0
305,,,,0.02,0.67,0.03,,,,,0.27,,,0.01,lollipop_v0.3.0-305,lollipop_v0.3.0
320,,,,,0.91,0.03,,,,,0.02,,0.02,0.03,lollipop_v0.3.0-320,lollipop_v0.3.0
335,,,,,0.89,0.03,0.02,0.03,,,,,0.01,0.02,lollipop_v0.3.0-335,lollipop_v0.3.0
350,,,,,0.93,0.02,,,,,,,0.02,0.03,lollipop_v0.3.0-350,lollipop_v0.3.0
366,0.01,,,,0.93,0.01,,,0.01,,,,0.02,0.01,lollipop_v0.3.0-366,lollipop_v0.3.0
