timepoint,Q.8,B.11,AY.23.2,B.1.36.22,B.1.637,B.1.1.431,BF.23,Q.6,AY.71,B.1.1.347,Q.7,Q.1,AY.46.5,AY.4.1,B.1.1.44,B.1.1.46,P.1.14,B.1.1.163,B.1.36.8,B.1.525,P.3,P.1,B.1.1.7,Q.4,B.1.190,B.1.351,P.1.12.1,P.1.7,B.1.351.5,AY.47,AY.4,AY.121.1,AY.57,P.1.16,P.1.12,B.1.1.325,B.1.544,XBC.1.2.1,AY.30,AY.106,AY.33.2,AY.44,AY.103,P.1.1,P.1.10,AY.43.9,Q.2,B.1.1.365,C.1.2,AY.43.3,B.1.351.2,B.1.505,AY.43.4,AY.25.3,B.1.219,AY.6,AY.4.5,BA.5.1.31,AY.80,B.1.1.487,AY.24,AY.35,AY.122.1,AY.26,AY.48,AY.60,AY.75,AY.46.1,AY.127.2,AY.92,AY.4.15,B.1.617.2,AY.119,AY.11,AY.2,AY.4.9,AY.55,AY.120.1,AY.45,AY.39.2,AY.124.1.1,AY.59,B.1.1.404,B.1.160,AY.3.1,B.1.1.165,AY.99.1,BA.5.2.52,B.1.351.3,BN.1.4,B.1.96,B.1.460,B.39,BQ.2,B.1.1.133,B.1.1.515,FB.1,AE.1,others,sample_name,tool_name
1,0.02,,,,,0.01,,,,,,0.58,,,,,,,,,,,0.18,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,,,,,0.1,,,,,,,,,,,0.03,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-122,vlq_vd04ad36
137,,,,0.14,,,,,,,,,,,,,,,,,,,,,,0.55,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.01,0.03,,,0.18,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.22,,,,,,,,,,0.3,vlq_vd04ad36-153,vlq_vd04ad36
16,0.46,,,,,,,0.08,,,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,0.02,,0.02,,,,,,,,,,,,0.02,,,0.01,,,,,0.18,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07,0.01,,,,,,,0.61,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,0.23,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,0.01,,,,,,0.54,,,,,,0.01,,,,,,0.06,0.01,,,,,,,,,,,,,0.02,0.1,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq_vd04ad36-213,vlq_vd04ad36
229,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-229,vlq_vd04ad36
244,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,0.77,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-244,vlq_vd04ad36
259,,,,,,,,,,,,,,,,,0.02,,,,,0.07,,,0.01,,0.02,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,vlq_vd04ad36-259,vlq_vd04ad36
274,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.34,vlq_vd04ad36-274,vlq_vd04ad36
289,,,,,,0.01,,,,,,,,,,,,,,,,0.04,,,,,,,0.02,,,,,0.47,0.05,,,,,,,,,0.06,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-289,vlq_vd04ad36
305,,,0.02,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,0.01,,,0.21,0.02,,,,0.03,,,0.01,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,,,0.13,,,,0.01,,0.01,0.02,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-305,vlq_vd04ad36
31,,,,,,,,,,,0.07,,,,,,,,,,,,0.49,0.2,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-31,vlq_vd04ad36
