timepoint,B.1.1.7,B.55,B.1.351,P.1.14,B.47,B.20,B,P.1.12,B.1.617.2,B.1.1.136,B.6,B.1.289,P.1.1,P.1.3,P.1.10,B.4,P.1.16,B.1.314,B.1.572,B.1.485,B.27,B.26,Q.1,B.19,B.1.170,others,sample_name,tool_name
1,0.97,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-1,freyja_v2.0.0
16,0.48,,,,,,0.02,,,,,,,,,,,,,,,,0.48,,,0.01,freyja_v2.0.0-16,freyja_v2.0.0
31,0.97,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,0.01,freyja_v2.0.0-31,freyja_v2.0.0
46,0.97,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-46,freyja_v2.0.0
61,0.97,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-61,freyja_v2.0.0
77,0.48,,,,,,0.02,,,,,,,,,,,,,,,,0.48,,0.02,0.0,freyja_v2.0.0-77,freyja_v2.0.0
92,0.81,,0.16,,,,0.01,,,,,,,,,,,,,,,,,0.01,,0.0,freyja_v2.0.0-92,freyja_v2.0.0
107,0.2,,0.78,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-107,freyja_v2.0.0
122,,,0.96,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-122,freyja_v2.0.0
137,,,0.98,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-137,freyja_v2.0.0
153,,,0.98,,,0.01,0.01,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-153,freyja_v2.0.0
168,,,0.9,,,,0.02,,,,,0.02,,,,,,0.02,0.02,0.02,,,,,,0.01,freyja_v2.0.0-168,freyja_v2.0.0
183,,,0.93,0.04,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v2.0.0-183,freyja_v2.0.0
198,,,0.5,,,,0.04,,,,,,0.46,,,,,,,,,,,,,0.0,freyja_v2.0.0-198,freyja_v2.0.0
213,,,0.05,,0.01,,0.01,,,,,,0.48,0.43,,,,,,,,,,,,0.01,freyja_v2.0.0-213,freyja_v2.0.0
229,,,,,,,,,,,,,,,0.96,,,,,,,,,,,0.04,freyja_v2.0.0-229,freyja_v2.0.0
244,,,,,,,,0.97,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-244,freyja_v2.0.0
259,,,,,,,,,,,,,,,,,0.98,,,,,,,,,0.02,freyja_v2.0.0-259,freyja_v2.0.0
274,,,,,,,0.02,,,,,,0.97,,,,,,,,,,,,,0.01,freyja_v2.0.0-274,freyja_v2.0.0
289,,,,,,,,0.87,0.1,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-289,freyja_v2.0.0
305,,,,,,,,,0.7,,,,,,0.26,,,,,,,,,,,0.04,freyja_v2.0.0-305,freyja_v2.0.0
320,,,,,,,0.02,,0.96,,,,,,,,,,,,,0.02,,,,0.0,freyja_v2.0.0-320,freyja_v2.0.0
335,,,,,,,,,0.97,,,,,,,0.01,,,,,,,,,,0.02,freyja_v2.0.0-335,freyja_v2.0.0
350,,,,,,,,,0.97,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-350,freyja_v2.0.0
366,,,,,,,,,0.98,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-366,freyja_v2.0.0
