timepoint,B.1.1.7,B.1.177,B.1.351,others,sample_name,tool_name
1,0.99,,,0.01,virpool_v763c212-1,virpool_v763c212
16,0.99,,,0.01,virpool_v763c212-16,virpool_v763c212
31,0.98,0.01,,0.0,virpool_v763c212-31,virpool_v763c212
46,0.98,0.01,,0.0,virpool_v763c212-46,virpool_v763c212
61,0.98,0.02,,0.0,virpool_v763c212-61,virpool_v763c212
77,0.98,,0.01,0.01,virpool_v763c212-77,virpool_v763c212
92,0.82,,0.17,0.0,virpool_v763c212-92,virpool_v763c212
107,0.21,,0.78,0.0,virpool_v763c212-107,virpool_v763c212
122,,,0.99,0.01,virpool_v763c212-122,virpool_v763c212
137,,,0.99,0.01,virpool_v763c212-137,virpool_v763c212
153,,,0.99,0.01,virpool_v763c212-153,virpool_v763c212
168,,0.04,0.96,0.0,virpool_v763c212-168,virpool_v763c212
183,,0.04,0.96,0.0,virpool_v763c212-183,virpool_v763c212
198,0.01,,0.51,0.48,virpool_v763c212-198,virpool_v763c212
213,0.06,,0.16,0.78,virpool_v763c212-213,virpool_v763c212
229,,,,1.0,virpool_v763c212-229,virpool_v763c212
244,0.03,0.64,,0.33,virpool_v763c212-244,virpool_v763c212
259,,0.07,,0.93,virpool_v763c212-259,virpool_v763c212
274,,,0.06,0.94,virpool_v763c212-274,virpool_v763c212
289,0.27,0.18,0.42,0.13,virpool_v763c212-289,virpool_v763c212
305,,,0.01,0.99,virpool_v763c212-305,virpool_v763c212
320,,0.2,,0.8,virpool_v763c212-320,virpool_v763c212
335,,0.22,,0.78,virpool_v763c212-335,virpool_v763c212
350,,0.26,,0.74,virpool_v763c212-350,virpool_v763c212
366,,0.53,,0.47,virpool_v763c212-366,virpool_v763c212
