timepoint,B.1.1.7,B.1.351,B.1.617.2,P.1,others,sample_name,tool_name
1,0.97,,,,0.03,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
31,0.97,,,,0.03,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
61,0.97,,,,0.03,vaquero_v24d9211_oldref-61,vaquero_v24d9211_oldref
92,0.81,,,,0.19,vaquero_v24d9211_oldref-92,vaquero_v24d9211_oldref
153,,0.97,,,0.03,vaquero_v24d9211_oldref-153,vaquero_v24d9211_oldref
198,,,,0.54,0.46,vaquero_v24d9211_oldref-198,vaquero_v24d9211_oldref
213,,,,0.93,0.07,vaquero_v24d9211_oldref-213,vaquero_v24d9211_oldref
244,,,,0.97,0.03,vaquero_v24d9211_oldref-244,vaquero_v24d9211_oldref
274,,,,0.97,0.03,vaquero_v24d9211_oldref-274,vaquero_v24d9211_oldref
305,,,0.69,,0.31,vaquero_v24d9211_oldref-305,vaquero_v24d9211_oldref
320,,,0.93,,0.07,vaquero_v24d9211_oldref-320,vaquero_v24d9211_oldref
335,,,0.97,,0.03,vaquero_v24d9211_oldref-335,vaquero_v24d9211_oldref
350,,,0.97,,0.03,vaquero_v24d9211_oldref-350,vaquero_v24d9211_oldref
366,,,0.97,,0.03,vaquero_v24d9211_oldref-366,vaquero_v24d9211_oldref
