timepoint,B.1.621,AY.85,B.1.398,B.1.361,B.1.36.24,B.1.1.431,B.1.1.326,B.1.626,P.1.15,Q.6,P.1.17,AY.47,AY.4.1,P.1.11,P.1.7.1,P.1.16,P.1.1,B.1.1.44,B.1.1.46,B.1.1.163,P.1.10,P.1.12,B.1.466.1,AK.2,B.1.1.161,B.1.1.374,B.1.1.159,B.6,P.1,D.5,B.1.565,B.1.258.17,B.1.1.39,B.1.1.86,B.1.44,B.1.1.174,B.1.618,B.1.351,B.1.406,AY.75.2,B.1.1.385,B.1.36.22,BF.23,AY.57,A.2.5.2,B.1.36.8,B.1.264,B.1.9.4,B.1.1.216,P.3,C.17,B.1.523,B.1.177.83,B.1.544,XBC.1.2.1,B.1.36.20,B.1.190,B.1.39,B.1.1.294,Q.8,B.1.1.529,BM.2.1,B.1.617.3,B.1.1.88,B.1.36.10,AY.106,Q.7,B.1.471,B.1.1.405,A.29,B.1.1.528,B.1.1.432,B.1.177.39,B.1.177.5,B.1.1.7,B.1.1.269,B.1.351.2,Q.4,EG.2,B.1.120,B.1.240.1,B.1.177.48,BN.1.4.3,B.1.227,BD.1,AY.24,Q.1,AY.124.1.1,BA.2.8,B.1.596.1,P.6,Q.2,B.1.1.397,P.2,BQ.1.27,B.1.177.41,BA.5.6.4,B.1.177.29,AY.71,B.1.151,C.36.1,B.1.1.446,B.1.1.61,B.1.1.351,B.1.596,B.1.177.84,B.1.177.52,B.1.1.411,AY.74,AY.68,AY.26,B.1.1.523,B.1.617.1,B.1.399,AY.23,B.1.1.107,B.1.1.74,B.1.36.1,C.27,AS.2,AY.23.1,P.1.7,AY.11,XA,B.1.588,AV.1,XBM,B.1.131,B.1.117,BQ.1.1.63,B.1.293,AY.28,AY.58,AY.38,BN.1.6,GA.2,XBC.1.3,EU.1.1,B.1.617.2,AY.4.16,AY.64,B.1.562,XAY.1.2,AY.82,B.1.164,B.1.1.158,B.1.1.410,AY.16.1,AY.51,B.1.1.222,XBB.1.19,B.1.258.7,AY.10,AY.60,FN.1,C.36,AY.35,AY.98.1,B.1.1.319,B.1.221.2,others,sample_name,tool_name
1,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,0.02,,,0.01,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.4,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.06,,0.13,0.06,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.37,vlq_vd04ad36-122,vlq_vd04ad36
137,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,0.02,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,0.03,,0.48,vlq_vd04ad36-137,vlq_vd04ad36
153,,,0.01,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.34,0.01,0.1,,0.02,,0.02,,0.01,0.09,,0.04,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,0.23,,,0.32,,,,,0.01,,0.01,,0.02,,,,,0.04,,,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.38,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.01,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,0.01,0.01,0.38,,0.02,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.2,vlq_vd04ad36-213,vlq_vd04ad36
