timepoint,A.23.1,B.1.1.7,B.1,B.1.1,B.1.617.3,B.1.623,B.1.351,B.1.617.2,B.1.427,P.1,B.1.526,C.37,P.3,others,sample_name,tool_name
1,,0.98,,,,,,,,,,,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,,0.23,,,0.01,0.02,0.71,,,,,,,0.03,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,,0.02,,,,0.95,,,,,,,0.04,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,,,,0.01,0.96,,,,,,,0.03,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,,,,,0.97,,,,,,,0.03,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,0.98,,,,,,,,,,,,0.02,lcs_vcfc2f02-16,lcs_vcfc2f02
168,,,,,,,0.98,,,,,,,0.02,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,,0.03,,,,0.88,,0.01,0.04,,,,0.05,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,,0.06,,,0.53,,,0.37,,,,0.04,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,,,,0.05,,,0.9,,,0.01,0.04,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,,,,,,0.96,,0.02,,0.03,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.01,,,,,,,,,0.98,,,,0.01,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,,,,,,,,,0.82,0.16,,,0.02,lcs_vcfc2f02-259,lcs_vcfc2f02
274,0.01,,,,,,,,,0.97,,,,0.02,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,,,,,,,0.05,,0.88,,,0.01,0.05,lcs_vcfc2f02-289,lcs_vcfc2f02
305,0.01,,,,,,,0.69,,0.26,,0.01,,0.02,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.95,,,0.02,0.01,,,,,,,,0.02,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,,,,,,,0.94,,0.02,,,,0.04,lcs_vcfc2f02-320,lcs_vcfc2f02
335,,,,0.19,0.03,,,0.74,,,,,,0.04,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,,,,,,0.95,,,,0.02,,0.03,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,,,0.35,,,0.59,0.01,,,,0.01,0.03,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.97,,,,,,,,,,0.01,,0.02,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,0.97,,,,,,,,,,,,0.03,lcs_vcfc2f02-61,lcs_vcfc2f02
77,,0.95,,,,,0.01,,,,,,0.01,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,0.8,,,,,0.16,,,,,0.01,,0.02,lcs_vcfc2f02-92,lcs_vcfc2f02
