timepoint,B.1.398,B.1.36.22,B.1.1.431,AY.46.5,A.29,P.1.16,P.1.1,B.1.1.44,C.1,B.1.1.46,P.1.14,P.1.12,B.1.466.1,C.17,B.1.1.302,B.1.1.7,B.1.280,B.1.544,C.23,Q.8,B.1.640.2,AY.8,AY.75.2,B.1.575,B.1.1.317,AY.23.2,B.1.438,B.1.621.1,AY.24,AY.43.3,AY.26,AY.48,AY.53,AY.92,AY.4,AY.6,AY.4.1,AY.121.1,B.1.149,B.1.1.232,AY.88,AK.1,B.1.510,B.1.1.163,B.1.36.8,B.1.9.4,AY.50,B.1.1.1,B.1.399,B.1.568,B.1.1.147,B.1.282,B.1.1.411,AV.1,B.1.1.51,B.1.351,A.12,Q.6,AY.71,Q.7,Q.1,B.1.617.2,B.1.575.2,B.1.1.338,Q.2,B.1.177.84,B.1.218,Q.4,B.1.36.37,XBB.1.28,AY.74,B.1.406,AY.38,AZ.2,AY.122.1,AY.106,AY.66,AY.121,AY.59,AY.57,B.1.596.1,AY.11,B.1.1.351,AY.64,B.1.351.3,B.1.151,B.1.1.61,B.1,B.1.351.2,B.1.582,B.1.1.95,B.1.177.35,B.1.1.385,B.1.637,BA.5.6.1,AY.30,AY.47,AY.9.2,B.1.428.2,B.1.480,P.6,B.1.1.148,B.1.429,B.1.1.204,B.1.2,B.1.252,B.1.1.379,B.1.44,P.1.7.1,AK.2,B.1.531,B.1.491,B.1.1.294,BA.5.6.4,P.1.12.1,P.1.15,P.1.17,P.1.11,P.1,B.1.36.1,B.1.142,BA.4.6.2,XBB,BF.7.17,B.1.1.396,P.1.10,B.1.235,B.1.177.86,XAY.2.2,B.1.379,BA.2.53,AY.17,B.1.36.21,B.1.9.3,B.1.158,AA.2,B.1.588.1,B.1.452,AY.36.1,B.1.1.91,B.1.1.359,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.53,,,,0.05,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,0.34,vlq_vd04ad36-107,vlq_vd04ad36
122,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,0.01,,,,,0.02,,,,,,,0.19,,,0.01,,,,0.03,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,0.01,,,,,,,0.01,0.02,0.01,,0.01,0.01,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,vlq_vd04ad36-122,vlq_vd04ad36
137,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.35,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.09,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-137,vlq_vd04ad36
153,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,0.02,,0.01,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,0.05,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.03,,,,,0.02,,,,0.01,0.01,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,0.04,0.01,0.01,0.07,0.01,0.02,,,,0.56,vlq_vd04ad36-153,vlq_vd04ad36
16,,,0.01,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,vlq_vd04ad36-16,vlq_vd04ad36
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq_vd04ad36-168,vlq_vd04ad36
183,,,,,0.01,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,0.38,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.4,vlq_vd04ad36-183,vlq_vd04ad36
198,,,0.03,,,0.15,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.01,,,,0.02,,0.05,,0.02,0.01,0.01,,0.02,,0.01,0.01,0.03,,,,,,,,,,,,,0.42,vlq_vd04ad36-198,vlq_vd04ad36
213,0.01,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.11,,,,,0.03,,,,,,,,,,,,,,,,,,0.26,vlq_vd04ad36-213,vlq_vd04ad36
