timepoint,A.23.1,AV.1,B.1.1.7,B.1,B.1.1,B.1.1.318,B.1.177,B.1.617.3,B.1.621,B.1.623,B.1.351,B.1.617.2,B.1.427,P.1,B.1.526,B.1.617.1,C.37,P.3,P.2,others,sample_name,tool_name
1,,,0.98,,,,,,,,,,,,,,,,,0.02,lcs_vcfc2f02-1,lcs_vcfc2f02
107,0.07,,0.06,,,,0.03,0.03,,,0.8,,,,,,,,,0.02,lcs_vcfc2f02-107,lcs_vcfc2f02
122,,,0.04,,,,,,,,0.93,,,,,,,,,0.03,lcs_vcfc2f02-122,lcs_vcfc2f02
137,,,,,,,,0.05,,,0.87,,,,,,0.08,,,0.01,lcs_vcfc2f02-137,lcs_vcfc2f02
153,,,,,,0.02,,,,,0.23,,,,,,,,0.74,0.01,lcs_vcfc2f02-153,lcs_vcfc2f02
16,,,0.98,,,,,,,,,,,,,,,,,0.02,lcs_vcfc2f02-16,lcs_vcfc2f02
168,0.02,,,,,,,,,,0.96,,,,,,,,,0.01,lcs_vcfc2f02-168,lcs_vcfc2f02
183,,,,0.22,0.22,,,0.02,,,,,,,,,,0.17,0.22,0.14,lcs_vcfc2f02-183,lcs_vcfc2f02
198,,,,0.12,,,,,,0.12,0.2,,,0.48,,,,,,0.09,lcs_vcfc2f02-198,lcs_vcfc2f02
213,,,,0.34,0.34,0.02,,,,,0.02,,,0.01,,,,,0.02,0.24,lcs_vcfc2f02-213,lcs_vcfc2f02
229,,,,,,,,,,,,,,0.98,,,,0.02,,0.0,lcs_vcfc2f02-229,lcs_vcfc2f02
244,0.02,,,,,,,,,,,,,0.93,,,0.03,,,0.01,lcs_vcfc2f02-244,lcs_vcfc2f02
259,,,,0.1,0.1,,,,,0.03,,,,0.67,,,,0.04,,0.07,lcs_vcfc2f02-259,lcs_vcfc2f02
274,,,,,,,,,,,,,,0.96,,,,0.02,,0.02,lcs_vcfc2f02-274,lcs_vcfc2f02
289,,,,,,,,,,,,0.09,,0.86,,,,,,0.04,lcs_vcfc2f02-289,lcs_vcfc2f02
305,,,,,,,,0.28,0.02,,,0.3,,0.25,,0.12,,,,0.03,lcs_vcfc2f02-305,lcs_vcfc2f02
31,,0.03,0.93,,,,,,,,,,,,,,0.03,,,0.01,lcs_vcfc2f02-31,lcs_vcfc2f02
320,,,,,,,,,,,,0.96,,,,,0.03,,,0.01,lcs_vcfc2f02-320,lcs_vcfc2f02
335,0.17,,,0.29,0.29,,,,,,,,,,,,,0.04,,0.2,lcs_vcfc2f02-335,lcs_vcfc2f02
350,,,,,0.01,,,,,,,0.98,,,,,,,,0.01,lcs_vcfc2f02-350,lcs_vcfc2f02
366,,,,,,,,,,,,0.96,,,,,,0.02,,0.01,lcs_vcfc2f02-366,lcs_vcfc2f02
46,,0.26,,0.13,0.13,,,,,,,,0.03,,0.26,,,,0.13,0.07,lcs_vcfc2f02-46,lcs_vcfc2f02
61,,,0.97,,,,,,,,,,,,,,,,,0.03,lcs_vcfc2f02-61,lcs_vcfc2f02
77,0.02,,,,,,,,,,,,,,,0.02,0.94,,,0.02,lcs_vcfc2f02-77,lcs_vcfc2f02
92,,,0.73,,,,,,0.02,,0.16,,,,,,0.05,,,0.04,lcs_vcfc2f02-92,lcs_vcfc2f02
