timepoint,P.1,B.1.617.2,others,B.1.351,B.1.1.7,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,,0.98,simul-1,simulation,Ex15_01_WideQual_simul-1,2023-01-02,1505.8398154031368,7328.993227586485,13.42005818814166,60
16,,,0.02,,0.98,simul-16,simulation,Ex15_01_WideQual_simul-16,2023-01-17,1472.3161221282146,9851.16343513669,8.71150051834264,60
31,,,0.02,0.0024,0.9776,simul-31,simulation,Ex15_01_WideQual_simul-31,2023-02-01,1507.8013242818447,11149.41351444827,5.909106109754874,60
46,,,0.02,0.0024,0.9776,simul-46,simulation,Ex15_01_WideQual_simul-46,2023-02-16,1500.592783332776,8505.134013775378,7.527672808748285,59.9996
61,,,0.02,0.0028000000000000004,0.9772,simul-61,simulation,Ex15_01_WideQual_simul-61,2023-03-03,1512.4026017456442,10622.904456662536,8.601143697956728,60
77,,,0.02,0.012,0.968,simul-77,simulation,Ex15_01_WideQual_simul-77,2023-03-19,1508.6925726515735,11466.374062166742,8.417215663980203,60
92,,,0.02,0.16449999999999998,0.8155,simul-92,simulation,Ex15_01_WideQual_simul-92,2023-04-03,1508.0330401631943,8455.105196558414,10.055847239407417,60
107,,,0.02,0.7842,0.19579999999999997,simul-107,simulation,Ex15_01_WideQual_simul-107,2023-04-18,1478.2654583152191,11209.175492295088,8.280105675015886,59.9999
122,,,0.02,0.968,0.012,simul-122,simulation,Ex15_01_WideQual_simul-122,2023-05-03,1485.2817108651307,10032.441988271808,7.363809651205565,60
137,,,0.02,0.9793999999999999,0.0006,simul-137,simulation,Ex15_01_WideQual_simul-137,2023-05-18,1495.4092900377889,8216.273359762094,14.540347122362304,60
153,0.0001,,0.02,0.9799,,simul-153,simulation,Ex15_01_WideQual_simul-153,2023-06-03,1491.2332207470822,7684.791238706496,7.444069156940775,60
168,0.0024,,0.02,0.9776,,simul-168,simulation,Ex15_01_WideQual_simul-168,2023-06-18,1502.592281710865,7219.527102880638,14.252750560144467,60
183,0.0458,,0.02,0.9342,,simul-183,simulation,Ex15_01_WideQual_simul-183,2023-07-03,1474.4630639066315,8809.63824153169,7.059492358626225,60
198,0.48619999999999997,,0.02,0.4938,,simul-198,simulation,Ex15_01_WideQual_simul-198,2023-07-18,1506.068588435943,8044.561117908884,8.688091495836538,59.9999
213,0.9328,,0.02,0.0472,,simul-213,simulation,Ex15_01_WideQual_simul-213,2023-08-02,1508.4851687121693,8925.117196096362,7.544393539109788,60
229,0.978,,0.02,0.002,,simul-229,simulation,Ex15_01_WideQual_simul-229,2023-08-18,1481.7832324515934,13499.35044786887,5.10985519847507,60
244,0.9799,,0.02,0.0001,,simul-244,simulation,Ex15_01_WideQual_simul-244,2023-09-02,1500.439554559743,9097.13858745241,9.370297294585828,60
259,0.9797,0.0003,0.02,,,simul-259,simulation,Ex15_01_WideQual_simul-259,2023-09-17,1475.7381868039995,13713.271864484339,7.196602347590543,59.9996
274,0.9747,0.0053,0.02,,,simul-274,simulation,Ex15_01_WideQual_simul-274,2023-10-02,1483.937464468448,12978.500041196792,8.16974885462997,60
289,0.8835999999999999,0.0964,0.02,,,simul-289,simulation,Ex15_01_WideQual_simul-289,2023-10-17,1501.3412032237568,8011.180728913587,5.94923586262248,59.9997
305,0.2666,0.7134,0.02,,,simul-305,simulation,Ex15_01_WideQual_simul-305,2023-11-02,1495.4206935758955,8425.827817788086,8.420559810052502,60
320,0.0179,0.9621,0.02,,,simul-320,simulation,Ex15_01_WideQual_simul-320,2023-11-17,1506.7533357857071,9774.490327272111,4.2972277029060635,60
335,0.0009,0.9791,0.02,,,simul-335,simulation,Ex15_01_WideQual_simul-335,2023-12-02,1496.4934621944287,10176.659060314112,4.855700096980236,59.9998
350,,0.98,0.02,,,simul-350,simulation,Ex15_01_WideQual_simul-350,2023-12-17,1497.0708958967327,6080.260197201367,14.239373975855266,60
366,,0.98,0.02,,,simul-366,simulation,Ex15_01_WideQual_simul-366,2024-01-02,1495.1517907902216,14023.392827275018,4.772096445172725,60
