timepoint,,A.23.1,AV.1,AY.4.2,B.1.1.318,B.1.1.529,B.1.1.7,B.1.351,B.1.525,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.623,BA.1,BA.2,BA.2.75,BA.2.86,BA.3,BA.4,BA.4.6,BA.5,BQ.1,C.36.3,CH.1.1,EG.5.1,JN.1,P.1,P.2,P.3,XBB,XBB.1.16,XBB.1.5,XD,XE,others,sample_name,tool_name
1,,,,,,,0.92,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.04,lollipop_v0.3.0-1,lollipop_v0.3.0
16,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-16,lollipop_v0.3.0
31,,,,,,0.02,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-31,lollipop_v0.3.0
46,0.05,,0.05,0.05,,0.05,0.05,,,0.05,0.05,,0.05,,,0.05,0.05,0.05,,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,,,0.05,,,,0.07,lollipop_v0.3.0-46,lollipop_v0.3.0
61,,,,,,,0.96,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,,,,0.0,lollipop_v0.3.0-61,lollipop_v0.3.0
77,0.03,,,0.03,,0.03,0.03,0.02,,,0.02,0.02,,,,0.03,,0.03,0.03,,0.03,0.03,,,,0.03,0.03,,,,0.03,,0.03,0.5,0.03,0.07,lollipop_v0.3.0-77,lollipop_v0.3.0
92,0.04,,,,,,,0.58,,,,,,,,,0.04,,0.04,,,0.04,0.04,,,0.04,0.02,,0.04,,0.04,,0.04,,,0.05,lollipop_v0.3.0-92,lollipop_v0.3.0
107,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.01,lollipop_v0.3.0-107,lollipop_v0.3.0
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,0.0,lollipop_v0.3.0-122,lollipop_v0.3.0
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.08,lollipop_v0.3.0-137,lollipop_v0.3.0
153,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,0.0,lollipop_v0.3.0-153,lollipop_v0.3.0
168,,,,,,,,0.91,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.06,lollipop_v0.3.0-168,lollipop_v0.3.0
183,0.05,,,0.05,,,0.05,0.05,,0.05,,,,0.05,,,,0.05,0.05,0.05,0.05,0.05,0.05,,0.05,0.05,0.05,0.02,0.05,,0.05,0.05,0.05,,0.05,0.05,lollipop_v0.3.0-183,lollipop_v0.3.0
198,,,,,,,,0.46,,,,,0.01,,,,,,,,,,,,,,,0.49,,,,,,,0.03,0.01,lollipop_v0.3.0-198,lollipop_v0.3.0
213,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.92,0.04,,,,,,,0.01,lollipop_v0.3.0-213,lollipop_v0.3.0
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,0.03,,0.0,lollipop_v0.3.0-229,lollipop_v0.3.0
244,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,0.0,lollipop_v0.3.0-244,lollipop_v0.3.0
259,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.96,,,,,,,,0.0,lollipop_v0.3.0-259,lollipop_v0.3.0
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,0.02,0.0,lollipop_v0.3.0-274,lollipop_v0.3.0
289,0.03,0.03,,0.03,0.03,0.03,,,0.03,,0.1,0.1,,0.03,,0.03,0.03,0.03,,,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,,0.06,0.03,,0.03,0.03,0.03,0.04,lollipop_v0.3.0-289,lollipop_v0.3.0
305,,0.02,,,,,0.03,,,,0.28,0.28,,,,,,,,,,,,,0.02,,,0.28,,,,,,,0.04,0.05,lollipop_v0.3.0-305,lollipop_v0.3.0
320,,,,,,0.01,0.01,,,,0.47,0.47,,,0.03,,,,,,,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-320,lollipop_v0.3.0
335,,0.49,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,0.01,lollipop_v0.3.0-335,lollipop_v0.3.0
350,,0.03,,,,,,,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,0.05,,0.02,lollipop_v0.3.0-350,lollipop_v0.3.0
366,0.02,0.02,,0.02,0.02,,,,,0.02,0.02,0.49,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,,0.05,0.04,lollipop_v0.3.0-366,lollipop_v0.3.0
