timepoint,B.1.618,B.1.78,B.1.8,B.1.1.425,B.1.177.29,BA.1.20,AY.26,AY.70,Q.7,B.1.351.5,AY.122.2,Q.1,AY.124.1.1,AY.25,AY.6,AY.4.1,AY.121.1,BA.1.1.11,AY.59,B.1.471,B.1.1.82,AY.57,B.1.1.232,A.2.5.3,AY.69,A.30,AT.1,B.1.1.203,B.1.214.2,XA,A.21,B.1.466,B.1.525,B.1.1.74,B.1.1.148,P.3,B.1.117,B.1.1.159,B.1.1.7,P.2,B.1.565,B.1.258.17,Q.4,B.1.1.325,B.1.1.263,B.1.1.421,B.1.1.395,B.1.1.16,B.1.160.21,C.14,AY.85,B.1.127,AY.74,AY.82,AY.55,AY.23.2,AY.58,B.1.626,AY.124.1,AY.94,AY.68,AY.45,AY.16.1,AY.46.1,AY.51,AY.34,AY.7.2,AY.39.2,AY.46.5,AY.98,AY.25.3,AY.104,AY.116.1,AY.88,B.1.480,B.1.1.351,B.1.596,B.1.1.165,XBC.1.2.1,B.1.1.86,AY.84,B.1.1.411,Q.8,B.1.1.529,AY.75.2,BR.5,XBB.2.8,B.1.637,B.1.170,C.1.2,BA.1.1.15,Q.6,AY.65,B.1.164,AY.103,B.1.575.2,B.1.1.44,B.1.1.432,B.1.1.163,B.1.36.8,P.1.12,B.1.575.1,C.17,B.1.427,B.1.214.1,B.1.1.377,B.1.523,B.1.177.5,P.1,B.1.36.31,B.1.1.1,B.1.177.23,M.2,B.1.160.11,B.1.2,B.1.146,B.1.399,XBB.1.28,N.2,B.1.557,BA.5.2.10,BA.2.40,C.37,B.1.1.449,C.23,B.1.258.3,XAY.1.2,B.1.621,B.1.398,B.1.640.2,B.1.406,AY.9,P.1.2,AY.114,N.9,BA.5.6.4,B.1.416,P.1.8,P.1.15,AY.127.1,AY.106,P.1.17,AY.23,BA.1.1.4,AY.41,B.1.143,U.3,B.1.407,P.1.7.1,A.15,P.1.16,B.1.610,P.1.1,B.1.1.440,C.36.1,B.1.1.12,C.1,B.1.9,B.1.623,P.1.10,B.1.320,B.1.1.217,B.1.1.193,B.1.1.349,B.1.177.65,B.1.1.37,B.1.1.397,B.1.221.4,B.1.474,B.1.160.13,B.1.1.204,B.1.420,XBC.1.2,B.1.221.3,B.1.351,BA.2.38.4,BL.4,BA.5.2.29,BA.5.6.1,BA.5.8,AY.44,B.1.160.17,B.1.1.302,B.1.241,B.1.531,B.1.568,B.1.22.1,B.1.1.27,B.1.310,B.1.1.8,BM.1.1.4,DL.1,BQ.1.14,BA.5.2.1,BA.1.17,AY.71,AY.127,C.7,B.1.387,B.1.1.115,B.1.1.99,B.1.349,B.1.1.176,AY.27,B.1.177.84,B.1.177.38,B.1.177.87,B.1.177.72,ED.1,B.1.44,XAK,B.1.9.3,B.1.36.22,B.1.227,B.1.1.431,BA.1.18,AY.43.3,BA.1.1.18,AY.47,AY.111,B.1.617.1,B.1.596.1,P.6,B.1.1.240,B.1.177.42,B.1.177.82,B.1.177.18,B.1.177.73,B.1.36.12,B.1.1.200,B.1.293,B.1.613,AV.1,B.1.562,CM.7,BQ.1.1.47,BF.7.10,AY.39.1,BA.4.3,BF.1,BA.2.57,BA.1.17.1,AY.42,BB.1,B.1.1.333,B.1.1.5,B.1.12,AZ.2.1,B.1.1.372,B.1.1.338,B.1.1.374,GA.2,XBB.1.19,B.1.240.2,AY.108,B.1.36,B.1.258.7,AY.25.1,AY.102,AY.46.4,AY.122.1,B.1.617.2,AY.133,AY.33.2,AY.4,AY.119,AY.32,A.29,B.1.1.528,C.30.1,AY.4.15,B.1.36.1,XBB.1.36,P.1.12.1,P.1.11,B.1.1.446,B.1.160.25,B.1.177.52,B.1.545,AY.80,BA.1.6,B.1.36.16,B.1.1.396,B.1.280,FD.1.1,B.1.362.1,B.1.582,P.1.14,B.1.1.522,B.1.544,B.1.1.354,P.1.7,AY.128,AK.2,B.1.549,B.1.1.55,BM.2.1,BQ.1.2.1,BA.2.9.1,B.6,B.1.452,B.1.1.385,B.1.389,B.1.1.451,AY.3.1,B.1.361,BA.1.19,B.1.91,B.1.640,B.1.362,B.1.1.227,B.1.1.262,B.1.177.33,B.49,B.1.1.294,B.1.617.3,BA.4.6.2,AY.30,AY.38,B.1.235,B.1.131,B.1.177.89,B.1.36.37,A.1,BQ.1.1.51,DE.2,BF.16,BE.6,B.1.258.11,B.1.1.92,BF.27,BW.1.1.1,BA.5.3,BA.2.3.10,XBB.1.38,B.1.460,B.1.1.100,others,sample_name,tool_name
1,,,0.09,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,0.1,,,,,,,,,,0.02,,,,,,,,,0.02,,0.03,,,0.01,,,,,,0.01,,,,0.03,0.02,0.02,0.12,0.02,0.01,0.01,0.02,,,,,,,,,,0.01,,,,,0.03,0.02,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-1,vlq_vd04ad36
107,,,,,,,0.01,,0.01,,,0.01,0.01,,,0.01,,,,,,0.03,,,,,,,,0.03,,,,,,,,,0.05,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,0.02,,,,,0.02,0.02,,,,,,,0.01,0.01,,0.02,0.02,,0.01,0.02,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-107,vlq_vd04ad36
122,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,0.01,0.23,vlq_vd04ad36-122,vlq_vd04ad36
137,,0.5,,,,0.02,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.01,0.01,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,vlq_vd04ad36-137,vlq_vd04ad36
153,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.01,,,,,,,,,,0.01,,0.03,,,0.02,0.01,0.02,0.02,,,0.01,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,0.01,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-153,vlq_vd04ad36
16,,,,,,,,,,,,,,,,0.05,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.03,0.02,0.01,0.02,,0.03,0.08,0.01,,0.01,0.02,0.01,0.02,0.02,0.03,,,,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq_vd04ad36-16,vlq_vd04ad36
168,,0.29,,,,0.01,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.02,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.01,0.03,0.01,,0.01,,0.01,0.02,,,0.01,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-168,vlq_vd04ad36
183,,0.26,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,0.02,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.03,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.03,0.01,0.03,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,0.01,0.02,,,,,,,,,,,,,,,0.28,vlq_vd04ad36-183,vlq_vd04ad36
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,0.01,,,,,,,,,,0.03,,,,,0.03,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.03,,0.02,,,,,,,,,,,,0.02,0.02,,,0.02,0.01,0.01,0.01,,0.04,0.03,,0.02,,0.01,0.02,0.02,0.01,,,0.02,0.02,0.02,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,vlq_vd04ad36-198,vlq_vd04ad36
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,0.02,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,0.05,,,,,0.01,,,,,0.01,,,,0.01,,,,,,,,,,0.04,,,,,0.05,,,,,,,,,,,,,0.07,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.03,,,,,,,,,0.08,,,,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,vlq_vd04ad36-213,vlq_vd04ad36
