timepoint,Q.4,Q.1,B.1.1.7,B.1.1.226,B.1.617.2,Q.2,Q.3,B.1.575.1,B.1.575,P.2,P.7,B.1.1.28,B.5,B.42,B.10,B.57,B.47,B.6,B.19,A,B.23,B.26,B.55,B.27,B.1.14,B.15,B.4,B.45,B.51,A.24,A.26,A.25,A.7,A.1,A.5,B.6.6,B.4.6,B.3.1,B.3,B.53,B.12,B,B.32,B.38,B.60,B.39,B.4.5,B.58,B.4.4,B.4.7,B.34,B.40,B.20,B.13,B.28,B.61,B.33,B.41,B.29,B.18,B.30,B.1.596.1,B.1.1.262,Q.7,A.2,A.18,A.21,A.19,AE.6,B.1.351,B.46,B.43,AY.35,AY.48,P.1.10,P.1.16,P.1.12,P.1.11,P.1,B.1.351.5,B.1.346,Q.6,Q.8,B.1.351.2,B.1.617.3,P.1.17.1,P.1.15,P.1.13,P.1.7.1,P.1.17,P.1.6,P.1.1,P.1.7,P.1.4,A.29,P.1.14,P.1.2,AY.133,AY.55,AY.9,AY.38,AY.75,AY.11,AY.59,AY.58,AY.66,AY.62,AY.26,AY.71,AY.57,AY.65,AY.67,AY.47,AY.70,AY.27,AY.73,AY.37,AY.9.2,AY.2,AY.9.2.2,others,sample_name,tool_name
1,,0.16,0.16,,,0.16,0.16,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-1,freyja_v1.4.3
16,0.24,0.24,,,,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-16,freyja_v1.4.3
31,,0.28,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,freyja_v1.4.3-31,freyja_v1.4.3
46,0.14,0.14,0.14,,,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-46,freyja_v1.4.3
61,,,,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-61,freyja_v1.4.3
77,,0.19,0.19,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-77,freyja_v1.4.3
92,0.21,0.21,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,freyja_v1.4.3-92,freyja_v1.4.3
107,0.03,0.03,0.03,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,freyja_v1.4.3-107,freyja_v1.4.3
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v1.4.3-122,freyja_v1.4.3
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,0.49,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-137,freyja_v1.4.3
