timepoint,P.1,B.1.617.2,others,B.1.1.7,B.1.351,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,0.02,0.98,,simul-1,simulation,Ex15_02_WideQual_simul-1,2023-01-02,1490.5053339129854,11157.807016823868,8.423903956124803,60
16,,,0.02,0.98,,simul-16,simulation,Ex15_02_WideQual_simul-16,2023-01-17,1483.826639467612,12245.962037959483,3.728722870614989,59.9999
31,,,0.02,0.9776,0.0024,simul-31,simulation,Ex15_02_WideQual_simul-31,2023-02-01,1508.4911547336387,8150.542611892991,9.280005350633717,60
46,,,0.02,0.9776,0.0024,simul-46,simulation,Ex15_02_WideQual_simul-46,2023-02-16,1509.5303815670668,6585.908591560811,8.450657124703206,59.9999
61,,,0.02,0.9772,0.0028000000000000004,simul-61,simulation,Ex15_02_WideQual_simul-61,2023-03-03,1460.9935123566197,11090.475721489103,3.9260274888807145,60
77,,,0.02,0.968,0.012,simul-77,simulation,Ex15_02_WideQual_simul-77,2023-03-19,1503.417483195666,7509.0484830146215,14.149082031903154,60
92,,,0.02,0.8155,0.16449999999999998,simul-92,simulation,Ex15_02_WideQual_simul-92,2023-04-03,1485.9014480152493,9651.566346434223,7.40728355014547,60
107,,,0.02,0.19579999999999997,0.7842,simul-107,simulation,Ex15_02_WideQual_simul-107,2023-04-18,1495.5911781426612,8113.2055234372365,7.601244022338896,60
122,,,0.02,0.012,0.968,simul-122,simulation,Ex15_02_WideQual_simul-122,2023-05-03,1513.3206032839514,8384.980558897636,6.220111694478815,59.9999
137,,,0.02,0.0006,0.9793999999999999,simul-137,simulation,Ex15_02_WideQual_simul-137,2023-05-18,1503.617295923486,13290.400571128717,5.835534896164265,60
153,0.0001,,0.02,,0.9799,simul-153,simulation,Ex15_02_WideQual_simul-153,2023-06-03,1500.7868775708123,8636.648407112105,7.531016954820586,60
168,0.0024,,0.02,,0.9776,simul-168,simulation,Ex15_02_WideQual_simul-168,2023-06-18,1483.798247667458,9062.605996691484,6.94913553824031,60
183,0.0458,,0.02,,0.9342,simul-183,simulation,Ex15_02_WideQual_simul-183,2023-07-03,1505.2672307126375,10498.904388068053,8.390462495401799,60
198,0.48619999999999997,,0.02,,0.4938,simul-198,simulation,Ex15_02_WideQual_simul-198,2023-07-18,1482.4158780055513,10330.420010147336,6.534461425275056,59.9999
213,0.9328,,0.02,,0.0472,simul-213,simulation,Ex15_02_WideQual_simul-213,2023-08-02,1493.9255927498914,7781.098066991147,8.62120857439053,59.9995
229,0.978,,0.02,,0.002,simul-229,simulation,Ex15_02_WideQual_simul-229,2023-08-18,1489.9928100859445,11715.023225434876,7.243420392602749,60
244,0.9799,,0.02,,0.0001,simul-244,simulation,Ex15_02_WideQual_simul-244,2023-09-02,1497.1100558472394,6994.475347832666,12.002140253486273,59.9999
259,0.9797,0.0003,0.02,,,simul-259,simulation,Ex15_02_WideQual_simul-259,2023-09-17,1489.5015215864628,8199.478464917041,13.650804267130386,59.9992
274,0.9747,0.0053,0.02,,,simul-274,simulation,Ex15_02_WideQual_simul-274,2023-10-02,1487.0563488613182,7181.118070511559,10.788215229241214,59.9994
289,0.8835999999999999,0.0964,0.02,,,simul-289,simulation,Ex15_02_WideQual_simul-289,2023-10-17,1501.7367488211885,12568.523333088333,10.323378925191452,60
305,0.2666,0.7134,0.02,,,simul-305,simulation,Ex15_02_WideQual_simul-305,2023-11-02,1501.336220446109,6647.013070822314,9.567601912851554,59.9989
320,0.0179,0.9621,0.02,,,simul-320,simulation,Ex15_02_WideQual_simul-320,2023-11-17,1470.8449988295488,11295.809473945628,3.5314182523492623,60
335,0.0009,0.9791,0.02,,,simul-335,simulation,Ex15_02_WideQual_simul-335,2023-12-02,1501.976590977494,8097.689038882464,5.94923586262248,60
350,,0.98,0.02,,,simul-350,simulation,Ex15_02_WideQual_simul-350,2023-12-17,1462.823730060529,10204.210853859275,7.5611142694712905,60
366,,0.98,0.02,,,simul-366,simulation,Ex15_02_WideQual_simul-366,2024-01-02,1510.1674413938401,9758.522496267928,4.584824265123901,60
