timepoint,BA.5.9,BA.5.1.4,BA.2.28,BQ.1.1.62,BM.2.1,BQ.1.33,DL.1,BN.1.3.3,BQ.1.1.26,BQ.1.1.21,BQ.1.1.10,BF.11.2,BE.4.1.1,CU.1,BF.7.13.1,BR.3,BQ.1.15,BN.1.3.1,BA.5.6.4,BF.7.9,BQ.1.2.1,BA.5.2.53,BF.4,BF.23,BA.5.3,BA.2.20,BF.1,BA.2.8,BA.1.1.16,BA.2.39,BA.2.16,BA.5.1.3,BF.7.5,BF.14,BF.29,BF.7.20,XBB.1.25,BY.1.1,CH.1.1.22,BQ.1.27,CN.2,BQ.1.1.38,CM.6.1,CM.5.1,BF.41.1,BF.7.6,BF.24,BF.7.19,BF.20,BF.39,BA.5.1.1,BA.5.1.25,BA.5.1.16,FL.8,XBB.1.9,XBB,BA.1.1.15,XBB.1.24,XBB.3.4,XBB.1.9.3,XBB.2.7.1,FL.9,FL.10,XBB.1.9.1,XBB.1.5.16,XBB.1.9.4,BA.2.81,BE.1.1,BA.5.1.30,BQ.1.16,BA.5.1.22,BA.5.1.23,BA.1.17.2,BA.2.3.10,BA.1.1,B.1.235,BF.7.18,BA.5.1.5,BA.5.2.34,BE.1.4.4,BA.2.19,BA.2.3.2,BG.4,BG.5,BA.2.13.1,BA.2.60,BA.4.3,BA.2.3.6,BA.2.12.2,BA.2.12.1,BA.2.10.3,BA.2.17,BA.2.9.2,BA.2.12,BA.2.5,BA.2.40,BG.6,BQ.1.1.15,BQ.1.1.7,BQ.1.1.18,BQ.1.3.2,BQ.1.5,BQ.1.1.3,XBF.7.1,DT.2,DT.1,BF.5.1,BF.7.4,BD.1,XAL,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.1.18,BA.1.1.4,BA.1.10,BA.1.1.17,BA.2.2.1,BA.1.1.13,BA.1.1.1,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.6,BC.2,BF.7.14.3,B.1.256,XM,CM.5,BA.4.1.2,BW.1.1.2,BF.12,BA.4,BA.5.2.52,BA.1.17.1,XJ,BA.4.1.5,B.1.640.2,CM.4,BA.5.8,BA.5.2.22,BE.1,BA.2.3,U.2,BE.9,BA.2.15,BA.5.2.13,BA.2.10.4,AY.129,XBB.1.5.30,BM.4.1,BA.2.45,AN.1,B.1.168,FD.1.1,BE.13,AY.43.3,AY.9.2,XBC.1.2.1,B.1.78,XBB.1.5.3,B.1.617.3,CH.3.1,others,sample_name,tool_name
1,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.16,0.03,,,,0.01,,,0.41,0.02,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.01,,,,0.01,,,,,,,,0.1,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,vlq_vd04ad36-12,vlq_vd04ad36
14,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.03,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.07,,0.12,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,0.65,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.46,,,,0.01,0.03,0.05,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.35,vlq_vd04ad36-16,vlq_vd04ad36
18,,,0.02,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,0.11,,,,0.04,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,0.02,0.08,0.02,,,,,,,,,,,0.54,vlq_vd04ad36-18,vlq_vd04ad36
20,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,0.01,0.03,,0.02,0.01,,,0.06,0.01,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-20,vlq_vd04ad36
23,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.03,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.08,0.02,,0.02,,,0.01,,,,0.01,0.05,0.02,0.05,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-23,vlq_vd04ad36
25,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,0.02,0.01,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.06,,,0.03,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,vlq_vd04ad36-25,vlq_vd04ad36
27,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,0.03,0.01,,0.02,,,,,0.02,,0.07,,,,,,,,,,,0.01,,,,,,0.01,0.02,,,,,,,,,,,,,,,,0.13,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,0.02,,,,,0.02,,0.08,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.03,,,,,,,,,,,,,,,,,0.65,vlq_vd04ad36-29,vlq_vd04ad36
