timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.2.75,BA.2.9,BA.5,BA.5.1,BA.5.2,BF.7,BN.1.3,BQ.1,BQ.1.1,XBB,XBB.1.5,others,sample_name,tool_name
1,,,,,,,,,,,,,,,0.97,,0.03,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
3,0.13,0.17,0.65,,,,,,,,,,,,,,0.05,vaquero_v24d9211_oldref-3,vaquero_v24d9211_oldref
5,,,0.35,0.62,,,,,,,,,,,,,0.03,vaquero_v24d9211_oldref-5,vaquero_v24d9211_oldref
7,,,0.37,0.51,,,0.11,,,,,,,,,,0.01,vaquero_v24d9211_oldref-7,vaquero_v24d9211_oldref
9,,,0.56,0.29,,,0.11,,,,,,,,,,0.04,vaquero_v24d9211_oldref-9,vaquero_v24d9211_oldref
12,,,0.23,0.37,,,0.33,,,,,,,,,,0.06,vaquero_v24d9211_oldref-12,vaquero_v24d9211_oldref
14,,,0.15,0.59,,,0.25,,,,,,,,,,0.01,vaquero_v24d9211_oldref-14,vaquero_v24d9211_oldref
16,,,,,,,,,,,,,,,0.97,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
18,,,,0.75,,,0.23,,,,,,,,,,0.02,vaquero_v24d9211_oldref-18,vaquero_v24d9211_oldref
20,,,,0.81,,,0.18,,,,,,,,,,0.01,vaquero_v24d9211_oldref-20,vaquero_v24d9211_oldref
23,,,,0.62,,,0.19,0.13,,,,,0.07,,,,0.0,vaquero_v24d9211_oldref-23,vaquero_v24d9211_oldref
25,,,,,,,,0.55,0.29,,,,0.16,,,,0.0,vaquero_v24d9211_oldref-25,vaquero_v24d9211_oldref
27,,,,,,,,0.26,0.3,0.08,0.21,,0.15,,,,0.0,vaquero_v24d9211_oldref-27,vaquero_v24d9211_oldref
29,,,,,,,,0.26,0.29,0.11,0.21,,0.13,,,,0.0,vaquero_v24d9211_oldref-29,vaquero_v24d9211_oldref
31,,,,,,,,,,,,,,,0.5,0.5,0.0,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
34,,,,,,,,0.1,0.28,0.22,0.3,,0.1,,,,0.0,vaquero_v24d9211_oldref-34,vaquero_v24d9211_oldref
36,,,,,,,,0.07,0.24,0.34,0.34,,,,,,0.01,vaquero_v24d9211_oldref-36,vaquero_v24d9211_oldref
38,,,,,,,,0.13,0.23,0.34,0.28,,,,,,0.01,vaquero_v24d9211_oldref-38,vaquero_v24d9211_oldref
40,,,,0.1,,0.16,,0.02,0.27,0.26,0.19,,,,,,0.0,vaquero_v24d9211_oldref-40,vaquero_v24d9211_oldref
42,,,,,0.16,0.11,,0.09,0.14,0.25,0.19,0.07,,,,,0.0,vaquero_v24d9211_oldref-42,vaquero_v24d9211_oldref
45,,,,,,0.07,,0.06,0.14,0.29,0.21,,0.12,,0.11,,0.0,vaquero_v24d9211_oldref-45,vaquero_v24d9211_oldref
47,,,,,,0.06,,0.17,,0.22,0.18,0.11,0.15,,0.12,,0.0,vaquero_v24d9211_oldref-47,vaquero_v24d9211_oldref
49,,,,,,,,0.11,,0.18,0.23,,0.11,0.22,0.14,,0.0,vaquero_v24d9211_oldref-49,vaquero_v24d9211_oldref
51,,,,,,0.1,,0.08,,0.08,0.26,,0.06,0.36,0.07,,0.0,vaquero_v24d9211_oldref-51,vaquero_v24d9211_oldref
