timepoint,BA.5.9,BA.5.1.4,BE.1.1,BE.1.4,XAR,BA.2.28,BQ.1.33,DL.1,BQ.1.13.1,BQ.1.1.47,BQ.1.1.26,DM.1,BQ.1.1.21,BF.11.3,CU.1,BF.7.13.1,BR.3,BA.5.2.39,BQ.1.14,BA.5.6.4,BF.11.4,BQ.1.3.2,BQ.1.2.1,BA.5.2.53,BF.13,BA.5.2.32,BA.5.6.1,BA.5.2.26,BA.2.9.7,BA.5.1.22,BF.4,BF.23,BA.2.13.1,BA.5.3,BA.2.60,BA.4.1.1,BA.2.3.6,BA.4.1.2,BA.2.12.1,BA.2.10.3,BF.1,BA.2.3.10,BA.2.15,BA.2.8,BA.2.47,BA.2.16,BF.17,BA.5.1.3,BQ.1.28,BA.5.7,BF.14,BF.29,BK.1,BY.1.1,BQ.1.27,CN.2,BN.1.3.10,BF.41.1,BA.5.1.5,BF.26,BF.7.6,BF.24,BA.5.2.19,BF.12,BA.2.79,BA.5.1.25,BA.5.1.16,XBB.1.9,BM.5,XBB,BG.5,BF.7.5,AT.1,XBB.3.4,XBB.1.25,XBB.1.9.3,FL.9,FL.10,XBB.1.9.4,BA.2.19,BQ.1.30,BN.1.4.5,CV.1,BF.16,BD.1,XAL,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.1.1.15,XAU,BA.2.9.4,BA.1.1.18,BA.1.1,BA.2.17,BA.1.1.4,BA.2.62,BA.2.72,BA.1.10,BA.2.18,BA.2.9.2,XJ,BA.2.2.1,BA.1.1.16,BA.1.1.13,BA.1.1.1,BA.2.37,BA.2.5,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.15,BA.1.6,B.1.215,BA.2.32,XM,BA.4.1.5,CM.6.1,BA.5.2.10,BQ.1.10,BA.2.12.2,BA.2.12,BE.1.4.4,B.1.258.18,BN.1.3.3,BQ.1.1.17,BN.1.3.1,BF.7.9,XBB.1.5.22,BF.39,XAN,BA.5.1.9,BQ.1.1.3,BA.5.1.23,BA.1.17,B.1.1.399,XBB.3.3,BA.5.1.30,AY.90,BQ.1.8,B.1.258.7,XBP,BA.1.15.3,BA.1.17.1,BC.2,CC.1,CR.1,FL.8,Q.1,B.1.1.153,B.1.1.325,BA.2.69,C.1.2,GA.1,AY.122.2,AY.43.9,B.1.280,BF.7.19,BF.5.1,B.1.351,CM.5,XBB.1,XBG,B.1.1.240,XBB.1.9.1,BQ.1.1.15,BQ.1.1.7,BQ.1.1.18,BQ.1.5,BQ.1.1.34,BF.7.4,B.1.1.346,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,0.01,,0.02,,0.02,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,0.01,,,0.01,,0.02,0.02,0.07,0.01,,,,,,,,,0.05,,,,,0.02,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,0.02,,,0.01,,0.01,,0.01,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.01,,,,,0.01,,,,,0.01,,,,,,0.05,,,,,,,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.01,,,,,,0.02,,0.34,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,0.34,vlq_vd04ad36-16,vlq_vd04ad36
18,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,0.07,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.08,,,,,,,,,,,,,0.02,,,,,,,,,0.17,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,0.05,,,,,,0.01,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.05,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,0.01,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,0.04,,,,,,,,,,,,,,,,,,,,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,vlq_vd04ad36-23,vlq_vd04ad36
25,,,0.07,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.02,,0.01,,0.01,,,,,0.01,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,vlq_vd04ad36-25,vlq_vd04ad36
27,,,0.02,0.02,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,0.03,,0.01,,,,,,,0.02,,0.03,,,,,,,,0.08,,,,,,,0.01,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,0.01,0.02,,0.01,,,,,,,0.03,,,,,,,0.01,,,0.08,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,vlq_vd04ad36-29,vlq_vd04ad36
