timepoint,BA.5.1,BE.1.1,BA.5.2,BA.5.2.1,BE.1,BF.14,XAS,BF.12,BF.1,BA.2.15,BA.2.12.1,BA.5.5,XAJ,BA.4,BA.2.23,BA.4.1,BA.5.3,B.1,XBB.1.9,XBB.1.9.4,B,BA.2.9,BA.2.16,BA.1.1,B.1.215,XAH,BA.1.1.1,BA.4.1.2,BA.5,BA.2.12,BA.2,BA.2.38,BA.4.8,BA.2.36,XBB.1,BF.7,BA.5.9,BN.1.3.1,BQ.1,BN.1.3.3,BQ.1.1,BN.1.2.3,BN.1.3,BA.5.11,BQ.1.31,BF.11,BQ.1.22,CT.1,BN.1.9,BA.5.2.20,XBU,BA.2.75.5,BQ.1.1.46,XBB,BA.2.56,BE.1.4,BF.24,BA.5.1.23,BA.5.1.5,BA.5.1.22,BA.2.75.1,XBD,BA.1.17.2,BA.1.12,BA.1.18,BA.4.6,BA.5.2.52,BA.5.2.26,BY.1,BA.2.75.7,BL.1,BA.5.2.6,BF.5,BA.5.2.54,BE.1.1.2,BA.2.3.10,BA.1.19,B.1.617.2,AY.43,AY.1,BQ.1.1.5,BQ.1.24,CH.1.1,BF.7.6,BN.1,BN.1.3.4,BA.5.2.27,BA.2.3.20,BM.1.1.3,CB.1,CR.1,BA.2.76,BA.5.2.57,BA.1.13,BA.1.17,BQ.1.10,BQ.1.1.3,BF.7.19,BF.7.4,BA.5.1.3,BF.4,BA.5.1.30,CM.11,BF.7.1,BF.16,BA.2.75.2,BA.2.4,BA.1.5,BA.2.25,BQ.1.2,BQ.1.1.25,BQ.1.3,BF.7.24,BF.7.22,BF.23,XBB.2.7,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,0.94,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-1,freyja_v1.4.3
3,,,,,,,,,,,,,,,0.02,,,,,,,,0.1,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.03,,,,,,,,,,,,0.22,0.16,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-3,freyja_v1.4.3
5,,,,,,,,,,,,,,,0.06,,,0.01,,,,,,0.19,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.09,0.02,,,,,,,,0.01,freyja_v1.4.3-5,freyja_v1.4.3
7,,,,,,,,,,,,,,,0.06,,,,,,,0.1,0.47,0.26,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-7,freyja_v1.4.3
9,,,,,,,,,,,,,,,0.03,,,0.04,,,,0.16,0.2,0.37,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-9,freyja_v1.4.3
12,,,,,,,,,,,,,,,0.07,,,,,,,0.3,0.29,0.2,0.06,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-12,freyja_v1.4.3
14,,,,,,,,,,,,,,,0.09,,,,,,,0.19,,0.15,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-14,freyja_v1.4.3
16,,,,,,,,,,,,,,,,,,,0.97,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
18,,,,,,,,,,,,,,,0.1,,0.03,,,,,0.25,0.45,,,,,0.08,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-18,freyja_v1.4.3
20,,,,,,,,,,,0.11,,,0.03,0.12,0.02,,,,,,0.18,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-20,freyja_v1.4.3
23,0.07,0.02,,0.03,0.03,,0.02,,,,0.15,,,,0.07,,,,,,,0.09,0.46,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-23,freyja_v1.4.3
25,0.17,0.15,0.05,0.05,0.02,,0.13,,0.04,,0.05,,,0.03,0.09,0.04,0.03,,,,,0.07,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-25,freyja_v1.4.3
27,0.26,0.13,0.09,0.08,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-27,freyja_v1.4.3
29,0.18,0.1,0.08,0.08,,0.08,,,0.04,,,,,0.02,0.06,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-29,freyja_v1.4.3
31,,,,,,,,,,,,,,,,,,,0.97,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-31,freyja_v1.4.3
34,0.23,0.09,0.22,0.18,0.02,0.1,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-34,freyja_v1.4.3
36,0.19,0.06,0.26,0.18,,0.11,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,0.03,,,,,,,,0.01,,,,0.01,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-36,freyja_v1.4.3
38,0.21,0.07,0.26,0.13,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-38,freyja_v1.4.3
40,0.08,,0.22,0.04,0.02,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,0.02,,,,,,,,,,,,,0.03,,0.06,,,,,,,,,,,,,,,,,,,0.04,,0.03,,,,,,,,,,,,0.04,,,0.05,0.02,,0.02,,,,,,,,,0.08,0.04,0.03,0.02,0.02,0.02,0.01,,,,,,,,,,,0.03,freyja_v1.4.3-40,freyja_v1.4.3
42,0.11,0.04,0.2,0.02,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.03,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,0.03,,,,,,,,,,,,,0.08,,,0.15,0.03,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-42,freyja_v1.4.3
45,0.1,,0.16,0.1,,0.08,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,0.1,0.04,,,0.01,0.02,,0.04,,,,,,,0.03,,,,0.06,,,0.03,,,,,,,,,,,,,,,0.01,,,,,,,,,0.04,0.04,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-45,freyja_v1.4.3
47,0.05,,0.12,0.06,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.13,0.13,0.09,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.4.3-47,freyja_v1.4.3
49,0.04,,0.14,,,0.06,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.05,0.14,,,0.08,,0.21,,0.04,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.05,freyja_v1.4.3-49,freyja_v1.4.3
51,0.02,,0.03,0.02,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.13,,,0.03,,0.29,,0.02,0.03,0.03,0.01,,,,,0.02,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.01,,,0.01,,,,,,,,0.04,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-51,freyja_v1.4.3
