timepoint,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.2,BA.1.1.1,BA.1.17,BA.2.3,BA.2.9,B.1.1.529,BA.2.75.1,BA.4.6,BA.5,BA.5.1,BA.5.1.2,BA.5.1.23,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BE.1,BE.1.1,BE.1.1.2,BE.1.4,BF.14,BF.5,BF.7,BM.1.1,BA.2.12.1,BA.2.3.20,BF.11,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.5.1.22,BA.5.1.5,BN.2,BA.1.15,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BQ.1.5,XBB.2,BA.2.56,BA.4,BA.4.1,BA.5.5,BF.1,BF.12,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,XBF,BA.5.3,BA.4.1.2,BA.2.36,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.13,BQ.1.1.23,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.05,0.03,0.18,0.19,0.16,0.11,0.16,,0.03,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex16_02_realTimecourse_simul-1,2021-12-29,1473.5881015282748,1252.3762443033572,96.66588636591646,59.9999
3,0.08,0.03,0.17,0.22,0.22,0.08,0.03,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex16_02_realTimecourse_simul-3,2022-01-12,1497.8040999230846,1306.5225129575854,97.86977895194462,59.9999
5,,,0.03,0.11,0.17,0.03,,,0.5,0.02,0.01,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex16_02_realTimecourse_simul-5,2022-01-26,1493.2721466073638,1169.0073064407693,95.14764404909207,59.9999
7,,,,0.06,0.23,0.03,,,0.52,0.02,0.02,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex16_02_realTimecourse_simul-7,2022-02-09,1489.726415409825,1272.0090606824754,97.36481289502726,59.9999
9,,,,0.09,0.33,0.06,0.02,,0.29,0.05,0.01,0.02,0.1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex16_02_realTimecourse_simul-9,2022-02-23,1496.7676152894358,1313.4174170546855,96.66254221984416,59.9999
12,,,,0.02,0.19,,,,0.4,0.02,,,0.33,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex16_02_realTimecourse_simul-12,2022-03-16,1493.2286727084238,1250.0317814478387,96.66254221984416,59.9998
14,,,,,0.14,,,,0.64,0.01,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex16_02_realTimecourse_simul-14,2022-03-30,1489.4763736079992,1242.902574250393,95.56231816205731,60
16,,,,,0.04,,,,0.67,0.01,,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex16_02_realTimecourse_simul-16,2022-04-13,1435.150553456175,1106.4360740871325,96.19436176972211,59.9999
18,,,,,0.01,,,,0.64,,,0.01,0.22,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.08,,,,,,,,,,,,simul-18,simulation,Ex16_02_realTimecourse_simul-18,2022-04-27,1486.3422733505,1302.5048089997476,96.69932782663948,59.9999
20,,,,,,,,,0.61,,,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,simul-20,simulation,Ex16_02_realTimecourse_simul-20,2022-05-11,1489.8603484600208,1208.3294037598391,96.17095274721599,59.9999
