timepoint,BA.2.9,BA.1.1,BA.2.16,BA.2.37,B.1,BA.2.23,BA.1.1.1,BA.5.1,BE.1.1,BA.5.2,BA.4.1,BA.5.2.1,BE.1,BA.2.12.1,BA.5.1.22,BA.5,BA.2.11,BF.1,BA.4,BA.5.3,BA.4.8,BA.2.12,BA.2.87,BA.1,BA.2.3.16,BA.1.17.2,B.1.617.2,BA.2.3,XU,BF.14,BF.5,BA.5.2.3,BA.5.2.20,BA.5.2.26,BE.1.1.2,BF.7,BA.5.1.28,XAS,CC.1,BL.1,BQ.1,BF.32,XBB.1,BA.5.9,BQ.1.1.46,BN.1.3.3,BN.1.3.1,BN.1.3,XBU,BN.1.2.3,BF.11,BA.5.1.11,BF.7.6,BF.7.9,BF.7.15,CT.1,BA.2.73,BA.5.2.27,BY.1,BF.17,BA.5.2.6,BY.1.1,BA.1.18,BA.1.17,AY.43,BA.2,AY.46.6,BA.2.56,BA.5.1.5,BA.2.75.1,BA.2.79,BQ.1.1,BN.1.3.4,BN.1,BA.5.2.36,BQ.1.1.44,XAH,BA.2.36,BF.12,BA.5.5,BA.5.3.1,AY.120,BA.2.3.10,CH.1.1,BQ.1.10,BQ.1.1.7,BF.7.4,BF.7.19,BQ.1.9,BE.1.2,BQ.1.1.3,BF.7.5,BF.11.3,BQ.1.3.2,BF.7.24,BQ.1.31,BA.2.3.20,BM.1.1.3,BA.2.75.5,BA.5.2.57,BA.2.75.6,BA.4.1.2,CM.11,BA.5.1.37,others,sample_name,tool_name
1,,0.16,,,0.01,,,,,,,,,,,,,,,,,,,0.23,,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.07,0.06,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-1,freyja_v2.0.0
3,,0.19,,,0.02,,,,,,,,,,,,0.14,,,,,,,0.25,,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.09,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-3,freyja_v2.0.0
5,,0.17,,,,0.06,0.02,,,,,,,,,,,,,,,,0.47,0.13,0.05,0.03,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-5,freyja_v2.0.0
7,,0.25,,,,0.08,0.02,,,,,,,,,,,,,,,,,0.05,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-7,freyja_v2.0.0
9,0.1,0.35,,,0.04,0.04,0.06,,,,,,,,,,,,,,,,0.26,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-9,freyja_v2.0.0
12,0.37,0.21,0.16,0.11,0.06,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-12,freyja_v2.0.0
14,,0.14,,,,0.08,0.01,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-14,freyja_v2.0.0
16,0.21,0.03,,,,0.08,0.01,,,,,,,0.05,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-16,freyja_v2.0.0
18,0.19,,0.59,,,0.1,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.02,freyja_v2.0.0-18,freyja_v2.0.0
20,0.2,,,,,0.1,,,,,,,,0.11,,,,,0.05,,,,0.46,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v2.0.0-20,freyja_v2.0.0
