timepoint,BA.2,BA.4.6,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BA.2.75.1,BA.5.1.2,BA.5.1.23,BA.5.2.27,BA.5.9,BE.1,BE.1.4,BM.1.1,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BF.11,BN.1.3.1,BA.2.12.1,BA.2.56,BA.2.9,BA.4,BA.4.1,BA.5.3,BF.1,BA.2.13,BA.5.5,BA.2.36,BA.2.3,BA.4.1.2,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.5.1.3,BL.1,CM.5,XBB.2,BF.12,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BQ.1.1.23,B.1.617.2,B.1.1.529,BA.1.18,BN.2,AY.43,AY.46.6,BA.1.20,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,,,,,,,,,,,,0.18,,0.16,,0.05,0.03,,simul-1,simulation,Ex16_03_realTimecourse_simul-1,2021-12-29,1500.611142694713,1255.951632317555,95.30816306056249,59.9999
3,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,,,,,,,,,,,,0.17,,0.03,,0.08,0.03,0.02,simul-3,simulation,Ex16_03_realTimecourse_simul-3,2022-01-12,1490.245326555864,1313.503143634119,96.42176370263853,59.9999
5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,0.05,,0.11,0.17,0.02,,0.01,0.03,,,,,,,,,,,,0.03,,,,,,,simul-5,simulation,Ex16_03_realTimecourse_simul-5,2022-01-26,1487.5907768451325,1084.156818546745,96.33816005083102,59.9999
7,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.02,,0.06,0.23,0.02,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex16_03_realTimecourse_simul-7,2022-02-09,1475.2561281476776,1216.7783802419085,96.34150419690332,59.9999
9,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.02,,0.09,0.33,0.05,0.01,0.01,0.06,,,,,,,,,,,,,0.03,0.02,,,,,simul-9,simulation,Ex16_03_realTimecourse_simul-9,2022-02-23,1497.9420125071063,1139.200184829089,95.74624619603385,59.9999
12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,0.02,0.19,0.02,,,,,,,,,,,,,,,,0.05,,,,,,simul-12,simulation,Ex16_03_realTimecourse_simul-12,2022-03-16,1485.8133297662441,1083.266733634801,95.28140989198408,59.9999
14,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,0.02,,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex16_03_realTimecourse_simul-14,2022-03-30,1495.79232852891,1161.5198717597625,95.45864963381601,59.9998
16,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.21,,,,,,,,0.03,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex16_03_realTimecourse_simul-16,2022-04-13,1494.1191184830952,1077.218839848471,96.36491321940942,59.9999
18,0.64,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.22,,,0.01,,,,,0.01,0.08,,0.01,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex16_03_realTimecourse_simul-18,2022-04-27,1492.0499949837808,1216.3675227962947,96.82640537738688,59.9999
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.01,0.19,0.03,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex16_03_realTimecourse_simul-20,2022-05-11,1474.4268802461293,1146.0361469456952,96.9100090291944,59.9999
