timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.3.20,BA.2.75,BA.2.9,BA.5,BA.5.1,BA.5.2,BF.7,BN.1.3,BQ.1,BQ.1.1,XBB,others,sample_name,tool_name
1,,,0.71,,,,,,,,,,,,,0.29,vaquero_v24d9211_oldref-1,vaquero_v24d9211_oldref
3,0.13,0.18,0.63,,,,,,,,,,,,,0.06,vaquero_v24d9211_oldref-3,vaquero_v24d9211_oldref
5,,,0.36,0.6,,,,,,,,,,,,0.04,vaquero_v24d9211_oldref-5,vaquero_v24d9211_oldref
7,,,0.36,0.62,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-7,vaquero_v24d9211_oldref
9,,,0.56,0.29,,,0.11,,,,,,,,,0.04,vaquero_v24d9211_oldref-9,vaquero_v24d9211_oldref
12,,,0.23,0.33,,,0.38,,,,,,,,,0.06,vaquero_v24d9211_oldref-12,vaquero_v24d9211_oldref
14,,,0.15,0.84,,,,,,,,,,,,0.01,vaquero_v24d9211_oldref-14,vaquero_v24d9211_oldref
16,,,,0.75,,,0.22,,,,,,,,,0.03,vaquero_v24d9211_oldref-16,vaquero_v24d9211_oldref
20,,,,0.79,,,0.21,,,,,,,,,0.01,vaquero_v24d9211_oldref-20,vaquero_v24d9211_oldref
23,,,,0.57,,,0.15,0.2,,,,,0.05,,,0.02,vaquero_v24d9211_oldref-23,vaquero_v24d9211_oldref
25,,,,,,,,0.54,0.29,,,,0.17,,,0.0,vaquero_v24d9211_oldref-25,vaquero_v24d9211_oldref
27,,,,,,,,0.29,0.28,0.08,0.2,,0.15,,,0.0,vaquero_v24d9211_oldref-27,vaquero_v24d9211_oldref
29,,,,,,,,0.24,0.33,0.1,0.22,,0.12,,,0.0,vaquero_v24d9211_oldref-29,vaquero_v24d9211_oldref
31,,,,,,,,0.18,0.25,0.15,0.29,,0.14,,,0.0,vaquero_v24d9211_oldref-31,vaquero_v24d9211_oldref
34,,,,,,,,0.11,0.28,0.21,0.3,,0.1,,,0.0,vaquero_v24d9211_oldref-34,vaquero_v24d9211_oldref
36,,,,,,,,0.07,0.22,0.36,0.34,,,,,0.01,vaquero_v24d9211_oldref-36,vaquero_v24d9211_oldref
38,,,,,,,,0.13,0.24,0.34,0.28,,,,,0.01,vaquero_v24d9211_oldref-38,vaquero_v24d9211_oldref
40,,,,0.09,,0.17,,0.02,0.24,0.28,0.2,,,,,0.0,vaquero_v24d9211_oldref-40,vaquero_v24d9211_oldref
42,,,,0.02,0.16,0.14,,0.06,0.13,0.29,0.18,,,,0.02,0.0,vaquero_v24d9211_oldref-42,vaquero_v24d9211_oldref
45,,,,,,0.09,,0.03,0.15,0.31,0.22,,0.12,,0.09,0.0,vaquero_v24d9211_oldref-45,vaquero_v24d9211_oldref
47,,,,,,0.06,,0.16,,0.21,0.18,0.12,0.15,,0.13,0.0,vaquero_v24d9211_oldref-47,vaquero_v24d9211_oldref
49,,,,,,,,0.13,,0.17,0.23,,0.11,0.21,0.14,0.0,vaquero_v24d9211_oldref-49,vaquero_v24d9211_oldref
51,,,,,,0.09,,0.08,,0.09,0.25,,0.05,0.36,0.08,0.0,vaquero_v24d9211_oldref-51,vaquero_v24d9211_oldref
