timepoint,BA.5.9,XAG,BA.5.1.4,BA.2.19,XAR,B.1.1.529,BA.2.28,CM.7,BW.1.1.1,BQ.1.1.47,BQ.1.1.21,CU.1,EQ.1,BR.3,BA.5.6.4,BA.5.2.53,BF.7.10,BA.2.9.7,XU,BF.23,BA.2.13.1,BA.5.3,BD.1,BA.2.60,BA.2.3.6,BA.4.1.2,BA.2.12.2,BA.2.20,BA.2.54,BA.2.71,BA.1,BA.5.2.28,BF.1,BA.2.3.17,BA.2.3.14,BA.2.57,BA.2.3.10,BA.2.9.4,BA.2.17,BA.2.46,BA.2.23.1,BA.2.18,BA.2.27,BA.2.3.15,BA.2.9.2,BA.2.8,BA.2.47,BA.2.3,BA.2.39,BA.2.16,BA.2.5,BA.5.1.31,M.2,XBB.2.3.5,BY.1.1,BQ.1.25.1,CN.2,BQ.1.1.38,CM.5.1,BQ.1.1.60,BF.41.1,BF.26,BA.5.1.26,BF.24,BA.5.1.1,BA.5.1.25,BA.1.17.2,BA.1.20,BA.1.18,BA.1.17,BA.1.1.15,BA.1.1.18,BA.1.1,BA.1.15.3,BA.1.10,BA.1.1.17,XJ,AY.9.2,BA.2.2.1,BA.1.1.13,BA.1.1.1,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.6,AY.43.9,BQ.1.26.2,BF.7.17,BQ.1.33,BQ.1.1.51,BN.1.3.3,CR.1,CP.2,BF.11.3,BF.33,DE.2,BF.7.13.1,BN.1.3.1,BF.7.9,BQ.1.2.1,BQ.1.5,BQ.1.16,BA.5.2.32,BF.4,BA.5.2.1,BA.5.1.8,BF.14,B.1.177.55,XBT,CM.6.1,BA.5.1.5,BF.7.6,BF.20,BF.39,BF.36,BA.2.62,XE,BC.2,XM,BA.5.1.16,BE.1.4.1,BF.21,BE.1.1,BA.5.1.30,BA.4.1.5,BE.1.4,BQ.1.1.26,BQ.1.1.10,BF.11.4,BF.13,BA.5.2.2,BA.5.1.22,BA.5.1.23,BA.2.10.3,BA.5.1.3,BF.12,BE.1.4.4,BA.5.1.2,BA.5.6,BA.2.63,BR.1.2,B.1.588.1,BQ.1.1.15,BQ.1.1.13,BQ.1.1.69,BQ.1.3.2,BF.7.22,BA.5.3.3,BF.7.5,ED.1,ER.1.1,BF.7.19,BF.7.4,BA.5.5,B.1.552,XBB.1.5.10,BE.1.3,BA.5.2.36,BF.18,DY.2,CC.1,CM.8.1,CM.4,AY.23.1,W.4,BE.1.2,BA.2.3.7,BA.2.70,B.1.505,BY.1,BG.6,B.1.1.280,BF.7.15,BA.4.1.6,B.1.160.9,BA.5.2.40,BA.2.75.5,AY.4,BA.5.2.23,others,sample_name,tool_name
1,,,,,,0.01,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.02,0.1,0.05,0.01,,0.01,0.01,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.44,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,,,,0.02,,,,,,,,,,,,,0.01,,,0.01,,,,,,0.02,,,,,,,,0.01,,,,,,,,0.16,0.01,0.01,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.02,,0.01,,,,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.58,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,,,0.02,,,,,,,,,,,,,0.01,,,0.01,0.02,0.02,,,0.02,,0.01,,,,0.04,,,,,,,,,,,0.08,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,0.02,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.11,,,,0.01,,0.12,0.02,,0.02,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.04,0.02,,,,,,,,,,,0.55,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,0.02,,0.04,,0.01,,,,,,,,,0.02,,0.23,,,,,,0.17,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,0.05,0.01,,0.01,,,,,,,,,,,,0.01,,,,,,,0.02,0.06,0.02,,,,0.02,,0.01,0.01,0.01,0.02,,,,0.01,,,,0.02,0.02,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-20,vlq_vd04ad36
23,,,,0.01,,,,,,,,,0.01,,,,,,,0.01,,0.01,,,,,0.08,,,,,,,,,,,,,,,0.01,,,,,,,0.01,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,vlq_vd04ad36-23,vlq_vd04ad36
25,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,0.03,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,0.71,vlq_vd04ad36-25,vlq_vd04ad36
27,,,0.01,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,0.04,,0.07,,,,,,0.01,,,,,,,,,,0.04,,0.01,,,,,,,0.02,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.01,0.02,,,,,,,,,0.57,vlq_vd04ad36-27,vlq_vd04ad36
29,,,0.01,,,,,,,,,0.02,,,,,,,,0.04,,0.02,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.09,,,,,,0.01,,,,,,,0.01,,,0.08,,,0.01,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,vlq_vd04ad36-29,vlq_vd04ad36
3,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.05,0.04,,0.03,0.04,0.05,0.01,0.02,0.02,,0.04,0.03,,,0.02,0.04,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,,,0.01,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,0.02,,,,,,,,,0.05,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.01,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-31,vlq_vd04ad36
34,,,,,,,,,,,,,,,,0.01,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,0.17,,,,0.02,,,0.02,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.64,vlq_vd04ad36-34,vlq_vd04ad36
36,,,0.01,,,,,,,,,,,,,0.01,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,0.12,,,,,,,,0.01,,,,,,,0.01,,,,,,,0.01,,0.05,,0.01,,,,,,,,,,,,,,,,,,,,,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,0.01,0.1,,,,,,0.01,0.02,,,,,,0.03,,,,,,,,,,0.01,,,,,,,0.01,0.01,,,,,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.03,,,,0.63,vlq_vd04ad36-38,vlq_vd04ad36
40,0.02,,0.02,,,,,,,,0.01,,,0.01,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.04,,,0.03,,,,,,0.07,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.66,vlq_vd04ad36-40,vlq_vd04ad36
42,0.01,,,,,,,0.02,,,,,,,0.01,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.07,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.01,0.02,,,,,,,,,,,,,,,0.71,vlq_vd04ad36-42,vlq_vd04ad36
45,0.02,,,,,,,,,,0.01,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.07,0.03,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-45,vlq_vd04ad36
47,0.05,,,,,,,,,,,,,,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,0.02,0.03,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,vlq_vd04ad36-47,vlq_vd04ad36
49,0.01,,,,,,,,,,,,,,,,0.02,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,0.02,,,0.07,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,0.01,0.01,,0.03,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-49,vlq_vd04ad36
5,,,,0.01,0.02,,0.02,,,,,,,,,,,,,,0.01,,0.02,,0.03,,,,,,0.01,,,,,,0.01,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.04,0.02,,,0.02,,0.06,,,0.02,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-5,vlq_vd04ad36
51,,0.04,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,0.01,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.02,,,0.02,,,0.01,,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,,,,0.65,vlq_vd04ad36-51,vlq_vd04ad36
7,,,,,,,,,,,,,,,,,,0.01,,,,,0.04,,,,,,,,0.01,,,,,,,,,0.07,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.03,0.02,,,,0.08,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,0.02,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-7,vlq_vd04ad36
9,,,,,,,0.01,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.02,,0.02,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,vlq_vd04ad36-9,vlq_vd04ad36
