timepoint,BA.2.16,BA.2.9,BA.2.12.1,BA.2.23,BA.4,BA.2,BA.2.12,B.1,BA.2.73,BA.1.13,BA.1.1,B.1.617.2,BA.1.17.2,AY.43,AY.46.6,BA.1.18,BA.1,B.1.1.529,BA.5.2,BA.5.1,BF.7,BA.5.2.1,BF.14,BN.1.3,BA.5,BQ.1.1,BQ.1,BA.5.9,BF.5,BA.5.2.20,BA.5.2.36,BA.5.2.18,BM.4,BA.2.75,BF.11,BN.1,BA.1.1.1,XAP,XE,BA.5.5,BE.1.1,BF.1,BE.1,BA.5.3,BA.2.3.9,BA.1.17,BA.2.3,BA.4.1.2,BA.2.29,BA.4.8,BA.4.1,XBB.1,BF.7.5,BA.5.11,BA.5.1.28,BQ.1.3,XBU,BQ.1.1.18,BQ.1.2.1,BN.1.3.3,BA.5.3.1,BF.7.4,XAS,BA.2.56,BA.5.2.3,BE.1.1.2,BA.5.2.26,BQ.1.31,BA.2.3.20,BA.2.75.1,BA.5.2.6,BM.1.1.3,BA.5.2.58,BE.1.2,BA.5.1.3,BF.4,BA.5.1.5,BF.7.1,BA.5.1.23,BA.2.70,BF.12,BF.6,BF.39,BF.7.15,BQ.1.1.45,BQ.1.1.1,BQ.1.1.31,BQ.1.10,BQ.1.23,BQ.1.1.25,XBF.1,CH.1.1,CH.1.1.3,BQ.1.1.3,XBB,XBB.2,BN.1.2.3,BA.2.55,BA.5.1.22,BA.1.5,BA.1.1.7,BA.1.1.11,BN.1.10,BA.2.75.5,CM.11,BA.5.1.30,BA.2.75.4,CR.2,BN.1.3.1,BQ.1.22,BA.5.1.11,XBB.4,others,sample_name,tool_name
1,,,,,,0.03,,,,,0.06,0.17,0.12,0.05,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.06,0.06,,,,,,,,,,,0.03,freyja_v1.4.3-1,freyja_v1.4.3
3,0.13,,,,,,,,,0.22,0.21,0.18,0.09,0.07,0.04,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-3,freyja_v1.4.3
5,0.46,0.09,,0.04,,,,0.03,,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-5,freyja_v1.4.3
7,,0.12,,0.08,,,,,,,0.32,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-7,freyja_v1.4.3
9,0.21,0.11,,0.07,,,,0.04,,,0.42,,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-9,freyja_v1.4.3
12,,0.3,,0.1,,,,0.05,,,0.19,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-12,freyja_v1.4.3
14,,0.18,,0.13,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-14,freyja_v1.4.3
16,,,0.04,0.06,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
18,0.64,,,0.16,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-18,freyja_v1.4.3
20,0.52,0.19,0.1,0.1,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-20,freyja_v1.4.3
