timepoint,BA.2,BA.2.75.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.1.5,BA.5.2,BA.5.2.1,BA.5.2.20,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BN.2,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.1.17,BA.1.1.1,BA.1.15,BA.2.3,BA.2.9,BA.2.12.1,BA.2.13,BA.2.56,BA.4,BA.4.1,BA.5.5,BE.1.4,BF.1,BA.4.1.2,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5.1.30,BA.5.2.58,BA.5.2.6,BA.5.9,BM.1.1.3,BN.1,BR.3,BA.5.2.26,BA.5.2.3,B.1.1.529,BA.5.3,BA.2.36,BA.5.1.2,BA.5.2.27,BM.1.1,BF.11,BF.7.6,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.5,CH.1.1,XBB.1,XBB.2,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.9,BN.1.2,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,XBB,XBF,BF.12,BA.5.1.3,BL.1,CM.5,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BQ.1.1.23,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.19,0.16,0.11,0.16,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex17_01_realTimecourse_simul-1,2021-12-29,1491.0691234993144,1745.093535985554,92.63953449486674,60
3,0.15,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.22,0.22,0.08,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-3,simulation,Ex17_01_realTimecourse_simul-3,2022-01-12,1498.6050897903222,1419.0132608221752,92.93381934922917,59.9999
5,0.5,,,,,,,,,,,,,,,,,,,0.03,0.11,0.17,0.03,,,0.01,0.02,,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex17_01_realTimecourse_simul-5,2022-01-26,1492.4166137176871,1778.4806215729457,88.63659164632311,59.9999
7,0.52,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.03,,,0.02,0.02,0.01,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex17_01_realTimecourse_simul-7,2022-02-09,1492.0179580644083,1644.999770550922,91.44233020098318,59.9999
9,0.29,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.06,0.02,,0.01,0.05,0.01,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex17_01_realTimecourse_simul-9,2022-02-23,1447.0045480386584,1552.038651031415,87.58318563354848,59.9999
12,0.4,,,,,,,,,,,,,,,,,,,,0.02,0.19,,,,,0.02,,,0.33,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex17_01_realTimecourse_simul-12,2022-03-16,1478.1341336989599,1638.302507407754,91.34200581881416,59.9999
14,0.64,,,,,,,,,,,,,,,,,,,,,0.14,,,,,0.01,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex17_01_realTimecourse_simul-14,2022-03-30,1501.128448650637,1501.5472655265582,87.26549175667994,59.9999
16,0.67,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.01,,0.03,0.21,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex17_01_realTimecourse_simul-16,2022-04-13,1489.9496037186905,2018.424960064614,85.92448918168746,59.9999
18,0.64,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.01,0.22,0.02,,,,,,,,0.08,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex17_01_realTimecourse_simul-18,2022-04-27,1492.0055847239407,1626.1104753296959,86.21542988997759,59.9999
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.19,0.11,,0.01,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex17_01_realTimecourse_simul-20,2022-05-11,1488.8648630572184,1730.1892817461446,86.60335083436445,59.9999
23,0.48,,,0.07,0.01,,,,0.03,,0.01,0.02,,,,,,,,,,,,,,,,,,0.14,0.15,,0.03,0.02,,,0.01,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-23,simulation,Ex17_01_realTimecourse_simul-23,2022-06-01,1488.7530013710998,1531.0446726233017,90.40898906464234,59.9999
25,0.2,,0.03,0.17,0.03,,,0.05,0.05,,0.02,0.13,,,,,,,,,,,,,,,,,,0.06,0.04,,0.05,0.04,0.04,,0.02,0.03,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-25,simulation,Ex17_01_realTimecourse_simul-25,2022-06-15,1502.7655084774103,1531.1886070597095,88.17844363441795,59.9999
27,0.03,,0.11,0.23,0.01,,,0.06,0.08,,0.04,0.13,,0.06,,,,,,,,,,,,,,,,,0.06,,0.03,0.02,0.02,0.02,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,simul-27,simulation,Ex17_01_realTimecourse_simul-27,2022-06-29,1504.1770725345284,1606.1626644361036,89.64986790623014,59.9999
29,0.01,,0.28,0.17,0.01,0.01,,0.07,0.08,,0.01,0.09,,0.08,0.01,,,,,,,,,,,,,,,,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex17_01_realTimecourse_simul-29,2022-07-13,1500.2499749189044,1621.855862888315,88.96431796140855,59.9999
