timepoint,BA.2.16,BA.2.12.1,BA.2.11,BA.2.23,BA.5.1.3,BA.5.1,BE.1,BA.4,BA.2.36,BA.5.2.1,BF.4,B.1,BA.5.2,BA.2,BA.5,BE.1.1,BF.14,BA.5.3,BF.7,BA.5.1.23,BF.12,BA.2.3.20,BN.1,BA.5.5,BM.1.1.3,BA.5.9,CR.1,BL.1,BF.3,BN.1.3,BF.32,BF.11,BA.2.75.5,BA.5.2.57,BA.5.11,BA.5.2.6,BF.1,BA.1.1,BA.1.17.2,BA.1.1.1,BA.2.56,BA.2.3.10,BA.1.13,BA.1,B.1.76,BA.1.18,BA.4.6,BM.1,BA.5.2.52,BF.7.1,BA.2.75.1,BA.5.2.20,BF.2,BA.5.2.26,BQ.1.1,BQ.1,XBB.1,BQ.1.3.2,BQ.1.2.1,BF.7.6,BF.7.4,BQ.1.31,BQ.1.1.46,BA.2.9,XAA,B.1.617.2,BA.1.17,AY.43,AY.106,BA.2.3,BA.2.3.21,BN.1.3.1,BN.1.3.3,XBB,XBB.2,BN.1.2,BN.1.9,BQ.1.22,XBP,XAJ,BQ.1.24,CT.1,XBB.4,BF.17,XAS,BA.4.1.2,BA.2.12,BA.4.1,BE.1.4,AY.79,BF.6,BF.39,BF.5,BA.5.2.2,BA.5.2.3,BE.1.1.2,BA.4.8,BA.5.1.28,XZ,BA.2.75.6,XM,BA.2.75.2,CM.11,BA.2.37,BA.5.2.58,BE.1.2,ED.2,CH.1.1,BQ.1.10,BF.7.19,XBF.5,BQ.1.1.3,BF.11.3,BA.2.3.6,BQ.1.1.5,XBU,BQ.1.1.2,BA.5.2.36,others,sample_name,tool_name
1,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.11,,,,0.2,,,0.17,,,,,,,,,,,,,,,,,,,,0.18,0.07,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-1,freyja_v1.4.3
3,,,0.11,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.07,,,,0.22,0.01,,0.02,,,,,,,,,,,,,,,,,,,,0.17,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-3,freyja_v1.4.3
5,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.03,0.01,0.25,,,,,0.1,,,,,,,,,,,,,,,,,,0.07,,0.03,0.01,,,0.22,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-5,freyja_v1.4.3
7,0.51,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.03,0.02,0.08,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-7,freyja_v1.4.3
9,0.28,,,0.04,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.08,0.07,0.04,0.04,0.03,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-9,freyja_v1.4.3
12,,,,0.09,,,,,,,,0.06,,0.61,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-12,freyja_v1.4.3
14,0.57,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-14,freyja_v1.4.3
16,0.63,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
18,0.6,,,0.12,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-18,freyja_v1.4.3
20,0.59,0.11,,0.06,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.02,freyja_v1.4.3-20,freyja_v1.4.3
23,0.49,0.15,0.1,0.06,0.04,0.04,0.04,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-23,freyja_v1.4.3
25,0.2,0.04,,0.04,0.1,0.1,0.02,0.04,,0.02,0.02,,0.05,,,0.13,,0.06,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-25,freyja_v1.4.3
27,,0.05,,0.06,,0.37,0.02,0.01,,0.09,,,0.07,,,0.15,0.06,,,,0.03,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-27,freyja_v1.4.3
29,,,,0.06,0.09,0.09,0.03,0.05,,0.05,0.05,,0.08,,0.04,0.09,0.07,0.22,,0.01,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-29,freyja_v1.4.3
31,,,,0.05,,0.22,0.03,,,0.05,,,0.12,,,0.09,0.11,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.02,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.4.3-31,freyja_v1.4.3
