timepoint,BA.2.3.20,BA.5,BA.5.1,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.9,BF.11,BF.14,BF.7,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1,BE.1.1,BE.1.1.2,BE.1.4,BF.5,BM.1.1,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17,BA.1.17.2,BA.1.18,BA.2,BA.2.12.1,BA.2.56,BA.2.9,BA.4,BA.4.1,BA.5.1.22,BA.5.3,BF.1,B.1.1.529,BA.1.1.1,BF.11.3,BF.7.19,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,XBB,XBF,BQ.1.1.23,BA.2.3,BA.1.15,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.2.36,BA.5.1.5,XBB.2,BA.4.1.2,BA.2.13,BA.5.5,BN.2,BF.12,BA.1.20,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,0.19,0.16,0.09,0.11,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex17_02_realTimecourse_simul-1,2021-12-29,1478.2067351101896,1420.3919511748609,92.41547670802261,59.9999
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,0.22,0.22,,0.08,0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,simul-3,simulation,Ex17_02_realTimecourse_simul-3,2022-01-12,1478.4553054877438,1540.350468752064,94.37849045246296,59.9999
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.17,0.01,0.03,,0.5,,,0.07,,,,,,,0.02,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex17_02_realTimecourse_simul-5,2022-01-26,1502.8029963548809,1609.1015663181201,86.20539745176069,59.9999
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.03,,0.52,,,0.1,,,,,,,0.02,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex17_02_realTimecourse_simul-7,2022-02-09,1480.755877336722,1563.9171562813278,86.78727886834096,59.9999
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.01,0.06,0.02,0.29,,,0.1,,,,,,0.03,0.05,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex17_02_realTimecourse_simul-9,2022-02-23,1500.7232384710564,1447.5369686070082,88.18513192656255,59.9999
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,,,,0.4,,,0.33,,,,,,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex17_02_realTimecourse_simul-12,2022-03-16,1468.3964819583318,1643.5992636098488,89.9642176370264,59.9999
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,0.64,,,0.19,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex17_02_realTimecourse_simul-14,2022-03-30,1491.1524596194363,1565.6256182373415,90.0912951877738,59.9999
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,0.67,0.04,,0.21,,,,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex17_02_realTimecourse_simul-16,2022-04-13,1480.7694880112363,1420.8246197059557,91.6463231113935,60
18,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.64,0.02,,0.22,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,simul-18,simulation,Ex17_02_realTimecourse_simul-18,2022-04-27,1498.0290271879076,1561.065743992406,90.8303514697522,59.9998
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.11,0.01,0.19,0.03,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,simul-20,simulation,Ex17_02_realTimecourse_simul-20,2022-05-11,1478.901381132328,1685.994563411783,90.41902150285924,59.9999
23,,,0.07,,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,0.01,,,,,,,,,,,0.48,0.15,0.03,0.14,0.02,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,simul-23,simulation,Ex17_02_realTimecourse_simul-23,2022-06-01,1484.5182423168244,1666.4967298513582,92.85021569742167,59.9999
