timepoint,B.1.1.529,B.1.617.2,BA.1,BA.2,BA.2.75,BA.5,XD,others,sample_name,tool_name
1,0.65,,0.35,,,,,0.0,lollipop_v0.3.0-1,lollipop_v0.3.0
3,0.64,0.03,0.32,,,,,0.01,lollipop_v0.3.0-3,lollipop_v0.3.0
5,0.89,,0.08,0.03,,,,0.0,lollipop_v0.3.0-5,lollipop_v0.3.0
7,0.92,,0.08,,,,,0.01,lollipop_v0.3.0-7,lollipop_v0.3.0
9,0.89,,0.11,,,,,0.0,lollipop_v0.3.0-9,lollipop_v0.3.0
12,0.86,,,0.14,,,,0.0,lollipop_v0.3.0-12,lollipop_v0.3.0
14,0.92,,,0.08,,,,0.0,lollipop_v0.3.0-14,lollipop_v0.3.0
16,0.91,,,0.09,,,,0.0,lollipop_v0.3.0-16,lollipop_v0.3.0
18,0.91,,,0.09,,,,0.0,lollipop_v0.3.0-18,lollipop_v0.3.0
20,0.91,,,0.09,,,,0.0,lollipop_v0.3.0-20,lollipop_v0.3.0
23,0.87,,,0.13,,,,0.0,lollipop_v0.3.0-23,lollipop_v0.3.0
25,0.88,,,0.12,,,,0.0,lollipop_v0.3.0-25,lollipop_v0.3.0
27,0.95,,,0.04,,,,0.01,lollipop_v0.3.0-27,lollipop_v0.3.0
29,0.94,,,0.06,,,,0.0,lollipop_v0.3.0-29,lollipop_v0.3.0
31,0.92,,,0.08,,,,0.0,lollipop_v0.3.0-31,lollipop_v0.3.0
34,0.96,,,,,0.03,,0.01,lollipop_v0.3.0-34,lollipop_v0.3.0
36,0.97,,,,,0.02,0.01,0.0,lollipop_v0.3.0-36,lollipop_v0.3.0
38,0.95,,,0.04,,,,0.01,lollipop_v0.3.0-38,lollipop_v0.3.0
40,0.87,,,0.09,0.04,,,0.0,lollipop_v0.3.0-40,lollipop_v0.3.0
42,0.86,,,0.14,,,,0.0,lollipop_v0.3.0-42,lollipop_v0.3.0
45,0.89,,,0.09,0.02,,,0.0,lollipop_v0.3.0-45,lollipop_v0.3.0
47,0.86,,,0.14,,,,0.0,lollipop_v0.3.0-47,lollipop_v0.3.0
49,0.93,,,0.07,,,,0.0,lollipop_v0.3.0-49,lollipop_v0.3.0
51,0.9,,,0.07,0.04,,,0.0,lollipop_v0.3.0-51,lollipop_v0.3.0
