timepoint,BA.1.1,BA.2.16,BA.2.56,BA.1.17.2,BA.1.1.1,B.1,BA.1.6,BA.2.23,BA.1.18,BA.2.3.9,BA.1.17,B.1.1.529,BA.2,BA.4.1.2,BA.2.11,BA.2.12.1,BA.5,BA.4.8,BA.5.2,BQ.1,BF.7,BF.7.1,BQ.1.1.45,BQ.1.1.31,BQ.1.1,BF.14,BQ.1.5,BF.7.5,BQ.1.2.1,XBB.1,XBB.2,XBB,BQ.1.3.2,BF.11,BN.1.3,BA.5.1,BA.5.1.3,BA.5.2.1,BF.4,BQ.1.1.3,BA.2.75,BN.4,BF.7.4,BN.1.3.4,BN.1.3.3,BA.5.3,XBU,CH.1.1,CH.1.1.3,BE.1.1,BE.1,BA.4,BF.1,BF.12,BA.5.5,BA.2.9,XV,BA.4.1,BF.6,BF.39,BE.1.4.4,BE.1.4,BQ.1.10,XBF,XBB.1.3,BQ.1.1.18,BF.7.19,BA.5.1.11,BA.5.11,BN.1.2.3,BF.7.6,BQ.1.27,BN.1,BQ.1.1.46,BA.2.3.20,BA.2.75.2,BF.5,BA.5.2.20,BA.5.9,BM.1.1.3,BA.2.75.5,BA.2.75.6,BA.5.2.57,BA.5.1.5,BA.5.1.22,BF.28,BE.1.1.2,BA.2.75.1,BF.24,BA.5.1.23,BA.5.1.28,BL.1,BA.5.2.26,BA.5.2.6,BA.1.12,B.1.617.2,XAH,BA.1,BA.1.13,BA.2.4,AY.43,BA.1.1.7,BA.1.1.11,AY.46.6,AY.106,XF,BA.2.3,BA.4.6,CR.1,CT.1,BM.4,BA.5.2.3,BN.1.3.1,XBB.1.7,XBB.4,BQ.1.14,BQ.1.1.1,XAS,BA.2.36,others,sample_name,tool_name
1,0.18,,,0.1,,,,,0.31,,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,0.05,,,,0.03,0.02,,,,,,,,,,,,,,0.0,freyja_v1.4.3-1,freyja_v1.4.3
3,0.07,,,0.09,,0.02,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.22,0.13,0.08,0.07,0.07,0.02,0.01,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-3,freyja_v1.4.3
5,0.14,0.46,0.02,0.03,0.02,,,0.05,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-5,freyja_v1.4.3
7,0.27,,0.47,0.03,0.02,,,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-7,freyja_v1.4.3
9,0.39,0.26,0.08,0.06,0.04,0.04,0.03,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-9,freyja_v1.4.3
12,0.23,,,,,0.05,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,0.01,freyja_v1.4.3-12,freyja_v1.4.3
14,0.14,0.53,,,0.01,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,freyja_v1.4.3-14,freyja_v1.4.3
16,0.05,0.63,,,,,,0.07,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-16,freyja_v1.4.3
18,,0.63,,,,,,0.13,,,,,0.03,0.08,0.05,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-18,freyja_v1.4.3
20,,0.51,,,,,,0.15,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-20,freyja_v1.4.3
