timepoint,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.2,BA.5.2.1,BA.5.5,BE.1,BE.1.1,BE.1.4,BF.1,BF.12,BF.14,BA.2.36,BA.5.3,B.1.1.529,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.1.18,BA.4.6,BA.5.2.20,BA.5.2.26,BA.5.2.3,BE.1.1.2,BF.5,BF.7,BA.2.3.20,BA.5.9,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.75.1,BA.5.1.23,BA.5.1.5,BN.2,BA.5.1.2,BA.5.2.27,BM.1.1,B.1.617.2,BQ.1.1.23,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.2.13,BF.11,BN.1.3.1,AY.43,AY.46.6,BA.1.20,BA.5.1.10,BF.7.22,BF.7.24,BQ.1.2.1,BQ.1.3.2,XBB.2,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,,simul-1,simulation,Ex17_03_realTimecourse_simul-1,2021-12-29,1497.1154399224158,1430.1662669483671,89.97425007524329,59.9999
3,0.15,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,0.08,0.03,0.02,,,,,,,,,simul-3,simulation,Ex17_03_realTimecourse_simul-3,2022-01-12,1462.564525298465,1463.3430070374307,90.7701568404508,59.9999
5,0.5,,0.05,,0.07,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex17_03_realTimecourse_simul-5,2022-01-26,1486.517071865699,1628.0409497488345,87.28555663311374,60
7,0.52,,0.02,,0.1,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex17_03_realTimecourse_simul-7,2022-02-09,1495.0073236798983,1737.9613175253655,89.76691301876066,59.9999
9,0.29,,0.02,,0.1,,,,,,,,,,,,,,,,,,0.03,0.09,0.33,0.05,0.01,0.01,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex17_03_realTimecourse_simul-9,2022-02-23,1491.9424472460958,1763.4465889408382,88.97769454569776,59.9999
12,0.4,,,,0.33,,,,,,,,,,,,,,,,,,0.05,0.02,0.19,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex17_03_realTimecourse_simul-12,2022-03-16,1501.279737818948,1578.7784849945642,87.53636758853627,59.9999
14,0.64,,0.02,,0.19,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex17_03_realTimecourse_simul-14,2022-03-30,1489.346620740394,1492.1719677262436,88.96431796140855,59.9999
16,0.67,0.04,0.03,,0.21,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex17_03_realTimecourse_simul-16,2022-04-13,1500.784135371033,1696.6071147870834,86.87088252014848,59.9998
18,0.64,0.02,0.01,,0.22,,0.08,,,0.01,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex17_03_realTimecourse_simul-18,2022-04-27,1482.3497307962411,1594.2300621159718,90.0411329966893,59.9999
20,0.61,0.11,0.03,0.01,0.19,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex17_03_realTimecourse_simul-20,2022-05-11,1496.967026719727,1691.0115715623574,92.82680667491556,60
