timepoint,BA.5.9,BA.4,BA.5.1.4,BE.1.1,BA.2.19,XAR,BA.2.28,BM.2.1,BF.7.17,BQ.1.33,BN.1.1,BN.1.2.4,DL.1,BQ.1.1.26,BA.5.1.28,BQ.1.1.21,CP.3,BM.5,CU.1,BN.1.2.1,BQ.1.3.1,BQ.1.19,BR.3,BE.11,BA.5.6.4,BF.11.4,BQ.1.2.1,BA.5.2.53,BA.5.2.52,BF.13,BA.2.9.7,BA.5.1.22,BF.23,BA.2.13.1,BA.5.3,BA.5.2.1,BA.2.60,BA.5.1.23,BA.4.1.1,BA.2.3.6,BA.4.1.2,BA.2.20,BA.2.12.1,BF.1,BA.2.3.10,BA.1.1.4,BA.2.9.1,BA.2.3.15,BA.2.8,BA.2.39,BA.2.16,BF.17,BA.5.1.3,BA.5.1.8,BA.5.7,BF.14,BF.29,GA.2,BQ.1.25.1,BQ.1.27,CN.2,FC.1,BQ.1.1.38,BF.41.1,BA.5.1.5,BA.5.2.34,BA.5.2.44,BF.26,BF.24,BA.5.1.11,BE.1.4.4,BF.20,BA.5.1.25,BA.5.1.16,XAG,BQ.1.1.47,BN.1.3.3,BF.7.13.1,BA.5.2.59,BD.1,XAL,BA.2.10.3,BA.1.17.2,BA.1,BA.1.20,BA.1.18,BA.5.2.28,BA.1.17,BA.1.16,BA.1.1.15,BA.2.57,BA.2.53,BA.2.9.4,BA.1.1.18,BA.1.1,XAB,BA.1.10,BA.2.18,BA.2.2.1,BA.2.47,BA.1.13,BA.1.1.13,BA.1.1.1,BA.1.1.14,BA.1.22,BA.1.16.1,BA.1.15,BA.1.6,XBB.2.3.5,BA.2.40,BA.5.2.19,XM,BQ.1.26.2,CM.7,BR.5,BN.1.4.4,CM.1,BG.5,BA.2.12.2,BA.2.40.1,BA.2.17,BA.2.23.1,BA.2.9.2,BA.2.9,FN.1,XBS,BF.12,AY.94,BA.1.17.1,BA.1.9,BA.1.15.1,B.1.36.8,AY.43.9,BA.5.1.30,BN.6,BF.7.22,BA.5.1.29,BF.4,BA.5.1.17,BF.7.5,B.1.525,XBB.2.7.1,BF.7.6,BF.5.5,BF.39,BA.5.1.15,BF.36,BA.5.2.41,BQ.1.1.10,BQ.1.3,BE.4.1.1,BF.7.24,BF.18,FM.1,BE.1.1.2,XBB.9,BQ.1.1.72,BQ.1.1.15,BQ.1.5,BF.7.13,FR.1,BA.2.52,BA.2.36,BC.2,B.1.596.1,BA.2.9.3,BQ.1.1.74,BF.7.9,BA.2.74,BQ.1.1.3,CR.2,XV,AY.11,B.1.1.243,GA.3,BA.2.63,BA.4.1.4,BA.2.2,BA.2.3,BA.2.5,AY.43.6,BA.4.1.5,BA.5.1.26,BA.2.11,BN.1.2.5,B.1.1.100,BQ.1.1.18,BF.7.11,BF.7.15,BF.7.19,BF.7.4,XBB.3.2,DS.3,DB.1,FZ.1,BA.2.24,BA.2.25.1,M.2,CM.5,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.05,0.05,0.01,0.19,,0.07,0.01,0.02,,,,0.03,0.02,,0.01,,,,0.13,,,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,vlq_vd04ad36-1,vlq_vd04ad36
12,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.04,,,0.03,,0.01,,0.01,,,0.01,,0.01,,,,,0.02,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,0.02,0.01,,,,,,,0.02,,0.02,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.01,0.02,0.02,,,,,,,,,,,,,,,,,,,,0.6,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,0.01,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.03,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,0.03,0.09,0.01,,0.56,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,0.02,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,0.01,0.01,0.02,,0.02,,0.02,,,,0.04,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,0.57,vlq_vd04ad36-20,vlq_vd04ad36
23,,0.02,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.01,,,,,,,,,,,0.01,,,,,,,0.02,,0.03,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,vlq_vd04ad36-23,vlq_vd04ad36
25,,0.02,,0.06,,,0.01,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.03,0.04,,0.01,,0.01,,,,,,,,,,0.01,,0.02,,0.02,,,,0.01,0.02,,,0.01,,,,,,,,,,0.01,0.01,0.04,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,0.02,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,0.03,0.01,,0.01,,,,,,,,,0.02,,,,,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,,0.03,,0.02,0.04,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.05,,,,,,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.58,vlq_vd04ad36-27,vlq_vd04ad36
29,,,0.01,0.02,,,,,,,,0.05,,,,,,,,,,,,,0.01,,,,,,,0.04,0.02,,0.02,,,,,,,,,0.03,,,,,,,,,0.02,,,0.11,,,,,,0.01,,,,,,,0.01,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,vlq_vd04ad36-29,vlq_vd04ad36
3,,,,,,,,,,,0.01,,,,,,,,,0.04,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.02,0.06,0.03,0.04,,0.02,,0.02,,,,,0.03,,,,0.13,,,,,,0.07,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,0.37,vlq_vd04ad36-3,vlq_vd04ad36
31,,,,,,,0.02,,,,,,,,,,,,0.02,,0.11,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.15,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.58,vlq_vd04ad36-31,vlq_vd04ad36
34,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.02,0.01,0.01,,,0.01,0.04,,,0.01,0.02,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-34,vlq_vd04ad36
36,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.01,,,,,0.03,,,0.01,,0.01,,,,,,,,,,,,,,0.02,0.01,0.01,,0.16,0.02,,0.01,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.02,,,0.01,,0.01,,,,,,0.02,,0.01,,,,,,,,,,,,0.03,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,vlq_vd04ad36-36,vlq_vd04ad36
38,0.02,,,,,,,,,,,,,,,,0.01,0.01,,,,,,0.01,,,,0.01,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,,0.13,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,vlq_vd04ad36-38,vlq_vd04ad36
40,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,0.02,,,,0.01,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,,,,,0.03,0.01,,0.01,0.03,0.02,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-40,vlq_vd04ad36
42,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,0.01,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.64,vlq_vd04ad36-42,vlq_vd04ad36
45,0.01,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,0.07,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,0.66,vlq_vd04ad36-45,vlq_vd04ad36
47,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,0.05,,,0.01,,,,,0.01,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.7,vlq_vd04ad36-47,vlq_vd04ad36
