timepoint,BA.5,BE.1.1,BF.14,BA.5.2,BA.5.1.3,BA.5.1.17,BA.5.1,BA.2.23,BF.1,BA.4,BA.5.2.1,BF.4,BF.18,BA.4.1,BA.5.1.23,XAS,BF.5,BA.2,BE.1,BA.2.29,BA.1.1,BA.1,XQ,B.1,BA.2.3.13,BA.1.1.1,BA.2.3,XAP,XV,B.1.1.529,BA.2.16,BA.2.12.1,BA.2.9,BA.2.12,BA.2.73,BA.5.3,B.1.617.2,BA.1.18,BA.1.17.2,BA.1.17,AY.43,AY.46.6,BA.3,BA.2.75.5,BA.2.3.20,BY.1.1,BN.1,BA.2.3.9,BM.1.1.3,BF.7,BF.7.1,BA.5.2.6,CM.11,BA.5.11,BA.5.2.20,BA.5.9,BN.4,BF.6,BF.39,BA.5.2.26,BA.5.3.1,BA.4.6,BA.5.2.52,BA.2.75.1,BL.1,BF.23,BA.4.8,BE.1.1.1,BQ.1.1.45,BQ.1.1.44,BQ.1.1.26,BQ.1.1,BQ.1.1.31,BQ.1.24,BN.1.3,FB.1,XBB,XBB.1,XBB.2,BF.11,BQ.1.3,BA.5.1.12,BM.4,BF.7.24,BA.2.10,BA.5.2.3,BE.1.1.2,XAH,BA.2.87,XAG,BA.2.3.14,BA.1.1.7,BA.1.1.11,XAJ,BF.12,BA.5.5,BA.4.1.2,BA.2.3.6,BQ.1,XBF,BQ.1.1.3,BQ.1.10,BM.4.1.1,BQ.1.5,BQ.1.1.18,BF.7.4,BF.7.19,BN.1.3.4,BN.1.9,BA.2.75,BA.5.1.28,BQ.1.33,BQ.1.31,BA.2.76,BN.1.3.1,BN.1.3.3,BQ.1.1.5,BN.1.2,BQ.1.1.46,BF.7.6,BQ.1.22,BF.17,BF.32,BA.5.2.27,BA.5.2.36,BQ.1.1.25,BA.2.56,BA.1.9,BA.5.1.5,BN.2,BA.2.63,BE.1.2,BA.5.2.54,BA.2.75.4,others,sample_name,tool_name
1,,,,,,,,,,,,,,,,,,,,,0.1,0.27,,,,,,,,,0.02,,,,,,0.16,0.16,0.11,0.07,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-1,freyja_v1.5.3
3,,,,,,,,,,,,,,,,,,0.13,,,0.06,0.27,,,,,,0.01,,0.01,,,,,,,0.18,0.03,0.07,,0.08,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-3,freyja_v1.5.3
5,,,,,,,,0.03,,,,,,,,,,,,0.48,0.17,0.13,0.04,0.03,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-5,freyja_v1.5.3
7,,,,,,,,0.03,,,,,,,,,,,,,0.25,0.02,,,,0.02,,0.03,0.01,0.01,,,0.11,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-7,freyja_v1.5.3
9,,,,,,,,0.07,,,,,,,,,,0.2,,,0.44,,,0.04,,0.05,,,,,,,0.09,,,,,0.01,0.04,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-9,freyja_v1.5.3
12,,,,,,,,0.06,,,,,,,,,,,,,0.21,,,0.06,,0.02,0.27,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-12,freyja_v1.5.3
14,,,,,,,,0.08,,,,,,,,,,,,,0.14,,,,,0.01,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.56,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-14,freyja_v1.5.3
16,,,,,,,,0.15,,,,,,,,,,,,,,0.04,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.02,,,,,,,0.01,freyja_v1.5.3-16,freyja_v1.5.3
18,0.02,,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-18,freyja_v1.5.3
20,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,0.63,0.11,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,0.03,freyja_v1.5.3-20,freyja_v1.5.3
23,0.02,0.02,,,0.04,,0.04,0.11,,0.02,0.02,0.02,,,,,,0.01,0.02,,,,,,,,,,,,0.37,0.14,0.12,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-23,freyja_v1.5.3
25,0.04,0.12,,0.04,,,0.2,0.03,0.03,0.04,0.05,,,0.04,,,,,0.03,,,,,,,,,,,,,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-25,freyja_v1.5.3
27,0.08,0.16,0.05,0.1,0.12,,0.12,0.05,0.04,0.01,0.02,0.02,,0.02,,,,,0.03,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-27,freyja_v1.5.3
29,0.25,0.11,0.08,0.08,0.07,0.07,0.07,0.06,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-29,freyja_v1.5.3
31,0.03,0.1,0.13,0.11,0.12,,0.12,0.05,,,0.07,0.07,,,,,0.02,,0.02,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.5.3-31,freyja_v1.5.3
34,0.03,0.1,0.1,0.19,0.11,,0.11,0.01,,,0.09,0.09,,,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.03,0.01,,,,,0.01,freyja_v1.5.3-34,freyja_v1.5.3
36,,0.05,0.1,0.27,0.11,,0.11,,,,0.09,0.09,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-36,freyja_v1.5.3
38,,0.03,0.12,0.25,0.09,,0.09,,,,0.03,0.03,,,0.01,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,0.02,0.03,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-38,freyja_v1.5.3
40,0.04,0.02,0.03,0.23,0.09,,0.09,,,,0.05,0.05,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-40,freyja_v1.5.3
42,0.06,,0.05,0.19,0.05,,0.05,,,0.02,0.05,0.05,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.14,,0.06,,0.03,0.01,0.01,0.02,,,,0.02,0.01,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.01,0.02,freyja_v1.5.3-42,freyja_v1.5.3
45,,,0.08,0.11,,,0.12,,,,0.06,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.1,,,,0.02,0.03,0.04,,,,,,,,,,,0.01,,,,,0.05,,,0.06,,0.06,,,0.01,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,0.02,0.02,0.01,,,,,,,,,0.03,freyja_v1.5.3-45,freyja_v1.5.3
47,0.03,,0.03,0.14,0.02,,0.02,0.02,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,0.04,0.04,,0.02,,0.02,0.07,,,,,,,,,,,,0.01,,,,,,0.02,0.02,,0.04,0.04,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,0.01,freyja_v1.5.3-47,freyja_v1.5.3
49,,,0.05,0.12,0.01,,0.01,,,,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,0.01,,,0.07,0.07,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-49,freyja_v1.5.3
51,0.05,,0.03,0.05,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,0.01,,,,,,,,,,,,,,0.02,,,,0.28,,,0.02,,,0.04,,0.02,,,,,,,,,,,,,,,,,,,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-51,freyja_v1.5.3
