timepoint,BA.2,BA.2.3.20,BA.2.75.5,BA.4.6,BA.5,BA.5.1,BA.5.1.3,BA.5.2,BA.5.2.1,BA.5.2.27,BA.5.2.58,BA.5.2.6,BA.5.9,BE.1.1,BF.14,BF.5,BF.7,BL.1,BM.1.1.3,BN.1,BN.1.3,BR.3,CM.5,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.3,BA.2.9,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3.3,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.5.1.10,BF.7.22,BF.7.24,BN.1.3.1,BQ.1.2.1,BQ.1.3.2,B.1.1.529,BA.1.18,BA.2.12.1,BA.2.56,BA.4,BA.4.1,BA.5.1.22,BA.5.5,BE.1,BE.1.4,BF.1,BF.12,BA.5.2.20,BF.11,BA.2.75.1,BA.5.1.23,BA.5.1.5,BE.1.1.2,BN.2,BA.5.2.26,BA.5.2.3,AY.43,AY.46.6,B.1.617.2,BA.2.36,BA.5.3,BQ.1.1.23,BA.1.20,BA.5.1.2,BM.1.1,BA.4.1.2,XBB.2,BA.2.75.2,BA.5.1.30,BA.2.13,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.03,,,,,,,,,,,,,,,,,,,,,,,0.19,0.16,,,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.18,,,,,,,,,,,,simul-1,simulation,Ex18_01_realTimecourse_simul-1,2021-12-29,1497.1980403304017,1565.32115394973,83.08865331237668,59.9999
3,0.15,,,,,,,,,,,,,,,,,,,,,,,0.22,0.22,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.08,0.03,0.17,,,,0.02,,,,,,,,simul-3,simulation,Ex18_01_realTimecourse_simul-3,2022-01-12,1489.214292880313,1811.3405884047784,82.80105675015885,59.9999
5,0.5,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.02,,0.01,0.03,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,simul-5,simulation,Ex18_01_realTimecourse_simul-5,2022-01-26,1497.4855031267766,1682.1840051565073,87.24877102631842,59.9999
7,0.52,,,,,,,,,,,,,,,,,,,,,,,0.06,0.23,0.02,0.01,0.02,0.03,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex18_01_realTimecourse_simul-7,2022-02-09,1504.1990101327626,1699.3258120778262,85.20884192221516,59.9999
9,0.29,,,,,,,,,,,,,,,,,,,,,,,0.09,0.33,0.05,0.01,0.01,0.06,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex18_01_realTimecourse_simul-9,2022-02-23,1478.0486238838912,1774.8030968956377,84.59017489883958,59.9999
12,0.4,,,,,,,,,,,,,,,,,,,,,,,0.02,0.19,0.02,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex18_01_realTimecourse_simul-12,2022-03-16,1495.8037655084775,1666.4340946312825,82.36297361468749,59.9999
14,0.64,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.01,,,,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex18_01_realTimecourse_simul-14,2022-03-30,1485.204996154232,1849.0301257972328,84.42965588736917,59.9998
16,0.67,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex18_01_realTimecourse_simul-16,2022-04-13,1488.5568672039594,1960.8677880836078,80.82801056750158,59.9998
18,0.64,,,,,0.01,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.08,,,,,simul-18,simulation,Ex18_01_realTimecourse_simul-18,2022-04-27,1494.7202287395914,2059.9876856541987,82.08875363675885,59.9999
20,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,simul-20,simulation,Ex18_01_realTimecourse_simul-20,2022-05-11,1491.6155569675284,1919.602013331778,83.83774203257198,59.9998
23,0.48,,,,,0.07,,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.03,0.02,,0.01,,0.01,0.01,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,simul-23,simulation,Ex18_01_realTimecourse_simul-23,2022-06-01,1497.3404340701602,1742.3265078150055,84.40959101093536,59.9999
25,0.2,,,,0.03,0.17,,0.05,0.05,,,,,0.13,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.05,0.04,0.04,0.03,,0.02,0.02,0.03,,,,,,,,,,,,,,,0.02,,,,,,,,,,simul-25,simulation,Ex18_01_realTimecourse_simul-25,2022-06-15,1502.564659064308,1943.8729135011918,87.62331538641608,59.9998
27,0.03,,,,0.11,0.23,,0.06,0.08,,,,,0.13,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.03,0.02,0.02,0.01,0.02,0.04,0.01,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,simul-27,simulation,Ex18_01_realTimecourse_simul-27,2022-06-29,1499.0906598000201,1736.4675876825568,80.32973280272883,59.9999
29,0.01,,,,0.28,0.17,,0.07,0.08,,,,,0.09,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.04,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,simul-29,simulation,Ex18_01_realTimecourse_simul-29,2022-07-13,1507.277798214226,1970.7220505403418,83.58024278500484,59.9999
31,0.06,,,,0.03,0.22,,0.13,0.13,,,,,0.1,0.14,0.02,0.02,,,,,,,,0.02,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,0.01,,0.02,,,,,,0.02,0.01,,0.02,,,,,,,,,0.01,,,,,,,,,simul-31,simulation,Ex18_01_realTimecourse_simul-31,2022-07-27,1506.0172892351939,1805.6640817172115,79.87827308296826,59.9999
34,0.02,,,,0.07,0.2,,0.19,0.14,,,,,0.08,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,0.01,,0.02,0.01,0.03,0.01,0.01,,,,,,,,,,,,,,,,,simul-34,simulation,Ex18_01_realTimecourse_simul-34,2022-08-17,1501.028124268468,1912.15697261464,85.38273751797479,59.9999
