timepoint,AY.4,B.1.617.2,BA.1,BA.2,BA.2.12.1,BA.2.9,BA.4,BA.5,BA.5.1,BA.5.2.1,BF.14,BF.7,BN.1,BQ.1,others,sample_name,tool_name
1,,,0.72,,,,,,,,,,,,0.28,vaquero_v24d9211-1,vaquero_v24d9211
3,0.13,0.18,0.64,,,,,,,,,,,,0.05,vaquero_v24d9211-3,vaquero_v24d9211
5,,,0.65,,,,,,,,,,,,0.35,vaquero_v24d9211-5,vaquero_v24d9211
7,,,0.36,0.51,,0.11,,,,,,,,,0.02,vaquero_v24d9211-7,vaquero_v24d9211
9,,,0.57,0.4,,,,,,,,,,,0.03,vaquero_v24d9211-9,vaquero_v24d9211
12,,,0.25,0.35,,0.34,,,,,,,,,0.07,vaquero_v24d9211-12,vaquero_v24d9211
14,,,0.16,0.64,,0.18,,,,,,,,,0.02,vaquero_v24d9211-14,vaquero_v24d9211
20,,,,0.49,0.13,0.22,0.14,,,,,,,,0.02,vaquero_v24d9211-20,vaquero_v24d9211
23,,,,0.62,0.15,,,0.06,,0.17,,,,,0.0,vaquero_v24d9211-23,vaquero_v24d9211
25,,,,,,,0.24,0.27,0.2,0.14,,,,0.14,0.0,vaquero_v24d9211-25,vaquero_v24d9211
27,,,,,,,,0.25,0.32,0.25,,,,0.18,0.0,vaquero_v24d9211-27,vaquero_v24d9211
29,,,,,,,,0.47,0.2,0.14,0.11,,,0.07,0.0,vaquero_v24d9211-29,vaquero_v24d9211
31,,,0.3,,,,,,0.21,0.18,0.16,,,0.15,0.0,vaquero_v24d9211-31,vaquero_v24d9211
34,,,,,,,,0.15,0.34,0.36,0.13,,,,0.01,vaquero_v24d9211-34,vaquero_v24d9211
36,,,,,,,,0.08,0.32,0.44,0.15,,,,0.02,vaquero_v24d9211-36,vaquero_v24d9211
38,,,,,,,,0.18,0.27,0.37,0.15,,,,0.02,vaquero_v24d9211-38,vaquero_v24d9211
40,,,,,,,,0.33,0.25,0.4,,,,,0.01,vaquero_v24d9211-40,vaquero_v24d9211
42,,,,,,,,0.42,0.19,0.38,,,,,0.01,vaquero_v24d9211-42,vaquero_v24d9211
45,,,,,,,,0.24,0.15,0.21,0.12,0.16,,0.11,0.0,vaquero_v24d9211-45,vaquero_v24d9211
47,,,,0.05,,,,0.2,,0.18,,0.2,0.2,0.16,0.0,vaquero_v24d9211-47,vaquero_v24d9211
49,,,,,,,,0.29,,0.37,,,,0.33,0.0,vaquero_v24d9211-49,vaquero_v24d9211
51,,,,,,,,0.25,,0.05,,0.28,,0.42,0.0,vaquero_v24d9211-51,vaquero_v24d9211
