timepoint,BA.1.1,BA.2,BA.2.75.1,BA.2.9,BA.4.1,BA.5,BA.5.1,BA.5.1.22,BA.5.1.23,BA.5.2,BA.5.2.1,BE.1,BE.1.1,BE.1.1.2,BF.14,BF.5,BF.7,BQ.1,BQ.1.1.23,XBF,BA.2.12.1,BA.2.56,BA.4,BA.5.5,BE.1.4,BF.1,BF.12,B.1.617.2,BA.1,BA.1.1.1,BA.1.17,BA.1.17.2,BA.2.3,AY.43,AY.46.6,BA.1.18,BA.4.1.2,B.1.1.529,BA.4.6,BA.5.1.2,BA.5.2.20,BA.5.2.26,BA.5.2.27,BA.5.2.3,BA.5.9,BM.1.1,BA.5.3,BA.1.15,BA.2.13,BA.2.3.20,BA.2.75.2,BA.2.75.5,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BF.11.3,BF.7.19,BF.7.4,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.3,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.1.7,BQ.1.10,BQ.1.5,CH.1.1,XBB,XBB.1,BA.5.1.10,BF.7.22,BF.7.24,BN.1.3.1,BQ.1.2.1,BQ.1.3.2,BF.11,BA.1.20,BA.5.1.3,BL.1,CM.5,XBB.2,BA.2.36,BN.2,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
1,0.16,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.19,,0.09,0.11,,0.05,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-1,simulation,Ex18_02_realTimecourse_simul-1,2021-12-29,1497.9882286058255,1582.2070539353745,86.3792930475203,60
3,0.22,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.22,,,0.08,,0.08,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,simul-3,simulation,Ex18_02_realTimecourse_simul-3,2022-01-12,1501.2446911681102,1726.1259035076323,88.14834631976724,59.9999
5,0.17,0.5,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.11,0.02,0.01,0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-5,simulation,Ex18_02_realTimecourse_simul-5,2022-01-26,1500.3952446242852,1891.4250886962316,84.50322710095976,59.9999
7,0.23,0.52,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,0.02,0.03,0.02,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-7,simulation,Ex18_02_realTimecourse_simul-7,2022-02-09,1497.9725111192856,1716.6519129285737,86.2020533056884,59.9999
9,0.33,0.29,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.05,0.01,0.06,0.02,,,0.02,,0.03,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-9,simulation,Ex18_02_realTimecourse_simul-9,2022-02-23,1499.5972644885128,1862.3511852198287,80.27622646557202,60
12,0.19,0.4,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-12,simulation,Ex18_02_realTimecourse_simul-12,2022-03-16,1472.5646925057686,1735.7460618703185,86.14854696853158,60
14,0.14,0.64,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-14,simulation,Ex18_02_realTimecourse_simul-14,2022-03-30,1500.902217168846,1880.4081657388572,80.62736180316357,59.9999
16,0.04,0.67,,0.21,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-16,simulation,Ex18_02_realTimecourse_simul-16,2022-04-13,1499.5499782630504,1769.5834993736098,82.02521486138514,59.9999
18,0.01,0.64,,0.22,,,0.01,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,0.08,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-18,simulation,Ex18_02_realTimecourse_simul-18,2022-04-27,1488.3354178510517,1627.751599129598,84.24238370732033,59.9999
20,,0.61,,0.19,,,,,,,,,,,,,,,,,0.11,0.01,0.03,,,,,,,,,,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-20,simulation,Ex18_02_realTimecourse_simul-20,2022-05-11,1466.9626793298332,1991.8193994546327,84.30926662876634,59.9999
