timepoint,BA.5.9,BF.21,BA.2.80,XAG,BA.4.1.5,XAR,B.1.1.529,BA.2.28,BW.1.1.1,DM.1,CU.1,BF.7.13.1,BR.3,BF.7.9,BA.5.2.59,BA.5.1.18,BA.5.6.1,BA.2.9.7,XZ,BF.23,BA.2.13.1,BD.1,BA.2.60,BA.2.73,BA.2.3.6,BA.2.20,BA.2.12.1,BA.1.17.2,BA.2.54,BA.1,BA.1.20,BA.1.18,BA.1.17,BA.1.16,BA.1.1.15,BA.2.9.4,BA.1.1.18,BA.1.1,BA.1.1.4,BA.2.67,BA.2.62,XAB,BA.1.15.3,BA.1.10,XP,BA.2.3.5,BA.1.1.17,XV,BA.2.8,BA.2.9,BA.1.1.13,BA.1.1.1,BA.1.1.14,BA.1.22,BA.1.14,BQ.1.27,CH.1.1.9,CM.5.1,BA.2.38.2,BA.2.32,BF.24,BA.2.40,BA.5.1.25,BA.2.19,BU.2,BF.7.17,BQ.1.33,DL.1,BQ.1.13.1,BQ.1.1.47,CT.1,BQ.1.1.21,CP.3,BM.5,BR.1.2,BA.5.6.4,BQ.1.2.1,BF.16,BA.5.2.32,BA.2.38.4,BL.4,BG.4,XU,BA.5.3,BA.4.1.1,BA.2.10.3,BA.2.57,BA.2.3.10,BA.4.1,BA.2.9.1,BA.2.9.2,BA.2.12,BA.2.16,B.1.637.1,BA.5.1.3,BA.5.1.31,BA.5.1.8,BF.14,BK.1,B.1.160.17,BY.1.1,CN.2,XBT,CH.1.1.7,BQ.1.1.38,CM.6.1,BA.5.1.33,BF.26,BA.5.2.19,BE.1.4.4,BF.20,BA.2.79,BA.5.1.1,BA.5.1.16,BE.1.1,CQ.2,BQ.1.1.26,BA.5.1.28,BQ.1.31,BQ.1.1.10,BA.5.2.39,BF.11.5,BF.4,BA.5.3.1,BA.5.2.28,BF.7.5,BF.18,BF.29,BQ.1.2.2,XBB.1.33,ED.1,BQ.1.1.49,BF.41.1,BA.5.1.5,CC.1,BF.9,BF.39,BF.36,BA.1.17.1,BA.2.2.1,AY.88,B.1.1.316,CM.4,XAN,BA.4.1.2,BA.2.47,EA.1,BF.5.5,CP.2,BF.1,BA.5.2.34,BA.5.1.26,BF.5.1,BF.12,BM.1.1.1,AY.98.1,BA.1.6,BC.2,XBB.1.5.58,BF.11.4,BQ.1.12,BF.7.22,BF.7.1,BA.5.1.22,BA.2.18,BQ.1.1.15,BN.1.3.1,BN.1.10,BF.7.6,CM.10,BA.4.4,BA.2.39,XM,BA.2.23.1,B.1.177.85,BN.1.8,CH.1.1.18,BQ.1.1.57,BA.2.3,BA.2.5,BQ.1.1.7,BQ.1.1.18,BQ.1.1.3,BF.7.19,EF.1.3,XBZ,BQ.1.1.27,BA.5.2.9,BQ.1.3.2,BA.2.12.2,BA.2.15,XL,others,sample_name,tool_name
1,,,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,0.05,,0.01,0.01,0.06,0.01,0.03,0.04,,0.06,0.01,,,,,,0.01,0.01,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,vlq_vd04ad36-1,vlq_vd04ad36
12,,,0.01,,,,,0.01,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,0.02,,,0.01,,0.03,0.02,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-12,vlq_vd04ad36
14,,,,0.01,,,,0.01,,,,,,,,,,,0.06,0.02,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.12,0.02,,,,,,,,,,,,,,,,0.69,vlq_vd04ad36-14,vlq_vd04ad36
16,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.15,,,,,0.01,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.03,,,,,,,,,,,,,0.62,vlq_vd04ad36-16,vlq_vd04ad36
18,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,0.02,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,0.03,,0.01,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.01,0.03,0.02,0.68,vlq_vd04ad36-18,vlq_vd04ad36
20,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.01,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,0.01,,,0.04,0.15,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.59,vlq_vd04ad36-20,vlq_vd04ad36
23,,0.01,,,,,,0.01,,,,,,,,,,,,0.01,0.02,,,,0.15,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,,0.03,,0.02,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,vlq_vd04ad36-23,vlq_vd04ad36
25,,,,,0.03,,,0.02,,,,,,,,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,,,,,0.66,vlq_vd04ad36-25,vlq_vd04ad36
27,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,0.01,0.02,,,,,,,,,,,,,,0.04,,,,,,,,,0.01,,,0.02,,,,,0.05,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.03,,,,0.02,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,vlq_vd04ad36-27,vlq_vd04ad36
29,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,0.02,,,,0.01,0.01,,,,0.01,,,0.02,0.02,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.04,,,,,,,0.01,,,,0.02,,,0.02,,,,,,,,,,,,,,,0.67,vlq_vd04ad36-29,vlq_vd04ad36
