timepoint,BA.1.1,BA.2.27,BA.2.4,BA.2.9,BA.1.1.1,BA.1.17.2,BA.1.5,BA.2.23,BA.1.17,BA.1.18,B.1.395,B.1.76,B.1,B.1.1.529,BA.2.11,BA.2.12,BA.5.1,BA.5.2.1,BA.2.57,BE.1,BE.1.1,BA.5.2,BA.4.8,B,BF.14,BF.6,BF.39,BA.5.1.28,BF.32,BA.5.3,BF.5,BE.1.1.2,BA.5.3.1,BA.5,BQ.1,BQ.1.14,BA.1.6,B.1.617.2,BA.2.3,AY.43,AY.46.6,XAP,B.4,XQ,BA.5.1.3,BA.2.3.20,BA.2.75.5,BN.1,BF.4,BA.2.75.2,BF.7.1,BF.7,BA.5.9,XAS,BA.5.2.6,CB.1,BA.5.2.20,BA.5.5.3,BA.2.75.4,BA.5.11,BA.5.2.54,BA.5.2.26,BF.7.24,BA.2,BA.1.13,AY.112,AY.126,AY.106,AY.111,AY.127,AY.79,BA.5.5,BA.5.1.5,BF.12,BA.2.75.1,B.1.378,B.1.134,B.1.215,BN.1.3.3,BN.1.3.1,XBB.2,XBB.1,XBB,XBB.2.7,BF.7.23,BN.4,XBU,BN.1.3,BF.7.9,BF.7.6,CT.1,BA.5.1.11,BF.18,BQ.1.1.25,BF.11,BQ.1.22,XBS,BQ.1.24,BQ.1.1.31,BQ.1.1.45,BQ.1.1,BA.5.2.27,BA.4,BA.5.1.23,BL.1,BA.2.3.16,XAH,XAU,BA.3,BF.1,BE.1.4,BA.2.56,BA.2.38,BA.2.73,BQ.1.10,CH.1.1.3,CH.1.1,BF.7.4,BQ.1.5,BQ.1.1.3,BF.7.5,BQ.1.1.18,BA.5.1.33,BQ.1.20,BA.2.16,B.1.383,CM.5,BQ.1.1.34,BA.5.2.36,BA.2.26,BA.2.12.1,BA.5.1.22,BA.4.1,BA.4.1.9,BA.2.24,BQ.1.1.37,BQ.1.3.2,BE.1.1.1,BA.2.9.2,BA.4.1.2,others,sample_name,tool_name
1,0.14,,,,,0.12,,,0.07,0.12,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.25,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-1,freyja_v1.4.3
3,0.23,,,,,0.08,,,,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.2,0.17,0.11,0.08,0.03,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-3,freyja_v1.4.3
5,0.19,,,,0.02,0.03,0.08,0.06,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-5,freyja_v1.4.3
7,0.27,,,,0.02,0.03,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,0.02,freyja_v1.4.3-7,freyja_v1.4.3
9,0.38,0.13,0.13,0.11,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-9,freyja_v1.4.3
12,0.22,,,,,,,0.07,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.0,freyja_v1.4.3-12,freyja_v1.4.3
14,,,,0.19,,,,0.1,,,,,,0.15,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-14,freyja_v1.4.3
16,0.05,,,0.21,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.4.3-16,freyja_v1.4.3
18,,,,0.1,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,0.1,0.08,0.03,freyja_v1.4.3-18,freyja_v1.4.3
20,,,,0.18,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.02,0.01,freyja_v1.4.3-20,freyja_v1.4.3
